temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
14.96,23.02,0.87,319.2,100.0,0.0,2016-01-01 00:00:00
13.36,25.53,1.2,308.2,98.24,0.0,2016-01-01 01:00:00
12.02,27.99,1.27,309.6,96.85,0.0,2016-01-01 02:00:00
11.3,29.47,1.26,315.6,62.34,0.0,2016-01-01 03:00:00
10.48,31.51,1.28,325.2,55.03,0.0,2016-01-01 04:00:00
9.66,33.7,1.3,337.4,74.37,0.0,2016-01-01 05:00:00
9.3,35.1,1.25,351.3,60.87,0.0,2016-01-01 06:00:00
10.31,33.2,0.99,6.4,56.03,0.0,2016-01-01 07:00:00
13.07,28.0,1.06,27.5,52.74,0.0,2016-01-01 08:00:00
15.04,24.74,0.67,46.8,50.13,0.0,2016-01-01 09:00:00
18.63,19.48,0.15,298.3,47.2,0.0,2016-01-01 10:00:00
22.9,13.31,1.18,285.2,31.38,0.0,2016-01-01 11:00:00
24.24,11.21,1.5,278.8,3.09,0.0,2016-01-01 12:00:00
24.74,10.15,1.59,281.2,7.64,0.0,2016-01-01 13:00:00
24.58,9.73,1.44,285.3,9.29,0.0,2016-01-01 14:00:00
23.41,10.93,0.88,291.9,11.5,0.0,2016-01-01 15:00:00
20.98,13.51,0.63,308.5,16.03,0.0,2016-01-01 16:00:00
19.54,13.65,0.63,326.1,21.8,0.0,2016-01-01 17:00:00
18.71,14.31,0.63,340.4,25.8,0.0,2016-01-01 18:00:00
17.96,14.86,0.61,359.1,29.84,0.0,2016-01-01 19:00:00
17.05,15.66,0.66,30.1,41.29,0.0,2016-01-01 20:00:00
16.23,16.59,0.7,49.7,22.0,0.0,2016-01-01 21:00:00
15.97,17.13,0.68,61.9,2.91,0.0,2016-01-01 22:00:00
15.44,17.72,0.66,71.6,7.19,0.0,2016-01-01 23:00:00
14.96,17.99,0.61,75.7,21.63,0.0,2016-01-02 00:00:00
14.76,18.22,0.46,79.9,2.51,0.0,2016-01-02 01:00:00
14.27,18.9,0.36,93.2,18.24,0.0,2016-01-02 02:00:00
13.56,19.89,0.35,115.1,33.94,0.0,2016-01-02 03:00:00
12.88,20.8,0.35,137.3,73.28,0.0,2016-01-02 04:00:00
12.26,21.78,0.34,162.7,98.08,0.0,2016-01-02 05:00:00
11.66,22.67,0.38,175.5,64.04,0.0,2016-01-02 06:00:00
11.52,23.01,0.47,171.3,47.42,0.0,2016-01-02 07:00:00
13.33,21.18,0.72,180.8,34.34,0.0,2016-01-02 08:00:00
15.46,17.91,0.98,193.0,19.33,0.0,2016-01-02 09:00:00
19.38,13.76,0.74,235.5,11.17,0.0,2016-01-02 10:00:00
23.05,9.73,0.96,292.0,27.03,0.0,2016-01-02 11:00:00
