temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
13.32,34.75,1.05,311.1,65.39,0.0,2016-01-01 00:00:00
12.0,37.33,1.16,307.3,85.59,0.0,2016-01-01 01:00:00
10.99,39.68,1.23,313.7,98.91,0.0,2016-01-01 02:00:00
10.31,41.15,1.21,327.1,100.0,0.0,2016-01-01 03:00:00
9.85,41.93,1.14,342.7,100.0,0.0,2016-01-01 04:00:00
9.85,41.3,1.03,354.5,98.62,0.0,2016-01-01 05:00:00
10.33,39.0,0.92,355.0,60.52,0.0,2016-01-01 06:00:00
11.38,36.63,0.65,336.6,60.56,0.0,2016-01-01 07:00:00
14.39,31.35,0.87,304.2,59.34,0.0,2016-01-01 08:00:00
16.61,24.51,1.02,290.0,58.73,0.0,2016-01-01 09:00:00
19.03,20.39,1.6,289.0,59.05,0.0,2016-01-01 10:00:00
21.22,16.66,2.29,291.0,76.91,0.0,2016-01-01 11:00:00
22.13,15.45,2.68,284.9,83.68,0.0,2016-01-01 12:00:00
22.65,14.68,2.82,285.6,79.0,0.0,2016-01-01 13:00:00
22.64,14.51,2.61,290.7,61.6,0.0,2016-01-01 14:00:00
21.22,19.85,1.32,300.1,45.8,0.0,2016-01-01 15:00:00
17.37,26.99,1.06,320.0,30.75,0.0,2016-01-01 16:00:00
15.56,26.61,1.17,338.5,11.64,0.0,2016-01-01 17:00:00
14.84,27.23,1.14,353.9,2.13,0.0,2016-01-01 18:00:00
14.32,28.37,1.1,6.8,1.6,0.0,2016-01-01 19:00:00
13.45,30.45,1.09,19.3,1.06,0.0,2016-01-01 20:00:00
12.72,32.38,1.12,33.7,10.09,0.0,2016-01-01 21:00:00
12.49,33.2,1.1,43.9,41.96,0.0,2016-01-01 22:00:00
12.94,33.18,0.96,47.1,61.75,0.0,2016-01-01 23:00:00
13.18,32.97,0.8,41.5,62.81,0.0,2016-01-02 00:00:00
13.39,32.21,0.71,25.1,58.17,0.0,2016-01-02 01:00:00
13.12,32.46,0.66,12.3,7.39,0.0,2016-01-02 02:00:00
12.58,33.3,0.65,10.6,5.31,0.0,2016-01-02 03:00:00
12.13,33.96,0.61,11.3,3.19,0.0,2016-01-02 04:00:00
11.83,34.42,0.5,358.9,1.06,0.0,2016-01-02 05:00:00
11.33,35.48,0.41,322.9,38.22,0.0,2016-01-02 06:00:00
