temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
12.8,29.09,1.26,332.0,100.0,0.0,2016-01-01 00:00:00
12.11,31.11,1.26,333.0,98.24,0.0,2016-01-01 01:00:00
11.49,32.99,1.28,334.0,96.85,0.0,2016-01-01 02:00:00
9.98,37.0,1.35,333.6,62.34,0.0,2016-01-01 03:00:00
8.97,40.03,1.35,334.6,55.03,0.0,2016-01-01 04:00:00
8.87,40.46,1.25,339.0,74.37,0.0,2016-01-01 05:00:00
9.14,39.89,1.13,348.8,60.87,0.0,2016-01-01 06:00:00
9.97,37.74,0.93,357.5,56.03,0.0,2016-01-01 07:00:00
12.82,31.27,1.25,8.3,52.74,0.0,2016-01-01 08:00:00
15.18,26.85,0.65,19.8,50.13,0.0,2016-01-01 09:00:00
19.88,18.99,0.68,298.8,47.2,0.0,2016-01-01 10:00:00
23.36,13.21,1.47,281.0,31.38,0.0,2016-01-01 11:00:00
24.49,11.39,1.28,272.2,3.09,0.0,2016-01-01 12:00:00
25.03,10.22,0.85,264.6,7.64,0.0,2016-01-01 13:00:00
25.04,9.65,0.53,253.6,9.29,0.0,2016-01-01 14:00:00
24.19,10.09,0.32,241.8,11.5,0.0,2016-01-01 15:00:00
22.21,13.05,0.35,222.7,16.03,0.0,2016-01-01 16:00:00
20.52,13.22,0.53,231.2,21.8,0.0,2016-01-01 17:00:00
19.64,13.69,0.59,237.4,25.8,0.0,2016-01-01 18:00:00
18.96,14.22,0.5,229.9,29.84,0.0,2016-01-01 19:00:00
18.55,14.67,0.44,221.3,41.29,0.0,2016-01-01 20:00:00
18.19,15.16,0.39,210.5,22.0,0.0,2016-01-01 21:00:00
17.36,15.66,0.34,200.6,2.91,0.0,2016-01-01 22:00:00
16.63,16.06,0.29,206.6,7.19,0.0,2016-01-01 23:00:00
16.01,16.53,0.29,239.0,21.63,0.0,2016-01-02 00:00:00
15.46,17.12,0.36,265.2,2.51,0.0,2016-01-02 01:00:00
14.88,17.86,0.37,284.0,18.24,0.0,2016-01-02 02:00:00
14.23,18.62,0.38,298.6,33.94,0.0,2016-01-02 03:00:00
13.62,19.38,0.44,306.6,73.28,0.0,2016-01-02 04:00:00
13.09,20.06,0.35,320.8,98.08,0.0,2016-01-02 05:00:00
12.67,20.63,0.18,22.4,64.04,0.0,2016-01-02 06:00:00
12.85,20.73,0.2,110.2,47.42,0.0,2016-01-02 07:00:00
13.98,20.27,0.44,158.7,34.34,0.0,2016-01-02 08:00:00
16.22,16.6,0.76,180.0,19.33,0.0,2016-01-02 09:00:00
20.52,12.74,0.62,246.3,11.17,0.0,2016-01-02 10:00:00
23.62,10.04,1.1,295.2,27.03,0.0,2016-01-02 11:00:00
24.7,9.3,1.47,307.8,43.87,0.0,2016-01-02 12:00:00
25.15,9.24,1.67,319.8,4.12,0.0,2016-01-02 13:00:00
25.03,9.7,1.9,326.8,3.61,0.0,2016-01-02 14:00:00
24.17,10.69,1.62,331.5,3.09,0.0,2016-01-02 15:00:00
20.64,14.9,1.02,336.2,2.58,0.0,2016-01-02 16:00:00
18.91,15.86,1.18,336.5,2.06,0.0,2016-01-02 17:00:00
