temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
13.68,35.69,1.02,305.4,99.75,0.0,2016-01-01 00:00:00
12.44,39.03,1.23,315.0,98.72,0.0,2016-01-01 01:00:00
11.97,40.37,1.26,327.9,98.97,0.0,2016-01-01 02:00:00
12.35,38.07,1.17,350.6,96.09,0.0,2016-01-01 03:00:00
13.11,34.57,0.88,20.7,98.45,0.0,2016-01-01 04:00:00
13.54,32.72,0.5,79.6,100.0,0.0,2016-01-01 05:00:00
12.78,33.14,0.71,147.7,94.19,0.0,2016-01-01 06:00:00
11.6,37.66,0.82,159.4,97.69,0.0,2016-01-01 07:00:00
13.59,40.9,0.97,151.1,96.73,0.0,2016-01-01 08:00:00
15.18,31.49,1.0,150.1,97.95,0.0,2016-01-01 09:00:00
16.76,28.71,0.95,193.4,99.44,0.0,2016-01-01 10:00:00
18.44,25.89,1.48,234.4,92.38,0.0,2016-01-01 11:00:00
19.77,23.54,1.98,252.0,85.35,0.0,2016-01-01 12:00:00
20.81,21.37,2.07,259.4,90.1,0.0,2016-01-01 13:00:00
21.03,20.63,1.78,260.0,86.07,0.0,2016-01-01 14:00:00
19.91,30.62,0.94,250.8,81.24,0.0,2016-01-01 15:00:00
17.71,33.83,0.75,227.2,76.31,0.0,2016-01-01 16:00:00
16.66,29.67,0.69,208.4,68.65,0.0,2016-01-01 17:00:00
15.97,29.47,0.46,192.5,51.67,0.0,2016-01-01 18:00:00
14.9,31.87,0.29,146.3,40.8,0.0,2016-01-01 19:00:00
13.96,34.08,0.45,88.7,80.68,0.0,2016-01-01 20:00:00
12.86,36.61,0.65,78.5,71.77,0.0,2016-01-01 21:00:00
12.45,37.83,0.66,78.7,3.5,0.0,2016-01-01 22:00:00
12.58,38.36,0.55,80.5,38.39,0.0,2016-01-01 23:00:00
12.84,38.02,0.45,78.4,22.71,0.0,2016-01-02 00:00:00
12.85,38.1,0.38,63.4,61.09,0.0,2016-01-02 01:00:00
12.7,38.26,0.43,59.3,48.14,0.0,2016-01-02 02:00:00
12.38,37.98,0.46,78.7,43.21,0.0,2016-01-02 03:00:00
12.24,36.57,0.42,99.7,40.8,0.0,2016-01-02 04:00:00
11.83,37.02,0.42,120.3,44.48,0.0,2016-01-02 05:00:00
11.32,37.96,0.49,119.2,38.34,0.0,2016-01-02 06:00:00
11.06,40.3,0.65,110.7,28.26,0.0,2016-01-02 07:00:00
13.41,42.87,0.76,115.9,17.16,0.0,2016-01-02 08:00:00
16.36,29.24,0.55,150.6,10.57,0.0,2016-01-02 09:00:00
18.78,24.3,0.95,243.2,2.41,0.0,2016-01-02 10:00:00
20.86,20.01,2.01,262.3,6.85,0.0,2016-01-02 11:00:00
22.36,17.02,2.84,272.0,32.14,0.0,2016-01-02 12:00:00
22.67,16.35,3.03,279.7,27.02,0.0,2016-01-02 13:00:00
22.35,16.6,2.93,286.9,25.61,0.0,2016-01-02 14:00:00
20.49,26.16,1.77,289.9,23.82,0.0,2016-01-02 15:00:00
16.12,39.0,1.28,296.4,26.98,0.0,2016-01-02 16:00:00
14.18,39.67,1.38,307.6,28.69,0.0,2016-01-02 17:00:00
13.72,40.49,1.33,322.0,25.11,0.0,2016-01-02 18:00:00
13.37,40.83,1.31,337.5,29.89,0.0,2016-01-02 19:00:00
13.35,39.05,1.3,350.2,39.47,0.0,2016-01-02 20:00:00
13.59,36.03,1.19,349.8,38.34,0.0,2016-01-02 21:00:00
13.83,33.5,1.08,338.9,2.02,0.0,2016-01-02 22:00:00
13.6,33.58,0.99,335.0,14.36,0.0,2016-01-02 23:00:00
13.12,34.64,0.95,337.0,37.15,0.0,2016-01-03 00:00:00
12.68,35.55,0.93,341.8,37.18,0.0,2016-01-03 01:00:00
12.24,35.93,0.94,347.1,4.62,0.0,2016-01-03 02:00:00
11.9,35.95,0.88,356.1,39.61,0.0,2016-01-03 03:00:00
11.71,35.6,0.67,6.0,40.8,0.0,2016-01-03 04:00:00
11.65,35.4,0.39,30.5,37.17,0.0,2016-01-03 05:00:00
11.5,35.53,0.35,78.4,41.97,0.0,2016-01-03 06:00:00
11.6,37.03,0.35,111.5,33.56,0.0,2016-01-03 07:00:00
13.71,40.2,0.47,148.0,24.51,0.0,2016-01-03 08:00:00
16.39,29.07,0.69,180.0,18.5,0.0,2016-01-03 09:00:00
19.38,23.8,1.55,250.4,12.35,0.0,2016-01-03 10:00:00
21.51,20.86,2.61,269.1,9.28,0.0,2016-01-03 11:00:00
22.86,18.91,2.87,278.4,22.15,0.0,2016-01-03 12:00:00
