temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
13.37,29.88,1.13,303.1,100.0,0.0,2016-01-01 00:00:00
11.63,32.91,1.26,298.0,100.0,0.0,2016-01-01 01:00:00
10.68,34.44,1.28,302.6,99.55,0.0,2016-01-01 02:00:00
10.11,35.13,1.24,312.1,100.0,0.0,2016-01-01 03:00:00
9.75,35.87,1.16,325.2,83.4,0.0,2016-01-01 04:00:00
9.5,36.5,1.1,338.1,34.42,0.0,2016-01-01 05:00:00
9.38,36.82,1.04,342.1,60.94,0.0,2016-01-01 06:00:00
10.35,34.52,0.76,330.7,58.95,0.0,2016-01-01 07:00:00
13.27,28.27,0.73,312.2,58.5,0.0,2016-01-01 08:00:00
15.36,24.52,0.71,280.5,57.95,0.0,2016-01-01 09:00:00
17.85,20.93,1.06,267.8,57.31,0.0,2016-01-01 10:00:00
21.34,15.9,1.98,282.8,50.48,0.0,2016-01-01 11:00:00
22.91,13.58,2.37,280.9,38.42,0.0,2016-01-01 12:00:00
23.57,12.39,2.35,283.3,15.15,0.0,2016-01-01 13:00:00
23.58,11.83,2.05,287.6,11.55,0.0,2016-01-01 14:00:00
22.13,15.06,0.99,295.0,6.04,0.0,2016-01-01 15:00:00
19.4,17.4,0.8,320.6,5.0,0.0,2016-01-01 16:00:00
17.91,17.71,0.71,350.3,3.45,0.0,2016-01-01 17:00:00
17.17,18.49,0.66,12.3,5.73,0.0,2016-01-01 18:00:00
16.66,19.1,0.64,34.2,23.52,0.0,2016-01-01 19:00:00
15.52,20.65,0.69,52.6,41.3,0.0,2016-01-01 20:00:00
14.69,22.26,0.8,67.3,11.1,0.0,2016-01-01 21:00:00
14.59,23.36,0.76,75.6,19.4,0.0,2016-01-01 22:00:00
14.47,24.22,0.66,79.5,10.31,0.0,2016-01-01 23:00:00
14.3,24.78,0.51,74.1,19.46,0.0,2016-01-02 00:00:00
14.12,25.26,0.29,53.5,8.01,0.0,2016-01-02 01:00:00
13.5,26.4,0.18,3.2,1.15,0.0,2016-01-02 02:00:00
12.86,27.52,0.19,351.0,2.87,0.0,2016-01-02 03:00:00
12.28,28.7,0.22,341.6,4.6,0.0,2016-01-02 04:00:00
11.73,29.89,0.27,315.0,45.98,0.0,2016-01-02 05:00:00
11.17,30.91,0.38,282.2,64.44,0.0,2016-01-02 06:00:00
11.05,30.81,0.44,256.9,59.03,0.0,2016-01-02 07:00:00
13.03,27.27,0.64,243.0,54.89,0.0,2016-01-02 08:00:00
15.58,22.13,1.02,241.4,53.79,0.0,2016-01-02 09:00:00
19.96,15.14,1.38,270.8,52.56,0.0,2016-01-02 10:00:00
22.99,10.75,1.9,287.8,64.96,0.0,2016-01-02 11:00:00
23.97,9.48,2.38,290.6,49.99,0.0,2016-01-02 12:00:00
24.35,8.63,2.7,295.4,14.82,0.0,2016-01-02 13:00:00
24.16,8.35,2.79,302.1,12.73,0.0,2016-01-02 14:00:00
22.5,10.11,1.77,307.6,5.39,0.0,2016-01-02 15:00:00
17.57,15.38,1.25,311.4,5.76,0.0,2016-01-02 16:00:00
14.9,17.21,1.42,313.0,4.6,0.0,2016-01-02 17:00:00
14.05,18.19,1.44,311.9,1.15,0.0,2016-01-02 18:00:00
13.41,18.97,1.42,311.0,1.87,0.0,2016-01-02 19:00:00
12.86,19.77,1.41,311.8,2.58,0.0,2016-01-02 20:00:00
12.27,20.88,1.39,310.9,3.3,0.0,2016-01-02 21:00:00
11.69,22.04,1.38,307.9,4.02,0.0,2016-01-02 22:00:00
11.16,23.18,1.36,304.5,8.81,0.0,2016-01-02 23:00:00
10.53,24.66,1.34,301.9,13.6,0.0,2016-01-03 00:00:00
9.74,26.53,1.34,301.6,18.4,0.0,2016-01-03 01:00:00
8.94,28.69,1.35,304.4,23.16,0.0,2016-01-03 02:00:00
8.3,30.97,1.37,308.8,3.45,0.0,2016-01-03 03:00:00
7.78,33.13,1.37,312.6,10.33,0.0,2016-01-03 04:00:00
7.29,35.36,1.34,315.3,9.57,0.0,2016-01-03 05:00:00
6.93,37.68,1.27,317.5,8.8,0.0,2016-01-03 06:00:00
8.29,35.66,1.15,318.5,7.54,0.0,2016-01-03 07:00:00
12.3,28.29,2.14,313.7,5.69,0.0,2016-01-03 08:00:00
15.5,23.53,1.72,297.0,7.0,0.0,2016-01-03 09:00:00
20.57,17.17,2.6,300.2,6.56,0.0,2016-01-03 10:00:00
23.57,14.28,3.4,302.0,24.86,0.0,2016-01-03 11:00:00
24.68,13.86,3.3,298.6,35.5,0.0,2016-01-03 12:00:00
25.19,13.82,3.19,295.2,53.59,0.0,2016-01-03 13:00:00
25.09,14.2,3.26,291.6,44.89,0.0,2016-01-03 14:00:00
23.75,15.97,2.31,291.0,34.31,0.0,2016-01-03 15:00:00
19.39,22.13,1.19,292.7,27.47,0.0,2016-01-03 16:00:00
17.41,24.5,1.22,295.7,19.53,0.0,2016-01-03 17:00:00
17.19,24.61,1.2,296.1,8.04,0.0,2016-01-03 18:00:00
16.92,24.71,1.18,292.4,3.45,0.0,2016-01-03 19:00:00
16.25,25.54,1.17,284.4,20.69,0.0,2016-01-03 20:00:00
15.43,26.74,1.2,279.1,12.64,0.0,2016-01-03 21:00:00
14.41,28.37,1.25,282.5,14.9,0.0,2016-01-03 22:00:00
13.69,29.63,1.24,290.3,19.56,0.0,2016-01-03 23:00:00
13.36,30.27,1.17,301.0,79.55,0.0,2016-01-04 00:00:00
12.99,31.12,1.01,310.2,81.1,0.0,2016-01-04 01:00:00
13.09,31.12,0.87,319.2,6.9,0.0,2016-01-04 02:00:00
13.08,31.35,0.62,339.2,21.05,0.0,2016-01-04 03:00:00
13.0,31.61,0.38,32.0,35.2,0.0,2016-01-04 04:00:00
12.77,32.21,0.47,87.6,49.52,0.0,2016-01-04 05:00:00
12.01,34.0,0.67,117.7,28.73,0.0,2016-01-04 06:00:00
11.98,34.21,0.79,123.1,47.07,0.0,2016-01-04 07:00:00
12.58,33.23,0.77,122.9,61.31,0.0,2016-01-04 08:00:00
14.5,29.43,1.74,127.1,75.54,0.0,2016-01-04 09:00:00
16.38,26.08,1.7,135.5,90.84,0.0,2016-01-04 10:00:00
19.6,21.43,1.25,149.1,85.86,0.0,2016-01-04 11:00:00
22.79,18.05,1.04,160.9,96.1,0.0,2016-01-04 12:00:00
23.98,17.53,0.83,170.3,72.17,0.0,2016-01-04 13:00:00
23.96,18.02,0.88,176.7,95.15,0.0,2016-01-04 14:00:00
22.62,22.02,0.56,187.1,94.73,0.0,2016-01-04 15:00:00
20.63,23.38,0.65,182.6,92.2,0.0,2016-01-04 16:00:00
19.51,24.3,0.81,147.1,89.47,0.0,2016-01-04 17:00:00
18.67,25.55,0.97,142.5,94.31,0.0,2016-01-04 18:00:00
17.63,27.22,1.09,132.0,91.89,0.0,2016-01-04 19:00:00
16.39,29.45,1.21,124.2,99.7,0.0,2016-01-04 20:00:00
15.33,31.52,1.22,124.0,89.37,0.0,2016-01-04 21:00:00
14.4,33.47,1.22,122.6,87.11,0.0,2016-01-04 22:00:00
13.81,34.88,1.17,121.0,52.8,0.0,2016-01-04 23:00:00
13.38,36.17,1.1,118.9,30.79,0.48,2016-01-05 00:00:00
13.25,37.2,1.04,116.8,33.13,0.48,2016-01-05 01:00:00
12.89,38.92,0.99,111.9,21.41,0.48,2016-01-05 02:00:00
12.39,40.86,0.99,106.4,5.6,0.0,2016-01-05 03:00:00
12.03,41.95,0.99,104.6,4.6,0.0,2016-01-05 04:00:00
11.79,42.63,0.93,109.4,3.45,0.0,2016-01-05 05:00:00
11.85,42.48,0.75,119.6,9.15,0.0,2016-01-05 06:00:00
12.62,40.73,0.52,135.0,8.94,0.0,2016-01-05 07:00:00
14.31,38.36,0.36,141.8,8.57,0.0,2016-01-05 08:00:00
16.35,33.57,0.16,60.3,8.49,0.0,2016-01-05 09:00:00
20.66,25.03,0.83,7.6,8.15,0.0,2016-01-05 10:00:00
23.94,20.0,1.48,5.4,22.84,0.0,2016-01-05 11:00:00
24.87,19.09,1.61,3.6,4.43,0.0,2016-01-05 12:00:00
25.15,19.05,1.62,0.0,1.59,0.0,2016-01-05 13:00:00
25.16,19.37,1.63,353.0,22.13,0.0,2016-01-05 14:00:00
23.94,21.73,1.07,344.8,41.16,0.0,2016-01-05 15:00:00
20.44,27.02,1.0,338.3,59.93,0.0,2016-01-05 16:00:00
18.12,30.39,1.26,335.1,81.75,0.0,2016-01-05 17:00:00
16.99,32.82,1.29,331.2,78.33,0.0,2016-01-05 18:00:00
16.04,35.06,1.3,327.5,85.23,0.0,2016-01-05 19:00:00
15.04,37.86,1.3,326.9,87.51,0.0,2016-01-05 20:00:00
14.12,40.97,1.28,332.0,82.87,0.0,2016-01-05 21:00:00
13.27,44.55,1.25,340.4,34.81,0.0,2016-01-05 22:00:00
12.44,48.9,1.24,350.2,14.92,0.0,2016-01-05 23:00:00
11.82,53.11,1.2,357.6,13.76,0.0,2016-01-06 00:00:00
11.47,56.46,1.16,2.5,53.19,0.0,2016-01-06 01:00:00
11.45,58.27,1.07,14.0,13.78,0.0,2016-01-06 02:00:00
11.62,58.87,1.02,24.8,24.12,0.0,2016-01-06 03:00:00
11.72,59.28,0.98,25.3,43.85,0.0,2016-01-06 04:00:00
11.63,60.22,0.98,36.3,35.87,0.0,2016-01-06 05:00:00
11.42,61.32,0.97,50.4,58.56,0.0,2016-01-06 06:00:00
