temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
14.59,25.43,0.93,313.7,100.0,0.0,2016-01-01 00:00:00
13.02,28.16,1.19,298.1,100.0,0.0,2016-01-01 01:00:00
11.56,30.77,1.3,298.5,98.94,0.0,2016-01-01 02:00:00
10.69,32.23,1.27,306.1,74.71,0.0,2016-01-01 03:00:00
10.22,33.14,1.23,318.6,65.94,0.0,2016-01-01 04:00:00
9.63,34.5,1.22,333.6,12.58,0.0,2016-01-01 05:00:00
9.12,35.73,1.24,344.6,32.1,0.0,2016-01-01 06:00:00
10.11,33.45,1.02,349.8,34.55,0.0,2016-01-01 07:00:00
13.39,26.84,0.99,354.8,38.24,0.0,2016-01-01 08:00:00
15.27,23.77,0.44,346.9,42.47,0.0,2016-01-01 09:00:00
17.79,20.25,0.57,264.0,46.58,0.0,2016-01-01 10:00:00
21.91,14.65,1.48,280.1,18.85,0.0,2016-01-01 11:00:00
23.67,12.06,1.89,273.9,17.72,0.0,2016-01-01 12:00:00
24.28,10.83,2.03,276.5,0.21,0.0,2016-01-01 13:00:00
24.17,10.37,1.9,281.5,1.42,0.0,2016-01-01 14:00:00
22.74,12.17,1.07,288.6,2.63,0.0,2016-01-01 15:00:00
19.84,14.74,0.86,310.7,3.83,0.0,2016-01-01 16:00:00
18.07,15.24,0.83,335.9,5.04,0.0,2016-01-01 17:00:00
17.4,15.75,0.86,354.0,6.23,0.0,2016-01-01 18:00:00
16.62,16.47,0.88,9.8,4.17,0.0,2016-01-01 19:00:00
15.69,17.58,0.92,26.6,1.04,0.0,2016-01-01 20:00:00
14.84,18.85,0.97,42.9,12.6,0.0,2016-01-01 21:00:00
14.72,19.57,0.92,51.6,0.05,0.0,2016-01-01 22:00:00
14.73,20.13,0.81,57.1,3.58,0.0,2016-01-01 23:00:00
14.52,20.69,0.7,56.1,7.09,0.0,2016-01-02 00:00:00
14.36,21.1,0.54,46.5,9.66,0.0,2016-01-02 01:00:00
13.83,22.03,0.36,35.9,41.69,0.0,2016-01-02 02:00:00
13.26,22.97,0.21,35.2,7.31,0.0,2016-01-02 03:00:00
12.72,23.79,0.07,16.0,19.74,0.0,2016-01-02 04:00:00
12.11,24.89,0.15,266.2,39.58,0.0,2016-01-02 05:00:00
11.38,26.01,0.36,255.6,17.65,0.0,2016-01-02 06:00:00
11.32,25.89,0.45,243.4,17.02,0.0,2016-01-02 07:00:00
13.19,23.01,0.66,231.7,16.83,0.0,2016-01-02 08:00:00
15.61,19.05,1.02,230.6,19.01,0.0,2016-01-02 09:00:00
19.81,13.92,1.12,260.8,18.92,0.0,2016-01-02 10:00:00
22.81,10.48,1.42,286.8,17.79,0.0,2016-01-02 11:00:00
23.83,9.25,1.93,291.0,38.8,0.0,2016-01-02 12:00:00
24.29,8.36,2.27,297.2,6.55,0.0,2016-01-02 13:00:00
24.16,8.05,2.42,305.1,4.95,0.0,2016-01-02 14:00:00
22.68,9.26,1.57,311.1,3.65,0.0,2016-01-02 15:00:00
18.07,13.3,1.21,314.0,2.34,0.0,2016-01-02 16:00:00
15.49,14.96,1.43,315.6,1.04,0.0,2016-01-02 17:00:00
14.53,15.82,1.44,314.4,1.56,0.0,2016-01-02 18:00:00
13.85,16.64,1.43,312.2,2.08,0.0,2016-01-02 19:00:00
13.36,17.28,1.4,310.4,1.46,0.0,2016-01-02 20:00:00
12.81,18.13,1.4,306.9,0.83,0.0,2016-01-02 21:00:00
12.21,19.08,1.39,301.7,0.2,0.0,2016-01-02 22:00:00
11.66,20.01,1.38,297.7,0.62,0.0,2016-01-02 23:00:00
11.06,21.18,1.37,295.1,1.04,0.0,2016-01-03 00:00:00
10.3,22.78,1.37,296.0,1.04,0.0,2016-01-03 01:00:00
9.45,24.92,1.38,300.1,0.3,0.0,2016-01-03 02:00:00
8.82,27.12,1.43,305.6,2.08,0.0,2016-01-03 03:00:00
8.39,29.08,1.47,310.3,1.04,0.0,2016-01-03 04:00:00
7.92,31.37,1.45,314.2,0.91,0.0,2016-01-03 05:00:00
7.41,33.57,1.37,318.0,0.78,0.0,2016-01-03 06:00:00
8.9,31.33,1.29,319.4,0.64,0.0,2016-01-03 07:00:00
12.87,24.71,2.43,315.3,0.51,0.0,2016-01-03 08:00:00
16.05,20.47,1.85,298.4,0.38,0.0,2016-01-03 09:00:00
21.04,15.1,2.65,300.6,0.25,0.0,2016-01-03 10:00:00
23.86,12.98,3.24,302.3,19.76,0.0,2016-01-03 11:00:00
24.9,12.78,3.12,296.1,43.23,0.0,2016-01-03 12:00:00
25.36,12.92,3.05,290.5,30.74,0.0,2016-01-03 13:00:00
25.15,13.42,3.17,288.0,24.29,0.0,2016-01-03 14:00:00
23.89,14.84,2.31,289.2,18.13,0.0,2016-01-03 15:00:00
19.72,19.77,1.19,290.7,11.25,0.0,2016-01-03 16:00:00
17.66,22.18,1.24,293.7,6.24,0.0,2016-01-03 17:00:00
17.32,22.51,1.22,295.7,2.08,0.0,2016-01-03 18:00:00
16.95,22.97,1.19,294.8,5.56,0.0,2016-01-03 19:00:00
16.46,23.62,1.11,287.3,9.03,0.0,2016-01-03 20:00:00
15.97,24.38,1.08,277.5,12.5,0.0,2016-01-03 21:00:00
15.16,25.68,1.14,275.6,2.03,0.0,2016-01-03 22:00:00
14.5,26.8,1.13,279.7,2.08,0.0,2016-01-03 23:00:00
14.14,27.53,1.04,286.7,34.45,0.0,2016-01-04 00:00:00
13.85,28.05,0.96,292.6,28.54,0.0,2016-01-04 01:00:00
13.73,28.37,0.83,301.2,16.69,0.0,2016-01-04 02:00:00
13.41,28.96,0.56,320.1,12.5,0.0,2016-01-04 03:00:00
13.51,28.77,0.32,7.1,5.19,0.0,2016-01-04 04:00:00
13.3,29.28,0.36,85.2,30.2,0.0,2016-01-04 05:00:00
12.46,30.96,0.62,121.9,44.75,0.0,2016-01-04 06:00:00
12.04,31.85,0.8,123.3,54.34,0.0,2016-01-04 07:00:00
13.07,29.89,0.98,127.1,62.41,0.0,2016-01-04 08:00:00
14.89,26.66,1.98,132.1,70.96,0.0,2016-01-04 09:00:00
16.81,23.75,1.74,134.1,81.15,0.0,2016-01-04 10:00:00
19.89,19.83,1.65,139.7,64.88,0.0,2016-01-04 11:00:00
22.74,17.15,1.46,145.0,97.33,0.0,2016-01-04 12:00:00
23.99,16.64,1.13,150.9,22.78,0.0,2016-01-04 13:00:00
24.02,16.97,1.04,154.9,43.29,0.0,2016-01-04 14:00:00
22.9,19.29,0.59,154.7,62.7,0.0,2016-01-04 15:00:00
20.8,21.23,0.59,127.5,76.49,0.0,2016-01-04 16:00:00
19.16,23.15,0.96,112.0,97.72,0.0,2016-01-04 17:00:00
17.88,25.33,1.15,114.8,100.0,0.0,2016-01-04 18:00:00
16.73,27.51,1.23,112.4,100.0,0.0,2016-01-04 19:00:00
15.71,29.81,1.29,110.8,100.0,0.0,2016-01-04 20:00:00
14.98,31.62,1.35,111.8,97.09,0.0,2016-01-04 21:00:00
14.16,33.63,1.39,112.9,92.46,0.0,2016-01-04 22:00:00
13.51,35.29,1.35,113.1,92.66,0.0,2016-01-04 23:00:00
12.88,36.98,1.29,113.8,76.96,0.14,2016-01-05 00:00:00
12.32,38.68,1.25,116.2,50.9,0.14,2016-01-05 01:00:00
11.89,40.24,1.23,118.0,37.65,0.14,2016-01-05 02:00:00
11.43,41.69,1.22,118.9,14.49,0.0,2016-01-05 03:00:00
11.04,42.78,1.21,119.7,2.08,0.0,2016-01-05 04:00:00
10.75,43.75,1.18,121.8,9.34,0.0,2016-01-05 05:00:00
10.61,44.06,1.11,127.3,47.78,0.0,2016-01-05 06:00:00
11.58,41.45,0.93,132.8,40.28,0.0,2016-01-05 07:00:00
14.52,34.6,1.31,130.4,33.16,0.0,2016-01-05 08:00:00
16.99,29.55,1.0,111.2,29.29,0.0,2016-01-05 09:00:00
21.45,22.31,0.99,66.8,23.69,0.0,2016-01-05 10:00:00
24.5,18.68,1.31,38.2,48.14,0.0,2016-01-05 11:00:00
25.4,18.02,1.36,27.7,13.81,0.0,2016-01-05 12:00:00
25.7,18.12,1.26,21.5,26.82,0.0,2016-01-05 13:00:00
25.66,18.48,1.18,10.7,32.73,0.0,2016-01-05 14:00:00
24.52,20.5,0.81,359.3,39.73,0.0,2016-01-05 15:00:00
21.43,24.46,0.98,350.6,46.01,0.0,2016-01-05 16:00:00
18.98,28.11,1.25,349.0,55.45,0.0,2016-01-05 17:00:00
17.54,30.94,1.32,348.6,93.03,0.0,2016-01-05 18:00:00
16.4,33.45,1.31,347.2,74.15,0.0,2016-01-05 19:00:00
15.45,35.65,1.3,347.6,73.31,0.0,2016-01-05 20:00:00
14.77,37.53,1.27,351.4,47.08,0.0,2016-01-05 21:00:00
14.13,39.42,1.26,357.3,60.32,0.0,2016-01-05 22:00:00
13.22,42.55,1.28,3.1,19.75,0.0,2016-01-05 23:00:00
12.53,45.5,1.26,6.4,19.73,0.0,2016-01-06 00:00:00
12.14,48.03,1.21,10.0,27.95,0.0,2016-01-06 01:00:00
11.75,50.76,1.16,19.1,7.28,0.0,2016-01-06 02:00:00
11.6,52.98,1.1,27.5,43.83,0.0,2016-01-06 03:00:00
11.76,53.92,1.02,28.8,83.97,0.0,2016-01-06 04:00:00
11.71,55.25,0.98,37.6,66.88,0.0,2016-01-06 05:00:00
11.53,56.87,1.02,53.8,35.44,0.0,2016-01-06 06:00:00
12.32,54.35,0.76,77.1,42.86,0.0,2016-01-06 07:00:00
14.82,46.3,0.97,111.0,50.04,0.0,2016-01-06 08:00:00
17.0,40.21,1.02,124.2,58.47,0.0,2016-01-06 09:00:00
20.12,32.06,0.74,150.0,66.47,0.0,2016-01-06 10:00:00
22.58,26.0,0.85,170.5,44.77,0.0,2016-01-06 11:00:00
23.67,23.88,0.68,203.5,80.76,0.0,2016-01-06 12:00:00
24.04,23.23,0.51,251.6,98.9,0.0,2016-01-06 13:00:00
23.6,24.01,0.6,300.0,99.69,0.0,2016-01-06 14:00:00
22.09,26.67,0.55,326.0,100.0,0.0,2016-01-06 15:00:00
20.27,29.82,0.87,337.6,100.0,0.0,2016-01-06 16:00:00
18.65,33.5,1.06,349.6,100.0,0.0,2016-01-06 17:00:00
17.55,36.55,1.11,0.5,82.36,0.0,2016-01-06 18:00:00
16.6,39.43,1.13,7.1,36.27,0.0,2016-01-06 19:00:00
15.57,42.67,1.17,6.9,14.44,0.0,2016-01-06 20:00:00
14.53,45.92,1.21,4.3,3.18,0.0,2016-01-06 21:00:00
13.89,48.08,1.22,359.5,2.08,0.0,2016-01-06 22:00:00
13.33,49.66,1.21,355.7,3.13,0.0,2016-01-06 23:00:00
12.86,50.67,1.2,356.7,6.22,0.0,2016-01-07 00:00:00
12.54,51.09,1.19,0.0,61.88,0.0,2016-01-07 01:00:00
12.24,51.31,1.18,4.4,58.43,0.0,2016-01-07 02:00:00
12.07,51.2,1.13,9.1,57.41,0.0,2016-01-07 03:00:00
12.03,50.88,1.1,12.6,33.27,0.0,2016-01-07 04:00:00
12.01,50.63,1.02,17.0,49.03,0.0,2016-01-07 05:00:00
11.83,51.16,0.9,23.4,55.48,0.0,2016-01-07 06:00:00
12.49,49.13,0.64,34.2,45.45,0.0,2016-01-07 07:00:00
14.69,42.7,0.69,52.6,35.71,0.0,2016-01-07 08:00:00
16.88,37.14,0.31,63.4,29.26,0.0,2016-01-07 09:00:00
20.84,28.93,0.59,243.9,18.11,0.0,2016-01-07 10:00:00
23.37,25.45,1.29,241.9,97.1,0.03,2016-01-07 11:00:00
23.77,25.19,1.49,251.6,98.62,0.1,2016-01-07 12:00:00
24.06,24.89,1.68,262.1,70.47,0.24,2016-01-07 13:00:00
23.67,25.47,1.73,270.3,62.65,0.05,2016-01-07 14:00:00
22.17,28.01,0.81,283.5,55.72,0.0,2016-01-07 15:00:00
19.63,32.68,0.9,305.5,48.78,0.0,2016-01-07 16:00:00
17.99,36.29,1.05,318.1,40.54,0.0,2016-01-07 17:00:00
17.23,38.25,1.08,326.8,58.27,0.0,2016-01-07 18:00:00
15.96,41.66,1.17,330.8,62.5,0.0,2016-01-07 19:00:00
15.02,44.53,1.21,330.3,53.05,0.0,2016-01-07 20:00:00
14.32,46.88,1.22,327.7,50.83,0.0,2016-01-07 21:00:00
13.74,49.08,1.21,326.4,63.58,0.0,2016-01-07 22:00:00
13.2,51.14,1.2,326.2,40.36,0.0,2016-01-07 23:00:00
12.69,53.29,1.2,324.2,20.64,0.0,2016-01-08 00:00:00
12.19,55.28,1.17,320.9,6.13,0.0,2016-01-08 01:00:00
11.71,57.27,1.14,318.2,90.68,0.0,2016-01-08 02:00:00
11.16,59.51,1.1,315.0,3.12,0.0,2016-01-08 03:00:00
10.42,62.26,1.11,313.2,4.17,0.0,2016-01-08 04:00:00
9.54,65.54,1.11,311.7,1.04,0.0,2016-01-08 05:00:00
8.83,67.97,1.1,309.5,1.04,0.0,2016-01-08 06:00:00
10.01,62.05,1.03,305.1,20.71,0.0,2016-01-08 07:00:00
13.15,49.81,2.11,298.0,38.68,0.0,2016-01-08 08:00:00
16.04,41.18,1.74,284.7,57.69,0.0,2016-01-08 09:00:00
20.95,30.59,2.84,294.6,74.33,0.0,2016-01-08 10:00:00
22.94,27.01,3.0,298.4,1.04,0.0,2016-01-08 11:00:00
23.8,25.13,3.34,297.9,10.78,0.0,2016-01-08 12:00:00
24.06,24.19,3.29,296.3,1.06,0.0,2016-01-08 13:00:00
23.94,23.87,3.36,297.5,2.1,0.0,2016-01-08 14:00:00
23.21,24.49,3.24,301.9,3.14,0.0,2016-01-08 15:00:00
19.47,30.53,1.55,305.8,4.17,0.0,2016-01-08 16:00:00
16.14,37.4,1.48,309.0,5.2,0.0,2016-01-08 17:00:00
15.21,39.44,1.56,310.8,1.04,0.0,2016-01-08 18:00:00
14.46,41.11,1.67,312.6,1.15,0.0,2016-01-08 19:00:00
13.77,42.7,1.77,312.7,1.27,0.0,2016-01-08 20:00:00
13.06,44.51,1.84,311.9,1.38,0.0,2016-01-08 21:00:00
12.34,46.43,1.86,310.6,1.08,0.0,2016-01-08 22:00:00
11.58,48.92,1.82,308.8,0.78,0.0,2016-01-08 23:00:00
10.84,51.49,1.77,307.6,0.48,0.01,2016-01-09 00:00:00
10.14,54.19,1.71,306.9,0.18,0.01,2016-01-09 01:00:00
9.55,56.75,1.78,307.5,3.52,0.01,2016-01-09 02:00:00
9.03,59.3,1.91,308.6,6.85,0.0,2016-01-09 03:00:00
8.33,62.88,1.85,309.5,10.18,0.0,2016-01-09 04:00:00
7.59,66.89,1.72,311.0,13.52,0.0,2016-01-09 05:00:00
6.94,70.75,1.6,311.5,16.85,0.0,2016-01-09 06:00:00
8.55,64.26,2.28,307.9,20.16,0.0,2016-01-09 07:00:00
11.41,53.78,2.63,297.9,23.48,0.0,2016-01-09 08:00:00
