temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
12.45,29.94,1.31,299.7,100.0,0.0,2016-01-01 00:00:00
11.47,31.59,1.42,300.9,100.0,0.0,2016-01-01 01:00:00
11.03,32.64,1.45,306.3,99.55,0.0,2016-01-01 02:00:00
10.54,34.72,1.35,314.1,100.0,0.0,2016-01-01 03:00:00
10.21,36.65,1.19,323.9,83.4,0.0,2016-01-01 04:00:00
9.46,39.5,1.16,332.3,34.42,0.0,2016-01-01 05:00:00
9.51,39.53,1.05,332.2,60.94,0.0,2016-01-01 06:00:00
10.71,36.87,0.69,320.3,58.95,0.0,2016-01-01 07:00:00
12.95,32.57,0.59,299.6,58.5,0.0,2016-01-01 08:00:00
14.61,28.58,0.68,264.1,57.95,0.0,2016-01-01 09:00:00
17.01,24.76,1.0,253.7,57.31,0.0,2016-01-01 10:00:00
20.73,18.18,1.96,276.4,50.48,0.0,2016-01-01 11:00:00
22.91,14.3,2.43,281.4,38.42,0.0,2016-01-01 12:00:00
23.8,12.63,2.23,283.0,15.15,0.0,2016-01-01 13:00:00
23.85,11.88,1.82,285.3,11.55,0.0,2016-01-01 14:00:00
22.53,15.9,0.87,287.4,6.04,0.0,2016-01-01 15:00:00
20.52,16.2,0.56,289.7,5.0,0.0,2016-01-01 16:00:00
19.46,16.18,0.33,270.0,3.45,0.0,2016-01-01 17:00:00
18.48,16.68,0.33,230.0,5.73,0.0,2016-01-01 18:00:00
17.58,17.51,0.39,207.2,23.52,0.0,2016-01-01 19:00:00
17.02,17.9,0.43,182.7,41.3,0.0,2016-01-01 20:00:00
16.41,18.87,0.49,170.5,11.1,0.0,2016-01-01 21:00:00
15.75,20.31,0.48,174.1,19.4,0.0,2016-01-01 22:00:00
15.2,20.94,0.48,182.4,10.31,0.0,2016-01-01 23:00:00
14.51,21.7,0.46,193.7,19.46,0.0,2016-01-02 00:00:00
13.86,22.43,0.47,214.7,8.01,0.0,2016-01-02 01:00:00
13.25,23.33,0.48,229.3,1.15,0.0,2016-01-02 02:00:00
12.76,23.98,0.38,234.6,2.87,0.0,2016-01-02 03:00:00
12.32,24.57,0.27,246.3,4.6,0.0,2016-01-02 04:00:00
11.82,25.52,0.24,245.6,45.98,0.0,2016-01-02 05:00:00
11.33,26.37,0.28,220.6,64.44,0.0,2016-01-02 06:00:00
11.28,26.59,0.39,193.3,59.03,0.0,2016-01-02 07:00:00
13.07,25.13,0.61,190.4,54.89,0.0,2016-01-02 08:00:00
15.55,20.14,0.95,204.1,53.79,0.0,2016-01-02 09:00:00
20.01,14.25,1.19,256.4,52.56,0.0,2016-01-02 10:00:00
23.19,10.26,1.97,282.9,64.96,0.0,2016-01-02 11:00:00
24.12,9.26,2.4,288.7,49.99,0.0,2016-01-02 12:00:00
24.51,8.73,2.58,296.7,14.82,0.0,2016-01-02 13:00:00
24.36,8.75,2.63,303.7,12.73,0.0,2016-01-02 14:00:00
22.91,11.82,1.72,308.9,5.39,0.0,2016-01-02 15:00:00
18.35,17.77,1.19,310.2,5.76,0.0,2016-01-02 16:00:00
16.08,18.69,1.43,308.5,4.6,0.0,2016-01-02 17:00:00
15.25,19.63,1.45,306.3,1.15,0.0,2016-01-02 18:00:00
14.55,20.64,1.45,305.4,1.87,0.0,2016-01-02 19:00:00
13.87,21.77,1.44,306.6,2.58,0.0,2016-01-02 20:00:00
13.11,23.2,1.44,306.8,3.3,0.0,2016-01-02 21:00:00
12.4,24.52,1.42,305.8,4.02,0.0,2016-01-02 22:00:00
11.72,25.98,1.41,304.6,8.81,0.0,2016-01-02 23:00:00
10.91,27.77,1.39,303.6,13.6,0.0,2016-01-03 00:00:00
10.07,30.02,1.38,304.4,18.4,0.0,2016-01-03 01:00:00
9.28,32.6,1.38,307.4,23.16,0.0,2016-01-03 02:00:00
8.65,35.71,1.39,311.5,3.45,0.0,2016-01-03 03:00:00
8.05,39.41,1.36,315.0,10.33,0.0,2016-01-03 04:00:00
7.61,43.05,1.28,319.7,9.57,0.0,2016-01-03 05:00:00
7.38,45.91,1.22,324.0,8.8,0.0,2016-01-03 06:00:00
8.39,45.48,1.05,324.7,7.54,0.0,2016-01-03 07:00:00
12.21,36.37,1.81,319.0,5.69,0.0,2016-01-03 08:00:00
15.24,30.42,1.24,294.7,7.0,0.0,2016-01-03 09:00:00
20.21,21.02,2.1,288.6,6.56,0.0,2016-01-03 10:00:00
23.62,15.75,3.12,295.7,24.86,0.0,2016-01-03 11:00:00
24.74,14.96,2.99,292.0,35.5,0.0,2016-01-03 12:00:00
25.21,14.83,3.09,286.9,53.59,0.0,2016-01-03 13:00:00
25.03,15.23,3.24,284.1,44.89,0.0,2016-01-03 14:00:00
23.59,18.02,2.14,283.3,34.31,0.0,2016-01-03 15:00:00
19.54,24.27,1.18,283.7,27.47,0.0,2016-01-03 16:00:00
17.67,26.04,1.25,284.8,19.53,0.0,2016-01-03 17:00:00
17.41,25.84,1.26,281.9,8.04,0.0,2016-01-03 18:00:00
16.91,26.35,1.23,277.0,3.45,0.0,2016-01-03 19:00:00
15.95,27.32,1.25,273.7,20.69,0.0,2016-01-03 20:00:00
14.83,29.08,1.29,276.2,12.64,0.0,2016-01-03 21:00:00
13.84,30.82,1.3,284.3,14.9,0.0,2016-01-03 22:00:00
13.44,31.53,1.25,295.5,19.56,0.0,2016-01-03 23:00:00
13.64,31.01,1.11,309.1,79.55,0.0,2016-01-04 00:00:00
