temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
9.7,46.48,1.19,112.3,33.61,0.0,2017-01-01 00:00:00
9.21,48.31,1.19,106.6,1.03,0.0,2017-01-01 01:00:00
8.82,50.16,1.2,106.9,94.8,0.0,2017-01-01 02:00:00
8.5,51.96,1.21,111.3,94.8,0.0,2017-01-01 03:00:00
8.2,53.76,1.2,117.2,94.81,0.0,2017-01-01 04:00:00
7.89,55.53,1.18,122.9,2.06,0.0,2017-01-01 05:00:00
7.6,57.29,1.16,127.3,2.06,0.0,2017-01-01 06:00:00
8.14,55.86,1.14,129.3,15.5,0.0,2017-01-01 07:00:00
10.54,48.31,2.1,129.0,29.63,0.0,2017-01-01 08:00:00
12.43,43.53,1.82,121.8,41.76,0.0,2017-01-01 09:00:00
15.43,37.91,1.7,119.3,52.3,0.0,2017-01-01 10:00:00
19.47,34.05,2.4,131.8,33.28,0.0,2017-01-01 11:00:00
21.31,32.68,2.35,134.8,22.37,0.0,2017-01-01 12:00:00
21.86,32.66,2.12,137.1,29.42,0.0,2017-01-01 13:00:00
21.91,33.14,1.79,137.0,24.11,0.0,2017-01-01 14:00:00
21.19,34.88,1.21,134.0,18.88,0.0,2017-01-01 15:00:00
18.83,40.58,0.62,129.1,14.59,0.0,2017-01-01 16:00:00
18.08,42.63,0.46,126.1,10.21,0.0,2017-01-01 17:00:00
17.68,43.83,0.15,118.3,5.62,0.0,2017-01-01 18:00:00
16.99,45.82,0.15,317.7,1.03,0.0,2017-01-01 19:00:00
16.32,47.91,0.28,310.6,31.38,0.0,2017-01-01 20:00:00
15.78,49.77,0.35,311.5,61.62,0.0,2017-01-01 21:00:00
15.26,51.55,0.43,318.8,5.14,0.0,2017-01-01 22:00:00
14.66,53.68,0.53,334.4,2.06,0.0,2017-01-01 23:00:00
13.75,56.93,0.66,352.1,2.06,0.0,2017-01-02 00:00:00
12.85,60.38,0.81,4.9,61.77,0.0,2017-01-02 01:00:00
12.03,63.49,0.88,6.6,32.94,0.0,2017-01-02 02:00:00
11.63,64.94,0.84,0.0,4.12,0.0,2017-01-02 03:00:00
11.48,65.23,0.76,352.4,8.98,0.0,2017-01-02 04:00:00
11.25,66.01,0.68,350.7,13.84,0.0,2017-01-02 05:00:00
10.95,67.03,0.65,353.9,18.7,0.0,2017-01-02 06:00:00
11.32,65.22,0.56,2.0,23.63,0.0,2017-01-02 07:00:00
13.42,56.63,0.56,12.3,28.76,0.0,2017-01-02 08:00:00
15.88,48.26,0.33,347.7,33.7,0.0,2017-01-02 09:00:00
20.75,36.46,0.1,203.9,38.47,0.0,2017-01-02 10:00:00
22.85,31.94,0.59,195.7,36.95,0.0,2017-01-02 11:00:00
23.61,29.89,0.87,239.0,31.54,0.0,2017-01-02 12:00:00
23.8,28.88,1.25,260.8,26.44,0.0,2017-01-02 13:00:00
23.52,28.71,1.58,270.4,20.97,0.0,2017-01-02 14:00:00
