temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.66,44.41,1.18,115.7,33.61,0.0,2017-01-01 00:00:00
9.93,46.63,1.15,111.9,1.03,0.0,2017-01-01 01:00:00
9.29,48.68,1.13,114.1,94.8,0.0,2017-01-01 02:00:00
8.81,50.42,1.12,119.6,94.8,0.0,2017-01-01 03:00:00
8.48,51.99,1.08,125.6,94.81,0.0,2017-01-01 04:00:00
8.26,53.23,1.06,130.8,2.06,0.0,2017-01-01 05:00:00
8.11,54.11,1.04,133.8,2.06,0.0,2017-01-01 06:00:00
8.38,53.61,0.95,133.7,15.5,0.0,2017-01-01 07:00:00
10.47,46.85,1.24,129.7,29.63,0.0,2017-01-01 08:00:00
12.18,42.3,1.53,121.9,41.76,0.0,2017-01-01 09:00:00
14.45,37.07,1.23,105.1,52.3,0.0,2017-01-01 10:00:00
18.85,31.44,1.7,110.7,33.28,0.0,2017-01-01 11:00:00
21.05,29.83,1.76,112.0,22.37,0.0,2017-01-01 12:00:00
21.62,30.01,1.62,111.8,29.42,0.0,2017-01-01 13:00:00
21.7,30.64,1.39,107.1,24.11,0.0,2017-01-01 14:00:00
20.92,32.64,0.87,99.2,18.88,0.0,2017-01-01 15:00:00
18.92,37.31,0.57,80.9,14.59,0.0,2017-01-01 16:00:00
17.89,39.97,0.47,55.3,10.21,0.0,2017-01-01 17:00:00
17.31,41.57,0.45,26.6,5.62,0.0,2017-01-01 18:00:00
16.73,43.16,0.45,5.1,1.03,0.0,2017-01-01 19:00:00
16.31,44.25,0.42,355.9,31.38,0.0,2017-01-01 20:00:00
15.9,45.43,0.36,340.6,61.62,0.0,2017-01-01 21:00:00
15.39,46.94,0.37,334.1,5.14,0.0,2017-01-01 22:00:00
14.84,48.54,0.42,346.3,2.06,0.0,2017-01-01 23:00:00
14.19,50.52,0.57,2.0,2.06,0.0,2017-01-02 00:00:00
13.45,52.91,0.71,9.7,61.77,0.0,2017-01-02 01:00:00
12.82,54.8,0.77,6.8,32.94,0.0,2017-01-02 02:00:00
12.33,55.92,0.76,356.2,4.12,0.0,2017-01-02 03:00:00
11.92,56.98,0.72,353.7,8.98,0.0,2017-01-02 04:00:00
11.32,58.71,0.72,356.8,13.84,0.0,2017-01-02 05:00:00
10.67,60.85,0.72,1.6,18.7,0.0,2017-01-02 06:00:00
11.02,59.01,0.64,11.7,23.63,0.0,2017-01-02 07:00:00
12.99,51.54,0.69,12.6,28.76,0.0,2017-01-02 08:00:00
15.3,44.31,0.46,357.5,33.7,0.0,2017-01-02 09:00:00
20.19,34.78,0.28,247.1,38.47,0.0,2017-01-02 10:00:00
22.56,30.53,0.73,233.9,36.95,0.0,2017-01-02 11:00:00
23.31,28.77,1.15,255.4,31.54,0.0,2017-01-02 12:00:00
23.37,28.26,1.48,265.7,26.44,0.0,2017-01-02 13:00:00
22.98,28.52,1.65,270.7,20.97,0.0,2017-01-02 14:00:00
21.85,30.31,1.2,274.8,14.84,0.0,2017-01-02 15:00:00
18.66,36.85,0.97,280.1,9.57,0.0,2017-01-02 16:00:00
16.85,41.23,1.13,280.7,5.06,0.0,2017-01-02 17:00:00
16.34,42.52,1.06,278.7,4.12,0.0,2017-01-02 18:00:00
15.48,44.76,1.09,283.3,9.15,0.0,2017-01-02 19:00:00
14.67,47.08,1.11,289.4,13.29,0.0,2017-01-02 20:00:00
14.09,48.78,1.12,292.7,32.86,0.0,2017-01-02 21:00:00
13.57,50.24,1.09,299.6,57.16,0.0,2017-01-02 22:00:00
12.99,51.75,1.08,316.1,98.98,0.0,2017-01-02 23:00:00
12.4,52.9,1.08,334.9,23.59,0.0,2017-01-03 00:00:00
12.22,51.85,1.09,346.2,26.68,0.0,2017-01-03 01:00:00
12.11,50.08,1.09,353.7,88.94,0.0,2017-01-03 02:00:00
11.51,49.62,1.03,2.2,67.13,0.0,2017-01-03 03:00:00
11.11,48.77,0.93,11.8,74.46,0.0,2017-01-03 04:00:00
11.35,46.58,0.8,28.5,83.69,0.01,2017-01-03 05:00:00
11.71,45.14,0.38,82.5,84.68,0.01,2017-01-03 06:00:00
11.34,46.88,0.55,183.1,85.77,0.0,2017-01-03 07:00:00
12.4,44.64,0.9,233.1,86.87,0.0,2017-01-03 08:00:00
13.91,41.08,1.42,260.7,88.88,0.0,2017-01-03 09:00:00
16.09,36.21,1.45,287.7,89.91,0.0,2017-01-03 10:00:00
19.5,31.23,1.47,306.7,13.18,0.0,2017-01-03 11:00:00
21.24,29.65,0.8,309.4,33.36,0.0,2017-01-03 12:00:00
21.84,29.52,0.11,254.7,52.55,0.0,2017-01-03 13:00:00
22.3,29.45,0.51,159.4,41.19,0.0,2017-01-03 14:00:00
21.74,31.0,0.7,162.6,29.21,0.0,2017-01-03 15:00:00
19.68,35.61,0.54,182.1,18.18,0.0,2017-01-03 16:00:00
18.06,39.87,0.7,202.6,6.04,0.0,2017-01-03 17:00:00
17.24,42.57,0.88,215.3,19.47,0.0,2017-01-03 18:00:00
16.14,46.36,1.0,227.8,28.73,0.0,2017-01-03 19:00:00
15.25,49.82,1.0,243.2,1.03,0.0,2017-01-03 20:00:00
14.9,51.43,0.94,263.3,3.09,0.0,2017-01-03 21:00:00
14.49,53.28,0.83,288.2,83.39,0.0,2017-01-03 22:00:00
13.98,55.14,0.76,323.6,14.3,0.0,2017-01-03 23:00:00
13.1,58.26,0.84,355.9,6.06,0.0,2017-01-04 00:00:00
12.21,61.41,0.99,17.0,29.43,0.0,2017-01-04 01:00:00
11.64,62.93,1.02,31.8,15.29,0.0,2017-01-04 02:00:00
11.44,63.15,0.96,49.2,1.03,0.0,2017-01-04 03:00:00
11.2,63.67,0.86,75.2,1.03,0.0,2017-01-04 04:00:00
10.83,65.14,0.9,110.9,1.03,0.0,2017-01-04 05:00:00
9.96,69.2,1.03,138.9,21.45,0.0,2017-01-04 06:00:00
9.94,69.72,1.07,156.3,19.76,0.0,2017-01-04 07:00:00
13.1,57.01,2.26,164.1,19.25,0.0,2017-01-04 08:00:00
15.9,48.11,1.99,163.7,18.21,0.0,2017-01-04 09:00:00
20.48,36.79,2.5,173.3,17.42,0.0,2017-01-04 10:00:00
22.25,32.21,2.36,179.0,16.27,0.01,2017-01-04 11:00:00
23.21,29.35,2.17,180.3,46.78,0.02,2017-01-04 12:00:00
23.68,27.58,2.01,182.6,3.09,0.03,2017-01-04 13:00:00
23.64,26.94,1.76,186.2,2.68,0.0,2017-01-04 14:00:00
22.85,27.8,1.12,192.9,2.27,0.0,2017-01-04 15:00:00
20.72,31.41,0.7,213.9,1.86,0.0,2017-01-04 16:00:00
19.71,33.39,0.63,247.5,1.44,0.0,2017-01-04 17:00:00
19.03,34.86,0.62,293.7,1.03,0.0,2017-01-04 18:00:00
17.94,37.51,0.78,330.2,2.06,0.0,2017-01-04 19:00:00
16.89,40.43,0.93,356.9,3.09,0.0,2017-01-04 20:00:00
15.86,43.63,1.06,21.5,38.05,0.0,2017-01-04 21:00:00
14.58,47.75,1.15,41.8,53.84,0.0,2017-01-04 22:00:00
13.7,50.95,1.21,57.5,86.72,0.0,2017-01-04 23:00:00
12.98,53.7,1.22,70.4,23.6,0.0,2017-01-05 00:00:00
12.54,55.37,1.2,79.4,2.06,0.0,2017-01-05 01:00:00
12.32,56.16,1.14,83.9,90.39,0.0,2017-01-05 02:00:00
12.32,56.03,0.99,83.6,46.4,0.0,2017-01-05 03:00:00
12.34,55.95,0.86,80.6,4.12,0.0,2017-01-05 04:00:00
12.16,56.64,0.78,79.7,2.06,0.0,2017-01-05 05:00:00
11.93,57.54,0.74,85.4,14.4,0.0,2017-01-05 06:00:00
12.05,57.11,0.69,95.8,35.9,0.0,2017-01-05 07:00:00
14.14,49.64,0.85,117.5,58.27,0.0,2017-01-05 08:00:00
16.31,43.02,0.81,146.1,79.22,0.0,2017-01-05 09:00:00
20.41,33.78,0.8,144.1,98.94,0.05,2017-01-05 10:00:00
23.48,28.47,1.27,146.6,99.71,0.25,2017-01-05 11:00:00
24.36,26.81,1.63,166.6,97.68,0.27,2017-01-05 12:00:00
24.62,25.95,1.92,183.0,97.77,0.28,2017-01-05 13:00:00
24.27,26.17,2.01,192.7,80.98,0.21,2017-01-05 14:00:00
22.97,28.24,1.23,199.5,63.45,0.02,2017-01-05 15:00:00
19.67,34.36,1.01,210.9,42.47,0.0,2017-01-05 16:00:00
17.82,38.36,1.2,218.6,20.6,0.0,2017-01-05 17:00:00
17.0,40.26,1.21,225.3,13.36,0.0,2017-01-05 18:00:00
16.43,41.59,1.18,229.8,24.68,0.0,2017-01-05 19:00:00
16.12,42.33,1.11,229.0,13.25,0.0,2017-01-05 20:00:00
15.89,42.96,1.02,221.8,2.06,0.0,2017-01-05 21:00:00
15.41,44.2,0.95,213.9,97.9,0.0,2017-01-05 22:00:00
14.95,45.51,0.93,205.5,98.6,0.0,2017-01-05 23:00:00
14.52,46.77,0.93,195.5,99.29,0.0,2017-01-06 00:00:00
13.91,48.65,0.94,186.1,99.98,0.0,2017-01-06 01:00:00
12.93,51.63,1.02,181.7,59.26,0.0,2017-01-06 02:00:00
11.56,56.14,1.12,180.0,18.52,0.0,2017-01-06 03:00:00
10.23,61.08,1.13,178.0,11.31,0.0,2017-01-06 04:00:00
9.47,63.88,1.18,176.6,8.2,0.0,2017-01-06 05:00:00
9.07,65.09,1.3,176.9,9.14,0.0,2017-01-06 06:00:00
9.8,61.59,1.79,177.1,32.84,0.0,2017-01-06 07:00:00
11.95,53.07,2.77,174.4,57.37,0.09,2017-01-06 08:00:00
14.42,45.46,2.26,167.2,79.39,0.5,2017-01-06 09:00:00
17.75,37.6,2.48,176.5,99.69,1.69,2017-01-06 10:00:00
20.2,33.11,2.46,189.6,99.92,1.13,2017-01-06 11:00:00
21.17,31.84,2.09,197.2,100.0,1.87,2017-01-06 12:00:00
21.53,31.62,1.73,202.8,100.0,2.15,2017-01-06 13:00:00
21.39,32.31,1.45,211.5,99.5,2.21,2017-01-06 14:00:00
20.64,34.61,0.87,226.4,99.29,1.72,2017-01-06 15:00:00
18.93,38.93,0.6,262.3,99.79,1.32,2017-01-06 16:00:00
17.85,42.15,0.7,291.8,99.89,1.22,2017-01-06 17:00:00
17.24,44.49,0.78,308.2,95.81,1.05,2017-01-06 18:00:00
16.66,46.52,0.82,315.0,79.34,1.27,2017-01-06 19:00:00
16.2,48.1,0.75,320.4,70.13,1.23,2017-01-06 20:00:00
15.85,49.1,0.64,329.8,77.28,1.23,2017-01-06 21:00:00
15.43,50.52,0.53,345.7,87.55,0.84,2017-01-06 22:00:00
14.9,52.34,0.51,358.9,82.36,0.61,2017-01-06 23:00:00
14.28,54.76,0.59,2.9,49.43,0.53,2017-01-07 00:00:00
13.45,58.19,0.69,5.0,34.9,0.56,2017-01-07 01:00:00
12.28,63.8,0.84,13.7,87.05,0.94,2017-01-07 02:00:00
11.11,70.34,1.0,23.5,36.05,1.66,2017-01-07 03:00:00
10.07,77.04,1.11,28.0,54.65,2.3,2017-01-07 04:00:00
9.36,82.42,1.22,32.6,15.44,2.89,2017-01-07 05:00:00
8.91,86.22,1.32,37.9,24.51,3.31,2017-01-07 06:00:00
9.51,84.96,1.46,44.7,42.52,3.37,2017-01-07 07:00:00
11.68,75.97,2.3,53.5,59.16,1.37,2017-01-07 08:00:00
13.45,69.52,1.74,57.7,75.55,1.71,2017-01-07 09:00:00
17.37,48.56,1.46,58.7,90.64,1.73,2017-01-07 10:00:00
19.4,39.29,0.99,59.0,99.58,1.51,2017-01-07 11:00:00
19.85,36.61,0.6,24.8,94.36,1.13,2017-01-07 12:00:00
19.88,35.02,0.78,342.0,93.65,0.96,2017-01-07 13:00:00
