temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
11.89,51.1,1.49,98.5,10.62,0.0,2017-01-01 00:00:00
11.76,51.75,1.44,99.6,16.32,0.0,2017-01-01 01:00:00
11.54,52.61,1.38,100.8,11.72,0.0,2017-01-01 02:00:00
11.27,53.78,1.35,102.0,9.63,0.0,2017-01-01 03:00:00
11.06,54.88,1.33,103.9,9.58,0.0,2017-01-01 04:00:00
10.89,55.89,1.33,106.1,0.0,0.0,2017-01-01 05:00:00
10.74,57.1,1.33,107.1,0.0,0.0,2017-01-01 06:00:00
11.59,54.81,1.21,107.2,0.0,0.0,2017-01-01 07:00:00
15.24,45.65,1.34,109.1,0.0,0.87,2017-01-01 08:00:00
17.87,40.83,2.49,125.9,0.0,2.17,2017-01-01 09:00:00
19.63,39.21,3.22,141.6,0.0,2.41,2017-01-01 10:00:00
21.26,36.97,3.44,149.0,2.13,4.77,2017-01-01 11:00:00
21.99,35.84,3.27,155.0,4.26,9.86,2017-01-01 12:00:00
22.1,35.87,2.92,159.0,10.96,12.18,2017-01-01 13:00:00
21.73,37.02,2.51,162.1,9.44,9.13,2017-01-01 14:00:00
20.74,41.4,1.75,170.8,5.85,4.43,2017-01-01 15:00:00
17.83,53.4,0.88,199.3,4.6,2.49,2017-01-01 16:00:00
16.36,53.0,0.96,229.2,2.13,3.12,2017-01-01 17:00:00
15.93,53.49,0.84,267.3,3.19,2.47,2017-01-01 18:00:00
14.92,56.75,0.88,315.0,3.58,1.47,2017-01-01 19:00:00
13.59,61.88,1.01,344.4,3.96,0.79,2017-01-01 20:00:00
12.64,65.74,1.09,3.7,4.34,0.84,2017-01-01 21:00:00
12.24,67.38,1.16,17.0,17.98,0.98,2017-01-01 22:00:00
12.38,66.54,1.2,26.1,7.35,0.94,2017-01-01 23:00:00
12.69,64.87,1.18,35.0,3.72,0.12,2017-01-02 00:00:00
12.99,63.4,1.13,40.7,0.0,0.03,2017-01-02 01:00:00
13.0,63.24,1.02,45.0,0.53,0.03,2017-01-02 02:00:00
13.04,62.96,0.93,52.9,1.06,0.01,2017-01-02 03:00:00
12.91,63.28,0.86,66.7,9.55,0.01,2017-01-02 04:00:00
12.75,63.98,0.82,82.3,8.29,0.0,2017-01-02 05:00:00
12.45,65.41,0.81,94.2,7.0,0.0,2017-01-02 06:00:00
13.19,64.51,0.76,99.8,5.72,0.0,2017-01-02 07:00:00
15.85,59.6,0.91,103.3,4.44,0.0,2017-01-02 08:00:00
18.81,48.09,0.82,146.9,3.15,0.0,2017-01-02 09:00:00
21.23,39.98,0.99,191.1,1.87,0.0,2017-01-02 10:00:00
22.33,36.78,1.02,215.9,0.58,0.0,2017-01-02 11:00:00
22.85,34.73,1.15,249.0,2.2,0.0,2017-01-02 12:00:00
22.9,33.55,1.53,273.7,2.13,0.0,2017-01-02 13:00:00
22.55,33.3,1.94,284.0,3.01,0.0,2017-01-02 14:00:00
21.74,34.69,2.06,289.0,3.9,0.0,2017-01-02 15:00:00
18.18,47.93,1.1,291.2,4.79,0.0,2017-01-02 16:00:00
15.38,51.98,1.26,300.4,5.67,0.0,2017-01-02 17:00:00
14.44,53.19,1.31,314.1,6.56,0.0,2017-01-02 18:00:00
13.58,54.86,1.27,331.2,7.43,0.0,2017-01-02 19:00:00
12.82,56.82,1.23,347.3,5.04,0.0,2017-01-02 20:00:00
12.25,58.12,1.23,358.1,2.63,0.0,2017-01-02 21:00:00
11.84,59.03,1.22,6.1,0.23,0.0,2017-01-02 22:00:00
11.56,59.42,1.21,12.0,1.71,0.0,2017-01-02 23:00:00
11.46,59.34,1.21,12.4,3.19,0.0,2017-01-03 00:00:00
11.41,58.95,1.24,9.3,9.55,0.0,2017-01-03 01:00:00
11.23,58.6,1.25,9.2,9.19,0.0,2017-01-03 02:00:00
11.04,58.15,1.25,12.0,2.13,0.0,2017-01-03 03:00:00
11.14,56.47,1.23,17.0,18.06,0.0,2017-01-03 04:00:00
