temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
13.02,47.31,1.23,104.6,17.02,0.0,2017-01-01 00:00:00
12.98,47.73,1.15,109.9,30.39,0.0,2017-01-01 01:00:00
13.05,47.71,1.1,117.0,0.0,0.0,2017-01-01 02:00:00
12.81,48.67,1.1,123.5,3.23,0.0,2017-01-01 03:00:00
12.4,50.21,1.12,128.1,8.54,0.0,2017-01-01 04:00:00
11.86,52.28,1.11,130.3,15.97,0.0,2017-01-01 05:00:00
11.55,53.64,1.13,129.6,9.67,0.0,2017-01-01 06:00:00
12.04,52.09,1.08,127.5,7.16,0.0,2017-01-01 07:00:00
14.38,46.18,0.99,127.2,7.8,0.0,2017-01-01 08:00:00
17.1,39.14,1.74,138.3,7.32,0.04,2017-01-01 09:00:00
19.32,35.73,2.3,155.6,7.83,0.14,2017-01-01 10:00:00
21.75,32.66,2.84,163.4,6.83,0.22,2017-01-01 11:00:00
22.82,31.41,2.93,170.6,7.97,0.31,2017-01-01 12:00:00
23.1,31.19,2.79,176.5,49.34,0.45,2017-01-01 13:00:00
22.83,31.85,2.5,181.8,44.29,0.49,2017-01-01 14:00:00
21.95,33.71,1.97,190.8,37.29,0.2,2017-01-01 15:00:00
18.54,42.5,0.93,214.0,36.69,0.02,2017-01-01 16:00:00
16.47,47.29,1.09,237.3,33.18,0.08,2017-01-01 17:00:00
15.9,48.99,1.1,262.2,10.63,0.1,2017-01-01 18:00:00
15.42,50.37,1.05,289.5,4.3,0.1,2017-01-01 19:00:00
14.84,52.31,0.92,321.1,8.5,0.11,2017-01-01 20:00:00
14.16,54.67,0.89,358.1,0.14,0.0,2017-01-01 21:00:00
13.45,57.35,0.95,24.1,4.3,0.0,2017-01-01 22:00:00
13.04,59.01,1.0,38.5,20.35,0.0,2017-01-01 23:00:00
12.96,59.31,1.01,48.2,22.49,0.01,2017-01-02 00:00:00
12.94,59.38,1.01,53.5,5.12,0.01,2017-01-02 01:00:00
12.88,59.6,0.98,57.1,25.73,0.01,2017-01-02 02:00:00
12.92,59.22,0.89,61.7,11.74,0.0,2017-01-02 03:00:00
12.85,59.38,0.74,66.9,14.98,0.0,2017-01-02 04:00:00
12.68,60.07,0.66,72.4,22.54,0.0,2017-01-02 05:00:00
12.56,60.48,0.66,72.4,25.78,0.0,2017-01-02 06:00:00
13.04,58.66,0.71,73.6,16.68,0.0,2017-01-02 07:00:00
16.04,48.78,1.07,83.0,4.36,0.0,2017-01-02 08:00:00
19.43,39.2,0.76,69.9,6.66,0.07,2017-01-02 09:00:00
22.42,32.9,0.42,291.0,1.08,0.1,2017-01-02 10:00:00
23.73,30.32,1.15,269.5,5.17,0.12,2017-01-02 11:00:00
24.31,28.8,1.83,279.1,6.06,0.13,2017-01-02 12:00:00
24.36,28.18,2.38,286.4,10.5,0.14,2017-01-02 13:00:00
23.95,28.45,2.76,291.0,8.16,0.1,2017-01-02 14:00:00
23.04,29.84,2.76,294.4,7.38,0.02,2017-01-02 15:00:00
19.28,38.51,1.39,296.0,4.2,0.0,2017-01-02 16:00:00
16.23,45.34,1.37,300.3,3.23,0.0,2017-01-02 17:00:00
15.3,47.79,1.29,309.6,8.55,0.0,2017-01-02 18:00:00
14.62,49.85,1.13,325.5,4.3,0.0,2017-01-02 19:00:00
13.84,52.54,1.03,342.4,4.3,0.0,2017-01-02 20:00:00
13.12,55.28,1.0,358.3,11.8,0.0,2017-01-02 21:00:00
12.57,57.63,1.01,14.3,0.2,0.0,2017-01-02 22:00:00
12.29,59.01,1.03,25.8,12.84,0.0,2017-01-02 23:00:00
12.36,59.06,1.04,28.0,13.94,0.0,2017-01-03 00:00:00
12.5,58.5,0.99,25.8,17.13,0.0,2017-01-03 01:00:00
12.47,58.6,0.95,24.9,3.66,0.0,2017-01-03 02:00:00
12.64,57.82,0.9,33.7,32.19,0.0,2017-01-03 03:00:00
12.77,57.0,0.86,40.7,14.95,0.0,2017-01-03 04:00:00
12.8,56.59,0.87,49.2,16.02,0.01,2017-01-03 05:00:00
12.57,57.03,0.93,68.7,14.88,0.07,2017-01-03 06:00:00
13.04,54.79,0.93,92.5,24.12,0.02,2017-01-03 07:00:00
16.58,43.8,1.26,118.4,32.1,0.0,2017-01-03 08:00:00
19.81,34.82,0.49,200.3,42.89,0.0,2017-01-03 09:00:00
22.67,28.65,1.74,270.3,51.77,0.0,2017-01-03 10:00:00
23.95,26.86,2.44,272.3,97.7,0.0,2017-01-03 11:00:00
24.42,25.94,2.91,276.1,99.06,0.0,2017-01-03 12:00:00
24.33,25.64,2.98,283.6,97.68,0.0,2017-01-03 13:00:00
23.87,26.08,2.64,295.1,89.59,0.0,2017-01-03 14:00:00
22.96,27.43,2.0,306.9,80.47,0.0,2017-01-03 15:00:00
19.75,35.64,0.88,313.6,69.61,0.0,2017-01-03 16:00:00
18.15,37.97,0.99,318.3,57.02,0.0,2017-01-03 17:00:00
17.8,38.6,0.92,328.4,38.6,0.0,2017-01-03 18:00:00
17.44,39.41,0.77,340.4,71.98,0.0,2017-01-03 19:00:00
17.01,40.74,0.64,353.8,86.03,0.0,2017-01-03 20:00:00
16.27,42.79,0.56,10.3,89.45,0.03,2017-01-03 21:00:00
15.97,44.22,0.54,26.6,12.76,0.15,2017-01-03 22:00:00
15.42,46.68,0.52,44.2,57.89,0.16,2017-01-03 23:00:00
14.94,48.68,0.51,65.5,70.9,0.01,2017-01-04 00:00:00
14.54,50.12,0.54,84.7,76.17,0.0,2017-01-04 01:00:00
13.89,52.16,0.63,107.6,74.19,0.0,2017-01-04 02:00:00
13.31,54.04,0.82,126.0,66.66,0.0,2017-01-04 03:00:00
12.53,56.65,1.05,135.8,44.07,0.0,2017-01-04 04:00:00
11.49,60.45,1.21,139.7,50.53,0.0,2017-01-04 05:00:00
