temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
11.11,44.41,1.21,121.5,7.0,0.0,2017-01-01 00:00:00
10.49,46.65,1.19,125.4,7.02,0.0,2017-01-01 01:00:00
10.04,48.71,1.18,130.9,17.76,0.0,2017-01-01 02:00:00
9.76,50.41,1.17,137.1,2.33,0.0,2017-01-01 03:00:00
9.62,51.94,1.16,144.1,2.33,0.0,2017-01-01 04:00:00
9.6,52.97,1.15,151.4,2.57,0.0,2017-01-01 05:00:00
9.62,53.87,1.11,156.2,2.57,0.0,2017-01-01 06:00:00
9.92,53.75,1.01,156.0,2.57,0.0,2017-01-01 07:00:00
11.34,49.88,0.79,147.9,2.57,0.0,2017-01-01 08:00:00
13.09,45.21,1.28,131.2,2.57,0.0,2017-01-01 09:00:00
15.0,40.23,1.2,114.2,2.57,0.0,2017-01-01 10:00:00
19.27,31.74,1.83,131.9,3.49,0.0,2017-01-01 11:00:00
21.54,29.78,2.07,141.1,1.16,0.0,2017-01-01 12:00:00
22.11,29.98,1.9,145.1,10.86,0.0,2017-01-01 13:00:00
22.11,30.74,1.59,149.7,7.04,0.0,2017-01-01 14:00:00
21.41,32.88,0.96,154.0,2.98,0.0,2017-01-01 15:00:00
19.49,37.22,0.44,183.9,3.09,0.0,2017-01-01 16:00:00
18.31,39.56,0.48,244.0,1.16,0.0,2017-01-01 17:00:00
17.45,41.7,0.71,274.0,16.16,0.0,2017-01-01 18:00:00
16.23,44.92,0.85,285.7,10.3,0.0,2017-01-01 19:00:00
15.33,47.41,0.87,293.0,1.16,0.0,2017-01-01 20:00:00
14.73,49.0,0.82,302.5,0.59,0.0,2017-01-01 21:00:00
14.1,50.75,0.77,319.7,1.57,0.0,2017-01-01 22:00:00
13.56,52.26,0.79,337.7,2.55,0.0,2017-01-01 23:00:00
13.1,53.53,0.87,350.8,3.53,0.0,2017-01-02 00:00:00
12.75,54.45,0.9,359.4,4.51,0.0,2017-01-02 01:00:00
12.35,55.45,0.8,1.4,2.84,0.0,2017-01-02 02:00:00
12.01,56.24,0.64,345.5,1.16,0.0,2017-01-02 03:00:00
11.78,56.51,0.64,324.6,2.33,0.0,2017-01-02 04:00:00
11.24,58.12,0.68,324.0,3.49,0.0,2017-01-02 05:00:00
10.83,59.4,0.66,338.8,5.06,0.0,2017-01-02 06:00:00
11.11,58.11,0.54,8.6,6.26,0.0,2017-01-02 07:00:00
13.37,50.21,0.51,29.6,7.93,0.0,2017-01-02 08:00:00
15.89,42.78,0.27,8.4,10.55,0.01,2017-01-02 09:00:00
20.5,33.21,0.65,274.4,11.53,0.08,2017-01-02 10:00:00
22.75,30.08,1.27,258.7,15.41,0.18,2017-01-02 11:00:00
23.52,28.74,1.8,263.9,22.06,0.25,2017-01-02 12:00:00
23.71,28.13,2.1,270.3,16.71,0.23,2017-01-02 13:00:00
23.5,28.15,2.19,275.5,13.96,0.08,2017-01-02 14:00:00
22.54,29.77,1.78,278.4,8.96,0.0,2017-01-02 15:00:00
18.66,37.9,1.03,276.7,7.2,0.0,2017-01-02 16:00:00
16.21,43.31,1.24,273.2,5.71,0.0,2017-01-02 17:00:00
