temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
12.72,28.88,0.37,321.6,0.61,0.0,2018-01-01 00:00:00
11.88,30.85,0.39,292.6,0.61,0.0,2018-01-01 01:00:00
10.95,32.69,0.52,286.7,0.55,0.0,2018-01-01 02:00:00
10.0,35.07,0.61,292.3,3.03,0.0,2018-01-01 03:00:00
9.07,37.6,0.6,301.3,7.86,0.0,2018-01-01 04:00:00
8.6,39.25,0.47,315.0,18.15,0.0,2018-01-01 05:00:00
8.59,39.71,0.21,351.9,24.82,0.0,2018-01-01 06:00:00
8.65,40.84,0.33,102.3,21.95,0.0,2018-01-01 07:00:00
10.18,39.92,0.89,137.7,20.07,0.0,2018-01-01 08:00:00
12.23,32.97,1.45,148.0,19.69,0.0,2018-01-01 09:00:00
15.43,27.15,1.26,161.4,17.19,0.0,2018-01-01 10:00:00
18.93,21.09,0.75,215.8,65.86,0.0,2018-01-01 11:00:00
20.22,19.85,0.97,246.3,42.14,0.0,2018-01-01 12:00:00
20.6,19.71,0.99,253.6,23.88,0.0,2018-01-01 13:00:00
20.46,20.4,0.79,261.3,14.84,0.0,2018-01-01 14:00:00
19.48,29.34,0.32,259.0,11.49,0.0,2018-01-01 15:00:00
18.2,27.25,0.3,199.6,11.1,0.0,2018-01-01 16:00:00
16.97,26.44,0.51,185.6,9.08,0.0,2018-01-01 17:00:00
16.05,27.52,0.65,191.5,6.86,0.0,2018-01-01 18:00:00
15.12,29.22,0.67,196.5,4.64,0.0,2018-01-01 19:00:00
14.44,30.25,0.6,196.3,2.42,0.0,2018-01-01 20:00:00
13.85,31.23,0.52,188.9,6.63,0.0,2018-01-01 21:00:00
13.0,32.59,0.52,163.3,12.45,0.0,2018-01-01 22:00:00
11.63,35.77,0.72,144.1,16.32,0.0,2018-01-01 23:00:00
10.38,38.49,0.92,145.6,29.65,0.0,2018-01-02 00:00:00
9.08,41.73,0.98,159.7,48.01,0.0,2018-01-02 01:00:00
8.18,43.48,0.98,182.3,49.63,0.0,2018-01-02 02:00:00
7.6,44.33,1.02,195.9,56.9,0.0,2018-01-02 03:00:00
7.19,44.65,0.97,189.5,62.37,0.0,2018-01-02 04:00:00
6.61,45.82,0.92,171.9,67.83,0.0,2018-01-02 05:00:00
6.04,46.84,0.97,157.7,71.48,0.0,2018-01-02 06:00:00
6.07,48.46,1.02,152.4,70.59,0.0,2018-01-02 07:00:00
8.95,42.32,1.39,155.8,69.27,0.0,2018-01-02 08:00:00
11.41,34.97,1.42,161.6,69.22,0.0,2018-01-02 09:00:00
14.96,28.94,0.79,174.9,67.93,0.0,2018-01-02 10:00:00
18.95,20.5,0.96,281.4,54.67,0.0,2018-01-02 11:00:00
20.49,18.03,1.65,299.4,29.65,0.0,2018-01-02 12:00:00
20.86,17.61,1.86,304.7,18.27,0.0,2018-01-02 13:00:00
20.36,18.68,1.67,305.5,18.63,0.0,2018-01-02 14:00:00
