temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
12.34,35.21,0.47,138.5,50.55,0.0,2018-01-01 00:00:00
11.39,38.07,0.57,157.5,57.96,0.0,2018-01-01 01:00:00
10.49,40.77,0.58,166.0,38.17,0.0,2018-01-01 02:00:00
9.69,43.0,0.57,170.9,70.92,0.0,2018-01-01 03:00:00
8.84,45.67,0.57,171.9,75.26,0.0,2018-01-01 04:00:00
8.24,47.86,0.63,166.2,88.32,0.0,2018-01-01 05:00:00
7.58,50.54,0.76,154.1,85.24,0.0,2018-01-01 06:00:00
7.6,52.15,0.87,144.3,78.26,0.0,2018-01-01 07:00:00
9.83,45.77,1.75,144.3,71.79,0.0,2018-01-01 08:00:00
11.96,38.29,1.97,146.1,66.65,0.0,2018-01-01 09:00:00
15.04,29.76,1.65,154.8,94.41,0.0,2018-01-01 10:00:00
17.83,24.06,1.15,186.5,74.41,0.0,2018-01-01 11:00:00
19.23,22.17,1.24,219.5,54.01,0.0,2018-01-01 12:00:00
19.59,21.94,1.3,231.5,29.62,0.0,2018-01-01 13:00:00
19.41,22.6,1.13,239.6,21.52,0.0,2018-01-01 14:00:00
18.09,33.91,0.6,240.9,14.17,0.0,2018-01-01 15:00:00
16.27,32.28,0.79,231.7,11.39,0.0,2018-01-01 16:00:00
15.06,31.14,0.91,227.7,8.01,0.0,2018-01-01 17:00:00
14.25,32.34,0.84,228.9,17.85,0.0,2018-01-01 18:00:00
14.04,32.2,0.65,230.7,46.87,0.0,2018-01-01 19:00:00
13.85,31.62,0.36,215.9,72.17,0.0,2018-01-01 20:00:00
13.2,32.99,0.36,147.7,83.9,0.0,2018-01-01 21:00:00
11.86,35.8,0.68,127.9,79.96,0.0,2018-01-01 22:00:00
10.21,40.44,0.97,129.1,88.85,0.0,2018-01-01 23:00:00
9.0,44.0,1.17,135.3,89.48,0.0,2018-01-02 00:00:00
8.05,46.77,1.2,144.5,84.09,0.0,2018-01-02 01:00:00
7.58,47.85,1.13,157.7,91.34,0.0,2018-01-02 02:00:00
7.16,48.78,0.99,171.9,92.59,0.0,2018-01-02 03:00:00
7.09,48.39,0.89,168.3,95.08,0.0,2018-01-02 04:00:00
6.55,50.08,0.89,145.1,97.54,0.0,2018-01-02 05:00:00
5.67,53.42,1.03,132.2,93.86,0.0,2018-01-02 06:00:00
5.89,54.67,1.09,132.8,94.47,0.0,2018-01-02 07:00:00
8.97,46.92,1.44,142.9,92.81,0.0,2018-01-02 08:00:00
11.5,38.47,1.32,158.3,91.15,0.0,2018-01-02 09:00:00
15.14,29.97,0.72,212.6,89.28,0.0,2018-01-02 10:00:00
18.55,23.68,1.3,277.5,91.99,0.0,2018-01-02 11:00:00
19.9,21.21,1.97,289.9,87.41,0.0,2018-01-02 12:00:00
20.21,20.59,2.27,294.8,74.13,0.0,2018-01-02 13:00:00
19.75,21.24,2.12,296.6,79.29,0.0,2018-01-02 14:00:00
17.74,35.13,1.05,291.9,86.35,0.0,2018-01-02 15:00:00
14.74,37.49,1.12,286.7,92.7,0.0,2018-01-02 16:00:00
13.32,35.59,1.2,286.5,99.25,0.0,2018-01-02 17:00:00
13.35,33.39,1.02,299.3,99.91,0.0,2018-01-02 18:00:00
12.96,33.12,0.81,327.1,98.69,0.0,2018-01-02 19:00:00
12.12,35.57,0.77,351.8,98.71,0.0,2018-01-02 20:00:00
11.57,37.36,0.74,7.0,92.12,0.0,2018-01-02 21:00:00
11.67,36.89,0.71,24.0,98.76,0.0,2018-01-02 22:00:00
11.22,38.0,0.69,47.9,96.73,0.0,2018-01-02 23:00:00
10.64,39.6,0.7,74.2,99.13,0.0,2018-01-03 00:00:00
10.07,41.11,0.68,109.0,95.07,0.0,2018-01-03 01:00:00
9.25,43.43,0.75,146.9,98.76,0.0,2018-01-03 02:00:00
8.21,46.58,0.81,167.2,99.35,0.0,2018-01-03 03:00:00
7.34,49.42,0.82,174.4,99.38,0.0,2018-01-03 04:00:00
6.66,51.65,0.81,175.1,98.77,0.0,2018-01-03 05:00:00
6.22,53.11,0.73,176.1,98.77,0.0,2018-01-03 06:00:00
6.41,53.29,0.55,181.0,99.98,0.0,2018-01-03 07:00:00
8.13,52.07,0.46,199.2,98.99,0.0,2018-01-03 08:00:00
10.05,43.2,0.6,234.5,98.12,0.0,2018-01-03 09:00:00
12.94,35.57,0.84,272.7,97.04,0.0,2018-01-03 10:00:00
16.72,26.12,1.59,288.3,91.26,0.0,2018-01-03 11:00:00
18.95,21.6,2.16,286.7,90.29,0.0,2018-01-03 12:00:00
19.42,20.82,2.31,284.5,84.31,0.0,2018-01-03 13:00:00
19.11,21.42,2.16,286.1,78.52,0.0,2018-01-03 14:00:00
17.02,35.42,1.03,286.9,71.91,0.0,2018-01-03 15:00:00
13.71,39.3,1.14,287.3,63.32,0.0,2018-01-03 16:00:00
12.05,38.13,1.31,290.5,54.32,0.0,2018-01-03 17:00:00
11.46,37.92,1.34,299.1,88.27,0.0,2018-01-03 18:00:00
