temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
11.8,22.31,0.87,275.9,0.18,0.0,2018-01-01 00:00:00
11.1,23.13,1.02,277.3,0.1,0.0,2018-01-01 01:00:00
10.24,24.62,1.12,285.5,0.03,0.0,2018-01-01 02:00:00
9.22,26.49,1.16,296.6,0.03,0.0,2018-01-01 03:00:00
8.55,27.86,1.13,305.7,0.03,0.0,2018-01-01 04:00:00
8.15,28.77,0.98,313.8,3.53,0.0,2018-01-01 05:00:00
8.2,28.83,0.77,320.3,3.53,0.0,2018-01-01 06:00:00
8.64,29.13,0.42,316.0,15.86,0.0,2018-01-01 07:00:00
10.44,27.34,0.31,213.2,24.88,0.0,2018-01-01 08:00:00
12.59,21.65,0.95,199.8,37.21,0.0,2018-01-01 09:00:00
16.38,17.71,1.09,220.5,50.44,0.0,2018-01-01 10:00:00
20.33,14.89,1.27,267.3,45.12,0.0,2018-01-01 11:00:00
21.46,14.5,1.44,276.0,31.98,0.0,2018-01-01 12:00:00
21.89,14.65,1.34,284.2,24.12,0.0,2018-01-01 13:00:00
21.75,15.26,1.12,296.6,17.85,0.0,2018-01-01 14:00:00
20.6,22.72,0.48,310.0,13.94,0.0,2018-01-01 15:00:00
19.31,21.77,0.29,323.5,10.75,0.0,2018-01-01 16:00:00
18.26,21.75,0.04,243.4,9.96,0.0,2018-01-01 17:00:00
17.56,22.26,0.29,187.8,7.42,0.0,2018-01-01 18:00:00
16.7,23.01,0.53,197.4,4.89,0.0,2018-01-01 19:00:00
15.54,24.07,0.71,207.6,2.35,0.0,2018-01-01 20:00:00
14.11,26.3,0.82,217.6,7.61,0.0,2018-01-01 21:00:00
12.89,28.15,0.85,216.9,20.54,0.0,2018-01-01 22:00:00
12.28,28.84,0.84,210.8,15.25,0.0,2018-01-01 23:00:00
11.51,29.88,0.78,205.9,20.53,0.0,2018-01-02 00:00:00
10.72,31.0,0.73,212.2,53.6,0.0,2018-01-02 01:00:00
9.93,32.3,0.78,234.9,35.22,0.0,2018-01-02 02:00:00
9.38,32.97,0.83,246.5,35.8,0.0,2018-01-02 03:00:00
9.06,33.41,0.77,240.4,40.51,0.0,2018-01-02 04:00:00
8.57,34.26,0.8,230.1,48.17,0.0,2018-01-02 05:00:00
8.11,35.07,0.89,225.0,52.3,0.0,2018-01-02 06:00:00
7.99,35.82,0.95,223.7,52.29,0.0,2018-01-02 07:00:00
10.5,31.9,1.22,222.0,50.66,0.0,2018-01-02 08:00:00
13.16,25.4,1.44,217.1,51.78,0.0,2018-01-02 09:00:00
17.45,19.2,1.07,233.3,51.24,0.0,2018-01-02 10:00:00
20.91,15.08,1.24,276.5,23.12,0.0,2018-01-02 11:00:00
21.94,14.2,1.48,289.3,4.73,0.0,2018-01-02 12:00:00
22.32,13.75,1.61,297.4,8.59,0.0,2018-01-02 13:00:00
21.85,14.08,1.54,302.2,8.95,0.0,2018-01-02 14:00:00
20.07,22.61,0.72,304.8,6.73,0.0,2018-01-02 15:00:00
18.18,22.24,0.75,305.2,6.52,0.0,2018-01-02 16:00:00
17.62,20.21,0.55,297.0,8.28,0.0,2018-01-02 17:00:00
17.08,21.01,0.3,250.4,8.28,0.0,2018-01-02 18:00:00
16.23,21.93,0.45,194.0,49.37,0.0,2018-01-02 19:00:00
15.35,22.57,0.6,180.0,35.21,0.0,2018-01-02 20:00:00
14.53,23.71,0.64,171.9,78.8,0.0,2018-01-02 21:00:00
13.63,25.13,0.63,156.7,72.3,0.0,2018-01-02 22:00:00
12.46,26.91,0.68,140.9,85.83,0.0,2018-01-02 23:00:00
11.45,28.28,0.82,132.0,96.42,0.0,2018-01-03 00:00:00
10.06,30.76,0.95,132.4,99.92,0.0,2018-01-03 01:00:00
9.15,32.69,1.07,140.7,99.91,0.0,2018-01-03 02:00:00
8.2,35.0,1.17,155.2,99.94,0.0,2018-01-03 03:00:00
7.21,37.92,1.26,169.5,99.94,0.0,2018-01-03 04:00:00
6.2,41.33,1.32,180.4,99.94,0.0,2018-01-03 05:00:00
5.38,44.84,1.33,190.4,99.95,0.0,2018-01-03 06:00:00
5.52,45.68,1.2,200.6,100.0,0.0,2018-01-03 07:00:00
9.12,37.52,1.7,210.3,99.81,0.0,2018-01-03 08:00:00
11.78,31.55,1.74,217.5,99.59,0.0,2018-01-03 09:00:00
15.54,24.7,1.26,228.2,99.34,0.0,2018-01-03 10:00:00
20.14,15.56,1.95,260.2,98.49,0.0,2018-01-03 11:00:00
21.29,13.86,1.99,273.7,98.48,0.0,2018-01-03 12:00:00
21.61,13.33,1.9,281.3,98.33,0.0,2018-01-03 13:00:00
21.36,13.4,1.62,286.9,99.41,0.0,2018-01-03 14:00:00
19.7,21.69,0.71,296.9,99.09,0.0,2018-01-03 15:00:00
17.5,21.4,0.78,316.0,98.96,0.0,2018-01-03 16:00:00
16.62,19.86,0.72,330.9,98.78,0.0,2018-01-03 17:00:00
16.3,19.76,0.56,344.5,100.0,0.0,2018-01-03 18:00:00
15.84,20.63,0.31,352.7,99.99,0.0,2018-01-03 19:00:00
15.28,21.48,0.09,63.5,99.93,0.0,2018-01-03 20:00:00
14.45,22.47,0.3,124.2,99.93,0.0,2018-01-03 21:00:00
13.49,23.82,0.46,108.8,99.97,0.0,2018-01-03 22:00:00
12.19,25.26,0.68,90.8,99.94,0.0,2018-01-03 23:00:00
10.58,27.6,0.96,86.4,99.94,0.0,2018-01-04 00:00:00
9.17,30.33,1.23,84.9,99.94,0.0,2018-01-04 01:00:00
7.79,33.29,1.35,84.9,99.95,0.0,2018-01-04 02:00:00
6.81,35.91,1.36,87.1,99.95,0.0,2018-01-04 03:00:00
6.05,38.18,1.35,92.5,99.95,0.0,2018-01-04 04:00:00
5.49,40.23,1.32,102.7,99.95,0.0,2018-01-04 05:00:00
5.06,42.2,1.3,117.0,99.95,0.0,2018-01-04 06:00:00
