temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
9.39,44.2,1.03,19.8,36.48,0.0,2018-01-01 00:00:00
9.25,44.36,1.03,22.3,35.71,0.0,2018-01-01 01:00:00
9.04,44.47,1.07,23.2,25.1,0.0,2018-01-01 02:00:00
8.63,44.8,1.09,24.9,36.9,0.0,2018-01-01 03:00:00
8.33,44.92,1.09,28.0,39.46,0.0,2018-01-01 04:00:00
7.99,45.44,1.07,34.3,41.26,0.0,2018-01-01 05:00:00
7.55,46.15,1.07,45.8,42.67,0.0,2018-01-01 06:00:00
7.54,48.82,1.03,58.5,37.86,0.0,2018-01-01 07:00:00
10.3,51.99,0.85,76.5,32.12,0.0,2018-01-01 08:00:00
13.56,32.06,0.48,135.0,33.27,0.0,2018-01-01 09:00:00
15.49,27.25,1.51,225.5,24.53,0.0,2018-01-01 10:00:00
16.14,26.21,2.31,231.5,32.82,0.0,2018-01-01 11:00:00
16.26,26.23,2.66,233.0,20.74,0.0,2018-01-01 12:00:00
15.98,27.01,2.6,233.1,24.99,0.0,2018-01-01 13:00:00
15.45,28.35,2.29,234.2,22.65,0.0,2018-01-01 14:00:00
14.2,35.42,1.67,235.3,17.58,0.0,2018-01-01 15:00:00
11.08,50.63,0.9,234.5,14.9,0.0,2018-01-01 16:00:00
10.37,44.33,0.55,259.5,15.92,0.0,2018-01-01 17:00:00
9.88,44.3,0.57,12.1,14.63,0.0,2018-01-01 18:00:00
8.81,47.75,0.99,40.5,17.82,0.0,2018-01-01 19:00:00
8.37,48.29,1.14,50.3,24.81,0.0,2018-01-01 20:00:00
8.08,47.91,1.19,58.5,29.28,0.0,2018-01-01 21:00:00
7.8,47.33,1.18,66.5,18.4,0.0,2018-01-01 22:00:00
7.37,47.61,1.16,71.4,26.07,0.0,2018-01-01 23:00:00
6.85,48.45,1.13,74.1,24.16,0.0,2018-01-02 00:00:00
6.45,48.75,1.06,73.6,19.62,0.0,2018-01-02 01:00:00
6.11,48.69,0.97,68.8,26.06,0.0,2018-01-02 02:00:00
5.76,48.48,0.97,66.3,26.18,0.0,2018-01-02 03:00:00
5.26,48.73,1.16,69.8,29.99,0.0,2018-01-02 04:00:00
4.48,49.94,1.31,73.6,30.61,0.0,2018-01-02 05:00:00
3.9,49.9,1.34,76.2,29.25,0.0,2018-01-02 06:00:00
4.58,49.3,1.24,77.0,25.49,0.0,2018-01-02 07:00:00
8.5,44.39,1.35,70.1,18.87,0.0,2018-01-02 08:00:00
12.08,28.74,0.8,112.7,18.73,0.0,2018-01-02 09:00:00
14.21,26.51,1.38,220.3,17.69,0.0,2018-01-02 10:00:00
15.34,24.88,2.08,235.8,19.21,0.0,2018-01-02 11:00:00
15.89,24.08,2.52,242.8,14.86,0.0,2018-01-02 12:00:00
15.87,24.26,2.63,246.7,11.58,0.0,2018-01-02 13:00:00
15.21,25.63,2.39,248.7,19.85,0.0,2018-01-02 14:00:00
13.69,33.31,1.84,247.6,30.07,0.0,2018-01-02 15:00:00
10.03,50.35,0.97,253.2,40.04,0.0,2018-01-02 16:00:00
9.13,44.72,0.69,283.4,50.62,0.0,2018-01-02 17:00:00
8.33,45.93,0.74,18.2,57.51,0.0,2018-01-02 18:00:00
7.52,48.3,1.08,43.9,83.1,0.0,2018-01-02 19:00:00
7.44,46.91,1.08,51.0,92.71,0.0,2018-01-02 20:00:00
7.76,43.86,1.0,55.2,81.49,0.0,2018-01-02 21:00:00
7.78,42.17,0.99,54.9,82.0,0.0,2018-01-02 22:00:00
7.33,42.07,1.04,53.2,73.11,0.0,2018-01-02 23:00:00
6.97,41.66,1.1,53.9,76.14,0.0,2018-01-03 00:00:00
7.0,39.54,1.09,57.3,59.75,0.0,2018-01-03 01:00:00
7.27,36.54,1.02,60.7,67.19,0.0,2018-01-03 02:00:00
7.05,35.52,0.95,63.7,72.87,0.0,2018-01-03 03:00:00
6.43,35.41,0.94,67.5,60.66,0.0,2018-01-03 04:00:00
5.89,35.38,0.95,72.1,50.48,0.0,2018-01-03 05:00:00
5.94,33.58,0.94,72.0,50.37,0.0,2018-01-03 06:00:00
6.69,34.41,0.85,67.9,47.04,0.0,2018-01-03 07:00:00
9.21,38.29,0.64,67.0,43.2,0.0,2018-01-03 08:00:00
11.83,26.45,0.31,196.7,42.77,0.0,2018-01-03 09:00:00
13.75,25.16,1.52,233.3,40.57,0.0,2018-01-03 10:00:00
15.13,23.92,2.24,234.5,40.8,0.0,2018-01-03 11:00:00
15.68,23.8,2.7,232.5,33.04,0.0,2018-01-03 12:00:00
15.59,24.57,2.77,233.4,29.34,0.0,2018-01-03 13:00:00
14.99,25.95,2.44,234.7,25.76,0.0,2018-01-03 14:00:00
13.57,32.97,1.73,235.6,20.17,0.0,2018-01-03 15:00:00
10.07,49.21,0.92,251.0,18.79,0.0,2018-01-03 16:00:00
9.02,43.7,0.7,290.0,15.34,0.0,2018-01-03 17:00:00
8.02,45.99,0.81,3.5,33.27,0.0,2018-01-03 18:00:00
7.41,47.13,1.01,24.0,40.19,0.0,2018-01-03 19:00:00
7.5,45.46,1.04,31.2,45.27,0.0,2018-01-03 20:00:00
7.69,43.52,1.02,35.4,45.36,0.0,2018-01-03 21:00:00
7.61,42.8,0.96,37.3,41.83,0.0,2018-01-03 22:00:00
7.53,42.06,0.91,37.9,41.53,0.0,2018-01-03 23:00:00
7.48,41.22,0.92,40.1,41.52,0.0,2018-01-04 00:00:00
7.34,40.62,0.93,43.7,34.69,0.0,2018-01-04 01:00:00
7.37,39.68,0.88,45.5,38.42,0.0,2018-01-04 02:00:00
7.56,38.18,0.83,43.1,44.12,0.0,2018-01-04 03:00:00
7.04,38.98,0.84,41.6,42.2,0.0,2018-01-04 04:00:00
6.42,40.23,0.88,45.9,40.27,0.0,2018-01-04 05:00:00
6.41,39.37,0.87,49.7,38.98,0.0,2018-01-04 06:00:00
7.33,38.38,0.79,54.3,38.26,0.0,2018-01-04 07:00:00
9.7,42.38,0.48,64.0,34.37,0.0,2018-01-04 08:00:00
12.16,31.03,0.63,219.2,36.16,0.0,2018-01-04 09:00:00
13.82,26.02,1.76,223.8,35.1,0.0,2018-01-04 10:00:00
15.02,23.06,2.47,220.4,25.55,0.0,2018-01-04 11:00:00
