temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.97,41.5,0.7,104.8,86.54,0.0,2018-01-01 00:00:00
10.22,44.62,0.74,117.3,81.35,0.0,2018-01-01 01:00:00
9.84,46.28,0.74,126.7,90.26,0.0,2018-01-01 02:00:00
9.41,48.01,0.72,133.9,85.24,0.0,2018-01-01 03:00:00
8.97,49.73,0.74,141.6,82.64,0.0,2018-01-01 04:00:00
8.56,50.86,0.81,148.1,90.83,0.0,2018-01-01 05:00:00
8.14,51.64,0.92,151.5,91.45,0.0,2018-01-01 06:00:00
8.34,52.53,0.98,152.6,90.11,0.0,2018-01-01 07:00:00
10.8,46.72,1.34,157.1,87.38,0.0,2018-01-01 08:00:00
13.09,35.31,1.82,162.5,84.99,0.0,2018-01-01 09:00:00
15.55,27.54,1.62,179.6,95.89,0.0,2018-01-01 10:00:00
17.87,22.53,1.66,205.3,97.41,0.0,2018-01-01 11:00:00
19.14,20.65,2.0,224.8,91.57,0.0,2018-01-01 12:00:00
19.38,20.13,2.17,233.8,83.85,0.08,2018-01-01 13:00:00
18.92,20.92,1.99,241.5,86.56,0.09,2018-01-01 14:00:00
17.16,33.27,1.04,248.6,89.49,0.0,2018-01-01 15:00:00
14.26,37.46,1.04,252.1,91.75,0.0,2018-01-01 16:00:00
13.3,33.64,1.09,255.7,92.08,0.0,2018-01-01 17:00:00
13.24,31.22,0.85,263.2,94.52,0.0,2018-01-01 18:00:00
13.51,29.87,0.46,286.5,93.94,0.0,2018-01-01 19:00:00
12.89,31.22,0.25,11.8,94.55,0.0,2018-01-01 20:00:00
11.71,34.31,0.55,59.2,95.15,0.0,2018-01-01 21:00:00
10.92,37.0,0.82,73.8,93.35,0.0,2018-01-01 22:00:00
10.15,39.82,0.96,82.8,95.75,0.0,2018-01-01 23:00:00
9.73,41.2,1.0,92.3,95.75,0.0,2018-01-02 00:00:00
9.44,42.27,0.94,104.2,90.52,0.0,2018-01-02 01:00:00
9.61,41.79,0.79,116.2,95.77,0.0,2018-01-02 02:00:00
9.45,42.63,0.51,128.7,96.38,0.0,2018-01-02 03:00:00
9.28,42.73,0.33,136.2,95.78,0.0,2018-01-02 04:00:00
8.81,44.68,0.47,107.3,95.79,0.0,2018-01-02 05:00:00
8.27,46.8,0.7,102.4,95.8,0.0,2018-01-02 06:00:00
8.42,48.05,0.8,108.9,96.25,0.0,2018-01-02 07:00:00
11.11,46.53,0.68,129.1,95.42,0.0,2018-01-02 08:00:00
13.98,33.25,0.33,203.4,94.38,0.0,2018-01-02 09:00:00
16.61,28.33,1.23,281.8,92.7,0.0,2018-01-02 10:00:00
18.81,25.07,2.06,290.7,94.67,0.0,2018-01-02 11:00:00
19.85,23.28,2.65,294.3,94.29,0.0,2018-01-02 12:00:00
20.11,22.43,2.9,297.5,70.34,0.0,2018-01-02 13:00:00
19.72,22.69,2.69,299.1,68.91,0.0,2018-01-02 14:00:00
18.1,30.82,1.61,295.8,67.41,0.0,2018-01-02 15:00:00
14.1,42.22,1.16,291.2,65.54,0.0,2018-01-02 16:00:00
12.33,40.77,1.33,292.1,64.22,0.0,2018-01-02 17:00:00
12.31,38.23,1.24,301.5,84.24,0.0,2018-01-02 18:00:00
12.37,36.58,0.99,323.2,93.93,0.0,2018-01-02 19:00:00
12.19,36.81,0.88,349.6,95.76,0.0,2018-01-02 20:00:00
11.51,38.75,0.87,12.0,96.66,0.0,2018-01-02 21:00:00
10.93,40.15,0.89,28.0,96.37,0.0,2018-01-02 22:00:00
10.22,41.97,0.94,42.0,96.37,0.0,2018-01-02 23:00:00
9.54,43.78,0.98,53.7,96.18,0.0,2018-01-03 00:00:00
9.27,44.29,0.94,62.9,99.46,0.0,2018-01-03 01:00:00
9.22,44.02,0.78,74.4,100.0,0.0,2018-01-03 02:00:00
9.08,44.42,0.57,85.0,96.4,0.0,2018-01-03 03:00:00
9.25,43.64,0.48,84.1,96.4,0.0,2018-01-03 04:00:00
8.99,44.29,0.44,83.5,96.41,0.0,2018-01-03 05:00:00
8.82,44.7,0.41,83.0,96.4,0.0,2018-01-03 06:00:00
9.21,44.12,0.37,77.5,97.31,0.0,2018-01-03 07:00:00
10.78,45.32,0.1,66.1,96.6,0.0,2018-01-03 08:00:00
13.21,34.29,0.88,299.2,95.67,0.0,2018-01-03 09:00:00
15.57,28.55,1.74,296.3,94.64,0.0,2018-01-03 10:00:00
17.94,23.93,2.35,295.1,89.72,0.0,2018-01-03 11:00:00
19.37,21.3,2.8,292.3,44.18,0.0,2018-01-03 12:00:00
19.67,20.82,2.95,291.3,91.03,0.0,2018-01-03 13:00:00
19.3,21.44,2.78,294.0,76.7,0.0,2018-01-03 14:00:00
17.41,30.97,1.56,295.4,64.33,0.0,2018-01-03 15:00:00
13.27,41.82,1.21,298.0,48.27,0.0,2018-01-03 16:00:00
