temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
11.69,35.6,1.36,295.6,99.96,0.0,2016-01-01 00:00:00
11.1,37.02,1.48,300.4,100.0,0.0,2016-01-01 01:00:00
10.7,38.76,1.46,308.9,94.53,0.0,2016-01-01 02:00:00
10.37,40.75,1.33,317.4,96.15,0.0,2016-01-01 03:00:00
10.46,41.15,1.1,324.3,73.82,0.0,2016-01-01 04:00:00
10.06,42.79,0.89,322.7,78.13,0.0,2016-01-01 05:00:00
9.62,43.44,0.69,300.3,27.62,0.0,2016-01-01 06:00:00
10.24,42.97,0.63,268.2,44.23,0.0,2016-01-01 07:00:00
12.3,39.51,0.72,249.8,56.69,0.0,2016-01-01 08:00:00
13.75,34.23,1.01,244.7,69.4,0.0,2016-01-01 09:00:00
15.66,31.25,1.09,245.6,81.9,0.0,2016-01-01 10:00:00
19.15,23.19,1.72,268.3,86.62,0.0,2016-01-01 11:00:00
22.02,16.46,2.27,277.1,60.54,0.0,2016-01-01 12:00:00
23.28,14.01,2.13,278.6,60.27,0.0,2016-01-01 13:00:00
23.41,13.23,1.74,278.9,46.76,0.0,2016-01-01 14:00:00
22.01,22.28,0.72,274.8,33.55,0.0,2016-01-01 15:00:00
20.01,20.37,0.56,254.5,20.83,0.0,2016-01-01 16:00:00
18.53,19.66,0.6,224.3,5.79,0.0,2016-01-01 17:00:00
17.26,20.1,0.78,215.1,35.96,0.0,2016-01-01 18:00:00
16.22,21.14,0.82,213.1,66.4,0.0,2016-01-01 19:00:00
15.82,21.6,0.73,205.9,10.13,0.0,2016-01-01 20:00:00
15.31,22.23,0.67,196.5,2.33,0.0,2016-01-01 21:00:00
14.54,24.24,0.62,192.0,39.18,0.0,2016-01-01 22:00:00
14.02,25.46,0.66,191.3,41.68,0.0,2016-01-01 23:00:00
13.37,26.76,0.69,192.6,52.37,0.0,2016-01-02 00:00:00
12.63,27.98,0.68,199.0,0.25,0.0,2016-01-02 01:00:00
12.2,28.56,0.64,203.8,7.04,0.0,2016-01-02 02:00:00
11.76,28.81,0.56,198.8,13.61,0.0,2016-01-02 03:00:00
11.35,29.25,0.49,190.6,12.71,0.0,2016-01-02 04:00:00
10.85,30.25,0.52,183.3,10.39,0.0,2016-01-02 05:00:00
10.35,31.16,0.64,174.6,9.01,0.0,2016-01-02 06:00:00
10.19,32.54,0.72,167.9,15.22,0.0,2016-01-02 07:00:00
12.46,31.09,0.92,164.9,22.46,0.0,2016-01-02 08:00:00
14.93,24.79,1.13,174.9,27.93,0.0,2016-01-02 09:00:00
