temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
13.79,26.13,1.11,305.8,100.0,0.0,2016-01-01 00:00:00
12.1,28.84,1.29,303.3,98.24,0.0,2016-01-01 01:00:00
11.18,30.53,1.31,307.2,96.85,0.0,2016-01-01 02:00:00
10.71,31.75,1.26,314.4,62.34,0.0,2016-01-01 03:00:00
10.06,33.68,1.2,324.5,55.03,0.0,2016-01-01 04:00:00
9.14,36.67,1.23,335.5,74.37,0.0,2016-01-01 05:00:00
8.96,37.7,1.19,343.9,60.87,0.0,2016-01-01 06:00:00
10.24,35.0,0.87,350.1,56.03,0.0,2016-01-01 07:00:00
13.09,29.11,0.77,354.8,52.74,0.0,2016-01-01 08:00:00
15.08,25.6,0.35,318.5,50.13,0.0,2016-01-01 09:00:00
18.28,20.66,0.76,268.5,47.2,0.0,2016-01-01 10:00:00
22.3,14.56,1.87,282.0,31.38,0.0,2016-01-01 11:00:00
23.78,12.33,2.08,280.8,3.09,0.0,2016-01-01 12:00:00
24.39,11.15,1.96,282.4,7.64,0.0,2016-01-01 13:00:00
24.31,10.51,1.65,285.1,9.29,0.0,2016-01-01 14:00:00
23.05,12.3,0.88,289.9,11.5,0.0,2016-01-01 15:00:00
20.84,14.2,0.62,301.1,16.03,0.0,2016-01-01 16:00:00
19.66,14.45,0.47,312.4,21.8,0.0,2016-01-01 17:00:00
18.93,15.06,0.33,317.5,25.8,0.0,2016-01-01 18:00:00
18.22,15.6,0.17,339.4,29.84,0.0,2016-01-01 19:00:00
17.49,16.1,0.23,70.0,41.29,0.0,2016-01-01 20:00:00
16.99,16.79,0.36,93.2,22.0,0.0,2016-01-01 21:00:00
16.73,17.4,0.36,109.4,2.91,0.0,2016-01-01 22:00:00
16.12,17.92,0.33,118.9,7.19,0.0,2016-01-01 23:00:00
15.44,18.53,0.21,138.8,21.63,0.0,2016-01-02 00:00:00
15.01,19.05,0.15,216.9,2.51,0.0,2016-01-02 01:00:00
14.31,19.92,0.25,251.6,18.24,0.0,2016-01-02 02:00:00
13.69,20.74,0.25,258.2,33.94,0.0,2016-01-02 03:00:00
13.04,21.74,0.26,270.0,73.28,0.0,2016-01-02 04:00:00
12.4,22.68,0.32,273.6,98.08,0.0,2016-01-02 05:00:00
11.85,23.42,0.33,259.4,64.04,0.0,2016-01-02 06:00:00
11.88,23.38,0.34,220.2,47.42,0.0,2016-01-02 07:00:00
13.47,21.8,0.6,207.8,34.34,0.0,2016-01-02 08:00:00
15.9,17.84,1.01,215.7,19.33,0.0,2016-01-02 09:00:00
20.33,12.9,1.15,257.9,11.17,0.0,2016-01-02 10:00:00
23.21,9.91,1.59,285.7,27.03,0.0,2016-01-02 11:00:00
24.15,8.88,2.08,292.0,43.87,0.0,2016-01-02 12:00:00
24.56,8.19,2.36,300.3,4.12,0.0,2016-01-02 13:00:00
24.41,8.1,2.5,308.0,3.61,0.0,2016-01-02 14:00:00
23.16,9.18,1.81,313.7,3.09,0.0,2016-01-02 15:00:00
18.56,13.82,1.16,315.7,2.58,0.0,2016-01-02 16:00:00
16.23,15.41,1.4,315.0,2.06,0.0,2016-01-02 17:00:00
15.55,16.29,1.4,311.5,1.03,0.0,2016-01-02 18:00:00
15.06,17.0,1.4,307.4,1.03,0.0,2016-01-02 19:00:00
14.48,17.94,1.4,304.5,1.03,0.0,2016-01-02 20:00:00
13.74,19.23,1.4,301.9,4.12,0.0,2016-01-02 21:00:00
13.0,20.6,1.4,299.1,0.89,0.0,2016-01-02 22:00:00
12.29,22.13,1.39,297.5,0.93,0.0,2016-01-02 23:00:00
11.46,23.84,1.38,297.7,0.98,0.0,2016-01-03 00:00:00
10.5,26.04,1.36,300.0,1.03,0.0,2016-01-03 01:00:00
9.61,28.43,1.35,304.2,2.28,0.0,2016-01-03 02:00:00
8.96,30.53,1.37,307.9,2.23,0.0,2016-01-03 03:00:00
8.44,32.78,1.38,310.9,2.17,0.0,2016-01-03 04:00:00
7.94,35.41,1.31,315.3,2.12,0.0,2016-01-03 05:00:00
7.57,38.01,1.23,320.6,2.06,0.0,2016-01-03 06:00:00
8.75,36.64,1.08,322.9,8.72,0.0,2016-01-03 07:00:00
12.68,29.3,1.99,319.9,14.81,0.0,2016-01-03 08:00:00
15.75,24.56,1.42,299.4,23.67,0.0,2016-01-03 09:00:00
20.82,17.21,2.22,295.6,31.46,0.0,2016-01-03 10:00:00
23.89,14.0,2.88,298.2,69.55,0.0,2016-01-03 11:00:00
24.93,13.54,2.77,291.8,33.0,0.0,2016-01-03 12:00:00
25.33,13.6,2.91,285.6,31.63,0.0,2016-01-03 13:00:00
25.11,14.02,3.09,283.3,24.94,0.0,2016-01-03 14:00:00
23.87,15.42,2.18,284.4,19.69,0.0,2016-01-03 15:00:00
19.86,20.38,1.11,286.2,13.37,0.0,2016-01-03 16:00:00
18.2,22.23,1.18,288.7,8.22,0.0,2016-01-03 17:00:00
17.93,22.31,1.18,287.2,17.51,0.0,2016-01-03 18:00:00
17.44,22.7,1.07,282.4,12.36,0.0,2016-01-03 19:00:00
16.83,23.52,1.03,274.4,14.43,0.0,2016-01-03 20:00:00
15.95,24.88,1.08,271.1,2.06,0.0,2016-01-03 21:00:00
15.11,26.27,1.18,275.4,16.31,0.0,2016-01-03 22:00:00
14.5,27.42,1.1,284.2,31.99,0.0,2016-01-03 23:00:00
14.57,27.39,0.94,293.8,22.69,0.0,2016-01-04 00:00:00
14.37,27.74,0.7,299.8,9.75,0.0,2016-01-04 01:00:00
14.38,27.82,0.39,320.2,8.02,0.0,2016-01-04 02:00:00
14.23,28.08,0.25,56.3,6.16,0.0,2016-01-04 03:00:00
13.56,29.43,0.52,106.7,43.48,0.0,2016-01-04 04:00:00
12.71,31.13,0.76,126.4,25.77,0.0,2016-01-04 05:00:00
11.75,33.07,0.93,128.5,76.64,0.0,2016-01-04 06:00:00
11.43,33.79,0.97,122.4,79.89,0.0,2016-01-04 07:00:00
12.82,30.85,1.16,129.0,82.39,0.0,2016-01-04 08:00:00
14.84,27.07,2.19,135.0,85.44,0.0,2016-01-04 09:00:00
