temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
11.97,42.85,0.99,109.5,33.61,0.0,2017-01-01 00:00:00
11.32,44.85,0.92,93.7,1.03,0.0,2017-01-01 01:00:00
10.34,47.75,0.97,81.7,94.8,0.0,2017-01-01 02:00:00
9.36,50.86,1.02,80.4,94.8,0.0,2017-01-01 03:00:00
8.66,53.04,1.03,83.3,94.81,0.0,2017-01-01 04:00:00
8.18,54.67,1.01,88.3,2.06,0.0,2017-01-01 05:00:00
7.83,55.89,1.01,92.8,2.06,0.0,2017-01-01 06:00:00
8.07,55.03,0.92,97.5,15.5,0.0,2017-01-01 07:00:00
10.44,46.93,1.52,100.2,29.63,0.0,2017-01-01 08:00:00
12.27,41.7,1.43,99.3,41.76,0.0,2017-01-01 09:00:00
14.92,35.57,1.02,82.1,52.3,0.0,2017-01-01 10:00:00
18.97,30.18,1.38,67.3,33.28,0.0,2017-01-01 11:00:00
21.13,28.28,1.42,66.9,22.37,0.0,2017-01-01 12:00:00
21.68,28.3,1.4,64.5,29.42,0.0,2017-01-01 13:00:00
21.75,28.78,1.47,58.0,24.11,0.0,2017-01-01 14:00:00
20.83,30.83,1.06,52.3,18.88,0.0,2017-01-01 15:00:00
18.13,36.93,0.94,48.5,14.59,0.0,2017-01-01 16:00:00
16.62,41.07,1.07,45.8,10.21,0.0,2017-01-01 17:00:00
16.0,43.11,1.07,45.8,5.62,0.0,2017-01-01 18:00:00
15.54,44.79,1.04,46.9,1.03,0.0,2017-01-01 19:00:00
15.26,45.98,0.93,51.5,31.38,0.0,2017-01-01 20:00:00
15.23,46.35,0.78,58.2,61.62,0.0,2017-01-01 21:00:00
14.97,47.51,0.59,70.3,5.14,0.0,2017-01-01 22:00:00
14.87,48.09,0.5,85.4,2.06,0.0,2017-01-01 23:00:00
14.45,49.6,0.41,85.8,2.06,0.0,2017-01-02 00:00:00
13.98,51.34,0.37,64.1,61.77,0.0,2017-01-02 01:00:00
13.42,53.35,0.34,25.8,32.94,0.0,2017-01-02 02:00:00
12.93,54.96,0.39,8.7,4.12,0.0,2017-01-02 03:00:00
12.42,56.81,0.43,30.7,8.98,0.0,2017-01-02 04:00:00
11.9,58.81,0.48,41.6,13.84,0.0,2017-01-02 05:00:00
11.44,60.55,0.44,34.8,18.7,0.0,2017-01-02 06:00:00
11.37,60.88,0.34,36.5,23.63,0.0,2017-01-02 07:00:00
12.66,55.85,0.29,22.2,28.76,0.0,2017-01-02 08:00:00
14.79,48.75,0.25,348.7,33.7,0.0,2017-01-02 09:00:00
19.8,36.69,0.21,219.1,38.47,0.0,2017-01-02 10:00:00
22.02,31.82,0.35,223.8,36.95,0.0,2017-01-02 11:00:00
22.56,30.24,0.59,263.2,31.54,0.0,2017-01-02 12:00:00
22.6,29.74,0.93,274.9,26.44,0.0,2017-01-02 13:00:00
21.23,32.07,0.7,280.7,20.97,0.0,2017-01-02 14:00:00
20.09,34.27,0.69,292.9,14.84,0.0,2017-01-02 15:00:00
18.88,36.96,0.77,303.3,9.57,0.0,2017-01-02 16:00:00
18.19,38.52,0.64,311.9,5.06,0.0,2017-01-02 17:00:00
17.89,39.26,0.27,309.0,4.12,0.0,2017-01-02 18:00:00
17.25,40.9,0.22,291.8,9.15,0.0,2017-01-02 19:00:00
16.68,42.42,0.25,293.5,13.29,0.0,2017-01-02 20:00:00
16.19,43.94,0.3,279.5,32.86,0.0,2017-01-02 21:00:00
15.77,45.21,0.36,265.2,57.16,0.0,2017-01-02 22:00:00
15.42,46.32,0.41,285.7,98.98,0.0,2017-01-02 23:00:00
14.82,48.13,0.57,317.1,23.59,0.0,2017-01-03 00:00:00
13.96,50.69,0.76,343.9,26.68,0.0,2017-01-03 01:00:00
12.86,54.02,0.87,7.9,88.94,0.0,2017-01-03 02:00:00
12.03,56.24,0.94,24.6,67.13,0.0,2017-01-03 03:00:00
11.5,57.41,0.93,44.1,74.46,0.0,2017-01-03 04:00:00
11.32,57.39,0.87,72.0,83.69,0.0,2017-01-03 05:00:00
11.0,58.76,0.84,111.7,84.68,0.0,2017-01-03 06:00:00
10.64,60.97,0.84,150.7,85.77,0.0,2017-01-03 07:00:00
11.62,58.22,0.68,185.9,86.87,0.0,2017-01-03 08:00:00
13.23,53.04,1.24,213.8,88.88,0.0,2017-01-03 09:00:00
14.9,47.96,1.04,242.0,89.91,0.0,2017-01-03 10:00:00
18.46,38.97,1.12,258.7,13.18,0.0,2017-01-03 11:00:00
20.5,34.81,0.85,255.0,33.36,0.0,2017-01-03 12:00:00
21.12,33.66,0.59,222.3,52.55,0.0,2017-01-03 13:00:00
21.63,32.97,0.78,183.7,41.19,0.0,2017-01-03 14:00:00
21.11,34.4,0.89,171.0,29.21,0.0,2017-01-03 15:00:00
19.06,39.41,0.67,173.2,18.18,0.0,2017-01-03 16:00:00
17.33,44.27,0.74,175.4,6.04,0.0,2017-01-03 17:00:00
16.7,46.34,0.84,176.6,19.47,0.0,2017-01-03 18:00:00
16.1,48.42,0.91,181.9,28.73,0.0,2017-01-03 19:00:00
15.68,49.92,0.8,182.1,1.03,0.0,2017-01-03 20:00:00
15.7,50.12,0.6,168.5,3.09,0.0,2017-01-03 21:00:00
15.22,51.87,0.52,128.0,83.39,0.0,2017-01-03 22:00:00
14.31,55.27,0.75,96.9,14.3,0.0,2017-01-03 23:00:00
13.09,60.01,1.0,87.1,6.06,0.0,2017-01-04 00:00:00
11.89,65.03,1.15,85.5,29.43,0.0,2017-01-04 01:00:00
10.97,68.97,1.18,91.9,15.29,0.0,2017-01-04 02:00:00
10.25,72.07,1.17,104.4,1.03,0.0,2017-01-04 03:00:00
9.56,75.21,1.17,117.4,1.03,0.0,2017-01-04 04:00:00
8.96,78.03,1.19,130.2,1.03,0.0,2017-01-04 05:00:00
8.5,80.25,1.23,142.3,21.45,0.0,2017-01-04 06:00:00
