temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.06,33.17,1.19,256.4,3.55,0.0,2018-01-01 00:00:00
9.05,35.64,1.27,253.1,6.46,0.0,2018-01-01 01:00:00
7.95,39.28,1.33,252.1,13.43,0.0,2018-01-01 02:00:00
6.89,42.69,1.35,253.2,8.82,0.0,2018-01-01 03:00:00
5.98,45.79,1.33,253.3,11.21,0.0,2018-01-01 04:00:00
5.32,47.95,1.3,251.1,12.37,0.0,2018-01-01 05:00:00
4.83,49.64,1.25,245.9,11.75,0.0,2018-01-01 06:00:00
5.29,51.84,1.08,238.7,15.89,0.0,2018-01-01 07:00:00
8.49,40.78,1.83,228.1,21.52,0.0,2018-01-01 08:00:00
10.7,34.18,1.91,215.9,24.64,0.0,2018-01-01 09:00:00
13.81,29.05,1.7,211.5,67.86,0.0,2018-01-01 10:00:00
17.0,20.96,1.79,231.1,59.98,0.0,2018-01-01 11:00:00
18.82,17.74,1.71,242.8,1.18,0.0,2018-01-01 12:00:00
19.28,17.51,1.5,248.1,31.61,0.0,2018-01-01 13:00:00
18.97,18.85,1.16,254.5,24.24,0.0,2018-01-01 14:00:00
17.66,32.35,0.5,254.8,15.88,0.0,2018-01-01 15:00:00
16.41,26.64,0.44,237.0,8.32,0.0,2018-01-01 16:00:00
15.49,24.75,0.45,214.0,1.18,0.0,2018-01-01 17:00:00
14.74,25.42,0.48,210.3,7.08,0.0,2018-01-01 18:00:00
14.08,26.44,0.56,213.4,18.29,0.0,2018-01-01 19:00:00
13.26,27.69,0.63,218.0,31.31,0.0,2018-01-01 20:00:00
12.51,29.3,0.67,222.0,42.55,0.0,2018-01-01 21:00:00
11.71,31.81,0.62,219.8,49.8,0.0,2018-01-01 22:00:00
11.03,33.99,0.54,202.8,69.77,0.0,2018-01-01 23:00:00
10.36,35.28,0.58,180.0,78.05,0.0,2018-01-02 00:00:00
9.52,37.45,0.68,177.5,85.21,0.0,2018-01-02 01:00:00
8.77,38.98,0.8,198.2,92.87,0.0,2018-01-02 02:00:00
7.49,43.14,0.98,224.6,99.36,0.0,2018-01-02 03:00:00
6.56,46.31,1.15,234.5,99.35,0.0,2018-01-02 04:00:00
5.99,47.84,1.16,235.5,99.95,0.0,2018-01-02 05:00:00
5.72,48.42,1.14,237.6,99.99,0.0,2018-01-02 06:00:00
6.14,49.75,0.98,242.1,99.9,0.0,2018-01-02 07:00:00
8.84,41.53,1.34,248.0,99.79,0.0,2018-01-02 08:00:00
11.15,34.16,1.42,248.9,99.41,0.0,2018-01-02 09:00:00
14.89,28.05,1.15,266.0,97.51,0.0,2018-01-02 10:00:00
18.91,21.43,1.67,303.8,98.99,0.0,2018-01-02 11:00:00
20.11,19.93,1.97,309.4,99.29,0.0,2018-01-02 12:00:00
20.59,19.21,2.14,312.9,86.42,0.0,2018-01-02 13:00:00
20.27,19.79,1.94,315.2,86.96,0.0,2018-01-02 14:00:00
18.29,36.58,0.81,313.5,86.35,0.0,2018-01-02 15:00:00
