temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
5.71,62.89,1.44,339.7,1.24,0.0,2019-01-01 00:00:00
5.74,62.74,1.34,344.0,1.66,0.0,2019-01-01 01:00:00
6.06,61.17,1.25,345.2,6.66,0.0,2019-01-01 02:00:00
6.06,59.62,1.2,342.0,20.59,0.0,2019-01-01 03:00:00
5.83,58.69,1.18,333.2,42.4,0.0,2019-01-01 04:00:00
5.31,59.61,1.16,325.2,45.45,0.0,2019-01-01 05:00:00
5.01,59.82,1.18,322.3,42.24,0.0,2019-01-01 06:00:00
5.65,59.87,1.08,324.4,54.53,0.0,2019-01-01 07:00:00
9.08,52.87,1.53,325.7,65.9,0.0,2019-01-01 08:00:00
11.67,42.17,1.75,328.8,76.31,0.0,2019-01-01 09:00:00
14.12,38.37,1.75,315.7,86.43,0.0,2019-01-01 10:00:00
16.59,31.37,2.38,310.1,81.75,0.0,2019-01-01 11:00:00
16.82,31.88,2.47,305.3,92.87,0.0,2019-01-01 12:00:00
16.03,37.42,2.08,304.6,98.88,0.0,2019-01-01 13:00:00
14.76,46.79,1.45,308.0,98.34,0.0,2019-01-01 14:00:00
13.2,53.43,1.12,321.9,97.37,0.0,2019-01-01 15:00:00
11.65,55.72,1.08,339.9,97.46,0.0,2019-01-01 16:00:00
10.33,55.82,1.09,350.5,95.21,0.0,2019-01-01 17:00:00
9.63,57.48,1.09,356.3,77.64,0.0,2019-01-01 18:00:00
9.0,59.3,1.08,3.7,96.64,0.0,2019-01-01 19:00:00
8.9,58.58,1.08,8.0,95.57,0.0,2019-01-01 20:00:00
9.33,56.21,1.02,20.0,94.34,0.0,2019-01-01 21:00:00
9.96,53.09,0.94,52.8,64.65,0.0,2019-01-01 22:00:00
9.85,54.24,1.07,94.3,99.92,0.0,2019-01-01 23:00:00
8.75,59.67,1.21,120.8,97.98,0.22,2019-01-02 00:00:00
7.76,64.42,1.28,138.5,98.62,0.22,2019-01-02 01:00:00
7.04,67.21,1.22,151.5,95.51,0.22,2019-01-02 02:00:00
7.22,65.77,0.98,158.4,100.0,0.0,2019-01-02 03:00:00
7.85,63.02,0.7,148.3,99.8,0.0,2019-01-02 04:00:00
7.66,64.15,0.74,127.3,90.84,0.0,2019-01-02 05:00:00
7.22,66.61,0.91,127.0,54.03,0.0,2019-01-02 06:00:00
7.58,67.63,0.9,132.7,41.32,0.0,2019-01-02 07:00:00
10.19,61.84,1.23,138.9,30.0,0.0,2019-01-02 08:00:00
12.36,52.15,1.59,146.3,27.23,0.0,2019-01-02 09:00:00
14.98,42.94,1.27,164.0,25.42,0.0,2019-01-02 10:00:00
17.85,31.47,1.14,200.0,79.55,0.0,2019-01-02 11:00:00
19.23,27.63,1.19,238.0,59.36,0.0,2019-01-02 12:00:00
19.52,26.98,1.37,266.2,16.35,0.0,2019-01-02 13:00:00
19.09,28.85,1.42,286.4,4.99,0.0,2019-01-02 14:00:00
17.06,46.03,0.79,303.7,1.59,0.0,2019-01-02 15:00:00
14.06,47.34,1.09,320.6,4.48,0.0,2019-01-02 16:00:00
12.06,47.35,1.28,331.4,5.73,0.0,2019-01-02 17:00:00
10.88,50.01,1.31,339.5,4.45,0.0,2019-01-02 18:00:00
10.02,52.22,1.33,344.7,3.17,0.0,2019-01-02 19:00:00
9.36,54.05,1.33,347.8,1.89,0.0,2019-01-02 20:00:00
8.82,56.19,1.33,348.7,0.61,0.0,2019-01-02 21:00:00
8.3,58.77,1.32,350.4,2.29,0.0,2019-01-02 22:00:00
7.74,62.41,1.32,349.5,1.45,0.0,2019-01-02 23:00:00
7.28,66.43,1.34,348.8,0.61,0.0,2019-01-03 00:00:00
6.88,70.21,1.36,348.5,2.4,0.0,2019-01-03 01:00:00
6.5,73.35,1.37,349.5,3.03,0.0,2019-01-03 02:00:00
6.2,75.69,1.38,348.3,6.66,0.0,2019-01-03 03:00:00
5.98,77.52,1.36,345.0,28.44,0.0,2019-01-03 04:00:00
5.76,79.41,1.34,342.2,45.37,0.0,2019-01-03 05:00:00
5.49,81.48,1.32,341.0,56.3,0.0,2019-01-03 06:00:00
6.56,77.99,1.28,338.4,53.1,0.0,2019-01-03 07:00:00
10.21,65.38,2.19,331.7,51.36,0.0,2019-01-03 08:00:00
12.83,56.39,2.45,326.5,50.42,0.0,2019-01-03 09:00:00
16.17,50.01,3.19,321.1,49.17,0.0,2019-01-03 10:00:00
18.31,44.69,3.58,315.7,29.44,0.0,2019-01-03 11:00:00
19.23,40.94,3.53,312.1,10.13,0.0,2019-01-03 12:00:00
19.32,39.06,3.4,308.4,9.56,0.0,2019-01-03 13:00:00
18.92,39.3,3.15,305.3,11.74,0.0,2019-01-03 14:00:00
17.75,46.01,2.18,302.2,8.83,0.0,2019-01-03 15:00:00
