temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
5.73,65.2,0.65,325.6,99.22,0.0,2020-01-01 00:00:00
4.98,69.05,0.87,339.1,99.77,0.0,2020-01-01 01:00:00
4.08,73.74,1.02,348.1,100.0,0.0,2020-01-01 02:00:00
3.52,76.9,1.09,352.6,99.92,0.0,2020-01-01 03:00:00
3.25,78.17,1.1,357.9,99.94,0.0,2020-01-01 04:00:00
3.27,77.67,1.08,6.4,99.97,0.0,2020-01-01 05:00:00
3.62,74.82,1.02,20.0,99.97,0.0,2020-01-01 06:00:00
4.73,69.44,0.86,36.5,98.21,0.0,2020-01-01 07:00:00
7.4,64.08,0.89,62.6,98.23,0.0,2020-01-01 08:00:00
9.72,52.83,1.18,83.7,99.29,0.0,2020-01-01 09:00:00
12.96,45.39,1.38,106.5,99.47,0.0,2020-01-01 10:00:00
15.98,37.58,1.96,128.6,99.75,0.0,2020-01-01 11:00:00
17.26,34.69,2.09,136.7,83.07,0.0,2020-01-01 12:00:00
17.74,33.94,1.94,141.3,95.56,0.0,2020-01-01 13:00:00
17.55,35.6,1.37,146.9,96.52,0.0,2020-01-01 14:00:00
16.5,46.78,0.38,174.0,96.93,0.0,2020-01-01 15:00:00
14.75,43.6,0.51,298.1,97.71,0.0,2020-01-01 16:00:00
12.61,47.64,0.96,331.3,99.89,0.0,2020-01-01 17:00:00
10.84,52.99,1.21,352.4,99.91,0.0,2020-01-01 18:00:00
9.44,57.03,1.29,12.1,99.86,0.0,2020-01-01 19:00:00
8.69,58.88,1.3,32.7,99.79,0.0,2020-01-01 20:00:00
8.32,59.22,1.31,51.2,72.78,0.0,2020-01-01 21:00:00
8.33,57.87,1.3,63.0,99.23,0.0,2020-01-01 22:00:00
8.71,54.83,1.21,65.1,84.48,0.0,2020-01-01 23:00:00
9.2,51.53,1.02,55.8,96.11,0.0,2020-01-02 00:00:00
9.34,50.22,0.86,30.7,88.26,0.0,2020-01-02 01:00:00
8.44,53.78,0.94,1.2,99.81,0.0,2020-01-02 02:00:00
7.67,57.27,1.13,350.3,99.83,0.0,2020-01-02 03:00:00
7.21,59.42,1.25,346.1,99.83,0.0,2020-01-02 04:00:00
7.13,59.16,1.22,345.7,99.12,0.0,2020-01-02 05:00:00
7.31,57.08,1.03,346.0,99.8,0.0,2020-01-02 06:00:00
7.99,54.83,0.73,344.8,99.95,0.0,2020-01-02 07:00:00
9.85,52.94,0.45,347.2,99.37,0.0,2020-01-02 08:00:00
11.45,46.2,0.14,180.0,98.99,0.0,2020-01-02 09:00:00
13.51,43.31,0.77,152.1,99.41,0.0,2020-01-02 10:00:00
15.91,38.72,1.3,157.8,99.76,0.0,2020-01-02 11:00:00
17.06,38.15,1.36,177.9,100.0,0.0,2020-01-02 12:00:00
17.49,39.16,0.97,201.2,99.48,0.0,2020-01-02 13:00:00
17.54,40.75,0.55,270.0,88.8,0.0,2020-01-02 14:00:00
16.68,47.59,0.87,322.5,76.33,0.0,2020-01-02 15:00:00
13.19,64.57,0.95,331.8,63.95,0.0,2020-01-02 16:00:00
10.65,66.28,1.31,338.5,49.57,0.0,2020-01-02 17:00:00
9.97,67.07,1.48,346.7,24.94,0.0,2020-01-02 18:00:00
9.51,68.11,1.49,354.6,4.94,0.0,2020-01-02 19:00:00
9.24,68.42,1.39,5.0,1.85,0.0,2020-01-02 20:00:00
9.13,68.11,1.26,18.4,0.93,0.0,2020-01-02 21:00:00
9.11,67.1,1.17,31.4,0.01,0.0,2020-01-02 22:00:00
9.15,65.67,1.09,39.1,4.32,0.0,2020-01-02 23:00:00
9.38,63.17,1.02,36.2,1.23,0.0,2020-01-03 00:00:00
9.53,61.06,0.96,19.4,1.03,0.0,2020-01-03 01:00:00
8.98,62.51,1.0,2.9,0.82,0.0,2020-01-03 02:00:00
8.35,64.48,1.02,352.7,1.03,0.0,2020-01-03 03:00:00
7.73,66.49,1.03,348.3,1.23,0.0,2020-01-03 04:00:00
7.18,67.8,1.07,348.2,1.23,0.0,2020-01-03 05:00:00
6.98,66.72,1.05,0.5,1.85,0.0,2020-01-03 06:00:00
7.78,63.49,0.86,22.7,1.39,0.0,2020-01-03 07:00:00
10.72,57.49,0.93,55.1,0.93,0.0,2020-01-03 08:00:00
13.48,47.13,0.6,100.6,0.46,0.0,2020-01-03 09:00:00
17.18,41.33,0.57,192.1,0.0,0.0,2020-01-03 10:00:00
19.24,40.73,1.49,222.6,0.14,0.01,2020-01-03 11:00:00
20.08,40.95,1.94,238.9,0.27,0.02,2020-01-03 12:00:00
20.34,41.23,2.11,249.8,0.41,0.03,2020-01-03 13:00:00
19.92,42.56,2.17,260.2,18.31,0.04,2020-01-03 14:00:00
18.61,49.61,1.73,271.3,38.92,0.0,2020-01-03 15:00:00
14.85,65.04,1.08,284.4,59.52,0.0,2020-01-03 16:00:00
12.3,67.18,1.28,296.0,82.01,0.0,2020-01-03 17:00:00
11.38,68.53,1.29,306.5,85.68,0.0,2020-01-03 18:00:00
10.7,69.17,1.28,317.2,90.49,0.0,2020-01-03 19:00:00
10.32,68.59,1.2,329.0,81.02,0.0,2020-01-03 20:00:00
10.25,67.16,1.03,343.7,77.24,0.0,2020-01-03 21:00:00
10.39,65.92,0.82,3.5,51.33,0.0,2020-01-03 22:00:00
10.47,65.56,0.65,33.7,56.89,0.0,2020-01-03 23:00:00
10.15,67.33,0.62,71.3,80.99,0.02,2020-01-04 00:00:00
9.95,68.46,0.72,96.3,74.35,0.06,2020-01-04 01:00:00
9.52,70.43,0.78,111.0,75.27,0.2,2020-01-04 02:00:00
9.11,72.1,0.82,123.1,36.51,0.45,2020-01-04 03:00:00
8.8,73.21,0.84,132.1,22.8,0.38,2020-01-04 04:00:00
8.37,74.95,0.87,139.7,5.53,0.38,2020-01-04 05:00:00
7.89,76.74,0.91,148.1,7.33,0.11,2020-01-04 06:00:00
7.88,77.72,0.83,155.9,6.12,0.31,2020-01-04 07:00:00
10.04,72.97,1.0,159.6,0.9,0.41,2020-01-04 08:00:00
11.52,66.64,0.92,163.5,5.46,1.22,2020-01-04 09:00:00
14.09,55.14,0.5,227.4,4.94,2.4,2020-01-04 10:00:00
16.68,42.01,1.12,275.1,27.68,2.81,2020-01-04 11:00:00
17.47,39.21,1.3,286.1,26.04,2.06,2020-01-04 12:00:00
17.75,38.09,1.39,292.5,8.63,1.0,2020-01-04 13:00:00
17.64,38.41,1.44,293.7,22.02,0.86,2020-01-04 14:00:00
16.78,45.89,1.06,292.7,30.35,0.29,2020-01-04 15:00:00
