temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
5.61,63.28,0.78,0.7,86.12,0.0,2020-01-01 00:00:00
4.69,67.84,1.03,358.9,81.02,0.0,2020-01-01 01:00:00
3.67,73.28,1.19,0.5,95.11,0.0,2020-01-01 02:00:00
2.88,78.11,1.23,4.2,99.89,0.0,2020-01-01 03:00:00
2.48,80.8,1.23,9.4,99.77,0.0,2020-01-01 04:00:00
2.41,81.67,1.23,18.0,96.99,0.0,2020-01-01 05:00:00
2.57,80.58,1.24,29.1,100.0,0.0,2020-01-01 06:00:00
3.65,75.29,1.08,41.6,99.22,0.0,2020-01-01 07:00:00
7.17,62.92,1.27,60.2,98.33,0.0,2020-01-01 08:00:00
9.79,51.93,1.48,75.1,99.33,0.0,2020-01-01 09:00:00
13.39,42.48,1.57,96.9,99.42,0.0,2020-01-01 10:00:00
16.48,34.29,2.11,122.8,88.82,0.0,2020-01-01 11:00:00
17.85,31.18,2.23,131.2,90.03,0.0,2020-01-01 12:00:00
18.39,30.26,2.18,134.6,99.7,0.0,2020-01-01 13:00:00
18.13,31.74,1.72,138.5,98.92,0.0,2020-01-01 14:00:00
16.83,45.2,0.55,146.9,98.58,0.0,2020-01-01 15:00:00
15.61,38.58,0.18,266.8,98.84,0.0,2020-01-01 16:00:00
13.62,41.96,0.74,330.0,99.96,0.0,2020-01-01 17:00:00
11.57,48.04,1.1,351.1,99.92,0.0,2020-01-01 18:00:00
9.77,53.15,1.3,7.5,99.3,0.0,2020-01-01 19:00:00
8.44,57.73,1.34,24.7,99.89,0.0,2020-01-01 20:00:00
7.67,60.84,1.35,42.0,15.32,0.0,2020-01-01 21:00:00
7.4,61.96,1.36,55.5,97.58,0.0,2020-01-01 22:00:00
7.62,60.55,1.32,64.0,98.05,0.0,2020-01-01 23:00:00
8.21,57.7,1.17,67.8,99.31,0.0,2020-01-02 00:00:00
8.58,56.26,0.86,60.2,90.87,0.0,2020-01-02 01:00:00
8.62,56.09,0.71,32.3,99.8,0.0,2020-01-02 02:00:00
8.05,58.44,0.88,5.2,99.21,0.0,2020-01-02 03:00:00
7.33,61.55,1.07,358.9,99.73,0.0,2020-01-02 04:00:00
6.92,63.35,1.13,2.5,99.71,0.0,2020-01-02 05:00:00
6.89,62.89,1.04,11.6,99.76,0.0,2020-01-02 06:00:00
7.44,61.38,0.86,23.9,99.63,0.0,2020-01-02 07:00:00
9.32,58.68,0.92,33.9,99.32,0.0,2020-01-02 08:00:00
11.14,50.05,0.86,83.3,99.76,0.0,2020-01-02 09:00:00
13.64,44.89,1.27,110.7,99.39,0.0,2020-01-02 10:00:00
16.58,39.39,1.67,129.4,99.58,0.0,2020-01-02 11:00:00
18.11,38.7,1.46,144.5,99.57,0.0,2020-01-02 12:00:00
18.76,39.61,0.95,150.5,99.53,0.0,2020-01-02 13:00:00
18.81,41.14,0.28,120.3,79.49,0.0,2020-01-02 14:00:00
18.0,46.96,0.5,4.6,58.23,0.0,2020-01-02 15:00:00
14.94,59.49,0.85,349.9,37.8,0.0,2020-01-02 16:00:00
12.22,62.91,1.25,349.9,17.33,0.0,2020-01-02 17:00:00
