temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
6.68,51.79,0.31,73.3,73.76,0.0,2020-01-01 00:00:00
5.89,54.52,0.54,4.2,75.89,0.0,2020-01-01 01:00:00
4.78,58.9,0.82,2.8,98.99,0.0,2020-01-01 02:00:00
4.14,61.78,1.02,13.1,99.89,0.0,2020-01-01 03:00:00
3.42,65.41,1.1,26.3,95.23,0.0,2020-01-01 04:00:00
2.83,68.86,1.15,42.5,99.97,0.0,2020-01-01 05:00:00
2.4,71.93,1.17,59.0,99.95,0.0,2020-01-01 06:00:00
2.82,72.0,1.03,74.7,100.0,0.0,2020-01-01 07:00:00
5.98,59.8,1.67,91.4,100.0,0.0,2020-01-01 08:00:00
8.32,52.0,1.58,101.7,100.0,0.0,2020-01-01 09:00:00
12.11,40.81,1.7,107.5,99.04,0.0,2020-01-01 10:00:00
15.09,31.82,2.09,116.1,99.62,0.0,2020-01-01 11:00:00
16.15,29.09,2.0,115.2,99.67,0.0,2020-01-01 12:00:00
16.51,27.81,1.91,110.5,98.96,0.0,2020-01-01 13:00:00
16.34,28.19,1.7,102.2,99.3,0.0,2020-01-01 14:00:00
15.31,40.2,0.81,87.2,99.99,0.0,2020-01-01 15:00:00
13.31,45.24,0.78,51.2,99.83,0.0,2020-01-01 16:00:00
11.1,45.46,1.12,30.0,99.93,0.0,2020-01-01 17:00:00
9.14,50.22,1.32,22.7,99.91,0.0,2020-01-01 18:00:00
7.61,55.14,1.36,22.4,99.83,0.0,2020-01-01 19:00:00
6.68,58.63,1.39,27.9,99.94,0.0,2020-01-01 20:00:00
6.14,61.54,1.41,34.0,52.8,0.0,2020-01-01 21:00:00
6.01,63.12,1.4,38.0,99.9,0.0,2020-01-01 22:00:00
5.94,64.61,1.36,39.6,99.98,0.0,2020-01-01 23:00:00
5.71,66.5,1.3,36.3,99.97,0.0,2020-01-02 00:00:00
5.42,68.55,1.26,29.0,93.94,0.0,2020-01-02 01:00:00
5.23,70.17,1.24,19.7,99.92,0.0,2020-01-02 02:00:00
5.1,71.52,1.26,11.4,99.97,0.0,2020-01-02 03:00:00
4.9,73.27,1.33,6.9,99.34,0.0,2020-01-02 04:00:00
4.62,75.15,1.37,7.5,98.69,0.0,2020-01-02 05:00:00
4.25,77.37,1.34,12.5,99.86,0.0,2020-01-02 06:00:00
4.9,74.53,1.37,19.2,97.91,0.0,2020-01-02 07:00:00
7.69,61.96,2.49,30.4,95.62,0.0,2020-01-02 08:00:00
10.19,53.76,1.98,44.2,93.98,0.0,2020-01-02 09:00:00
14.64,38.87,1.69,47.2,92.48,0.0,2020-01-02 10:00:00
17.69,31.09,1.27,43.7,86.23,0.0,2020-01-02 11:00:00
18.77,29.75,1.2,35.1,82.26,0.0,2020-01-02 12:00:00
19.01,30.01,1.34,29.4,53.51,0.0,2020-01-02 13:00:00
18.69,31.19,1.54,22.9,41.23,0.0,2020-01-02 14:00:00
17.52,40.89,1.03,16.3,26.88,0.0,2020-01-02 15:00:00
14.5,52.58,0.99,11.1,14.79,0.0,2020-01-02 16:00:00
12.47,54.3,1.23,14.6,2.35,0.0,2020-01-02 17:00:00
11.88,55.45,1.33,19.2,5.88,0.0,2020-01-02 18:00:00
11.36,57.05,1.35,24.5,5.87,0.0,2020-01-02 19:00:00
10.78,58.94,1.31,30.3,8.23,0.0,2020-01-02 20:00:00
9.74,61.73,1.28,35.8,7.05,0.0,2020-01-02 21:00:00
8.52,64.86,1.28,37.7,0.01,0.0,2020-01-02 22:00:00
7.71,67.31,1.25,35.6,10.78,0.0,2020-01-02 23:00:00
7.06,69.24,1.24,29.5,9.4,0.0,2020-01-03 00:00:00
6.45,71.2,1.25,21.0,13.51,0.0,2020-01-03 01:00:00
5.94,72.7,1.31,14.1,1.14,0.0,2020-01-03 02:00:00
5.51,73.98,1.35,9.8,3.53,0.0,2020-01-03 03:00:00
5.11,74.96,1.35,5.5,7.01,0.0,2020-01-03 04:00:00
4.73,75.12,1.29,4.0,2.94,0.0,2020-01-03 05:00:00
4.41,75.14,1.24,6.0,17.61,0.0,2020-01-03 06:00:00
5.43,69.82,1.14,10.6,13.27,0.0,2020-01-03 07:00:00
8.93,54.82,1.92,14.5,8.49,0.0,2020-01-03 08:00:00
11.73,46.3,1.15,8.5,4.41,0.0,2020-01-03 09:00:00
16.57,34.24,1.07,340.9,0.0,0.0,2020-01-03 10:00:00
19.44,30.53,1.29,296.2,0.02,0.0,2020-01-03 11:00:00
20.44,28.59,1.6,282.3,0.03,0.0,2020-01-03 12:00:00
20.9,26.72,1.76,279.8,0.05,0.0,2020-01-03 13:00:00
20.71,25.91,1.88,282.0,1.07,0.0,2020-01-03 14:00:00
19.64,29.62,1.49,287.2,2.09,0.0,2020-01-03 15:00:00
15.97,45.3,1.0,295.5,3.12,0.0,2020-01-03 16:00:00
13.65,44.29,1.3,302.1,4.14,0.0,2020-01-03 17:00:00
12.59,46.3,1.33,306.4,9.89,0.0,2020-01-03 18:00:00
11.81,48.08,1.33,311.3,1.18,0.0,2020-01-03 19:00:00
11.38,49.01,1.31,316.5,0.59,0.0,2020-01-03 20:00:00
11.3,48.69,1.23,322.9,0.97,0.0,2020-01-03 21:00:00
11.27,48.43,1.1,331.8,0.8,0.0,2020-01-03 22:00:00
10.81,49.92,0.96,341.8,0.62,0.0,2020-01-03 23:00:00
10.42,50.97,0.85,352.5,1.76,0.0,2020-01-04 00:00:00
10.52,50.11,0.74,9.3,4.52,0.0,2020-01-04 01:00:00
10.22,50.98,0.59,35.3,4.09,0.0,2020-01-04 02:00:00
9.93,51.82,0.51,74.1,3.65,0.0,2020-01-04 03:00:00
9.27,53.89,0.59,113.1,3.22,0.0,2020-01-04 04:00:00
8.51,56.46,0.77,139.2,2.79,0.0,2020-01-04 05:00:00
7.81,59.09,0.95,156.4,2.35,0.0,2020-01-04 06:00:00
7.78,60.45,0.93,167.0,20.35,0.0,2020-01-04 07:00:00
10.44,51.06,1.63,173.0,37.57,0.0,2020-01-04 08:00:00
12.7,44.0,1.58,176.0,54.38,0.0,2020-01-04 09:00:00
16.82,34.89,1.45,204.1,74.5,0.0,2020-01-04 10:00:00
19.42,29.81,1.77,242.7,64.86,0.0,2020-01-04 11:00:00
20.18,28.54,1.81,249.3,90.27,0.0,2020-01-04 12:00:00
20.41,28.11,1.78,249.3,91.49,0.0,2020-01-04 13:00:00
20.28,28.31,1.76,243.3,88.01,0.0,2020-01-04 14:00:00
19.37,34.68,1.1,238.3,84.5,0.0,2020-01-04 15:00:00
17.28,41.8,0.7,237.2,82.24,0.0,2020-01-04 16:00:00
16.58,38.25,0.54,234.8,76.84,0.0,2020-01-04 17:00:00
16.24,39.12,0.17,208.1,79.13,0.0,2020-01-04 18:00:00
15.69,39.48,0.22,111.8,80.34,0.0,2020-01-04 19:00:00
14.49,42.67,0.51,100.2,61.98,0.0,2020-01-04 20:00:00
13.28,45.75,0.88,97.2,13.51,0.0,2020-01-04 21:00:00
11.73,50.07,1.07,99.7,13.41,0.0,2020-01-04 22:00:00
10.6,53.58,1.19,102.6,10.59,0.0,2020-01-04 23:00:00
9.53,57.15,1.24,104.9,7.13,0.0,2020-01-05 00:00:00
8.47,61.23,1.27,104.6,3.66,0.0,2020-01-05 01:00:00
7.45,65.47,1.26,101.4,0.2,0.0,2020-01-05 02:00:00
6.7,68.93,1.27,99.1,10.03,0.0,2020-01-05 03:00:00
6.09,72.06,1.31,98.8,5.89,0.0,2020-01-05 04:00:00
5.65,74.65,1.34,101.6,10.05,0.0,2020-01-05 05:00:00
5.28,77.18,1.31,106.4,16.54,0.0,2020-01-05 06:00:00
6.31,72.91,1.26,111.5,35.79,0.0,2020-01-05 07:00:00
9.5,59.64,2.21,117.1,54.5,0.0,2020-01-05 08:00:00
11.27,53.97,1.61,119.4,70.87,0.0,2020-01-05 09:00:00
13.3,48.25,1.23,119.3,88.32,0.0,2020-01-05 10:00:00
15.51,41.16,1.07,125.5,99.75,0.0,2020-01-05 11:00:00
16.26,39.29,0.86,118.3,99.48,0.01,2020-01-05 12:00:00
16.75,38.38,0.87,78.7,100.0,0.0,2020-01-05 13:00:00
17.02,38.13,0.92,53.4,100.0,0.0,2020-01-05 14:00:00
16.11,46.48,0.67,47.4,99.61,0.03,2020-01-05 15:00:00
13.83,54.45,0.78,35.1,100.0,0.04,2020-01-05 16:00:00
12.19,57.07,1.0,35.6,100.0,0.01,2020-01-05 17:00:00
11.7,58.06,1.16,40.4,100.0,0.01,2020-01-05 18:00:00
11.52,57.96,1.42,45.3,100.0,0.08,2020-01-05 19:00:00
11.39,57.64,1.75,52.7,100.0,0.15,2020-01-05 20:00:00
11.17,58.15,1.91,48.2,100.0,0.09,2020-01-05 21:00:00
10.92,59.14,1.95,44.6,100.0,0.01,2020-01-05 22:00:00
10.61,60.49,2.01,42.6,100.0,0.02,2020-01-05 23:00:00
10.2,62.52,2.1,43.3,100.0,0.0,2020-01-06 00:00:00
9.88,64.91,2.33,40.1,100.0,0.01,2020-01-06 01:00:00
9.47,68.19,2.22,40.1,100.0,0.01,2020-01-06 02:00:00
8.9,72.81,1.91,38.4,100.0,0.18,2020-01-06 03:00:00
8.46,77.01,1.78,43.6,100.0,3.87,2020-01-06 04:00:00
8.08,80.79,1.66,47.9,100.0,11.42,2020-01-06 05:00:00
7.56,85.91,1.37,43.5,100.0,20.59,2020-01-06 06:00:00
7.85,85.73,1.27,56.6,99.98,20.91,2020-01-06 07:00:00
8.64,83.95,1.72,17.3,99.95,14.76,2020-01-06 08:00:00
9.39,82.82,1.56,23.8,99.93,6.78,2020-01-06 09:00:00
10.22,80.74,1.73,33.7,99.9,15.94,2020-01-06 10:00:00
11.22,75.83,2.17,40.9,100.0,29.53,2020-01-06 11:00:00
11.54,75.09,2.49,53.8,100.0,29.97,2020-01-06 12:00:00
11.8,75.72,2.6,67.6,97.96,18.68,2020-01-06 13:00:00
11.86,76.79,2.48,79.6,100.0,11.59,2020-01-06 14:00:00
11.28,81.47,2.15,90.0,100.0,16.16,2020-01-06 15:00:00
10.48,88.82,1.58,88.9,100.0,12.51,2020-01-06 16:00:00
9.48,94.16,1.6,87.9,100.0,5.19,2020-01-06 17:00:00
8.69,97.62,1.66,92.4,100.0,5.33,2020-01-06 18:00:00
8.28,99.71,1.25,94.6,99.95,10.39,2020-01-06 19:00:00
8.67,97.84,1.32,96.1,100.0,23.33,2020-01-06 20:00:00
8.89,97.1,1.31,102.3,99.91,34.56,2020-01-06 21:00:00
8.81,97.61,1.09,108.8,99.93,40.23,2020-01-06 22:00:00
8.76,97.92,0.9,118.6,99.81,30.74,2020-01-06 23:00:00
8.73,98.24,0.72,125.4,99.78,24.54,2020-01-07 00:00:00
8.6,98.66,0.67,120.4,99.84,19.72,2020-01-07 01:00:00
8.85,97.24,0.59,103.8,100.0,23.73,2020-01-07 02:00:00
9.32,94.71,0.27,66.3,99.15,22.8,2020-01-07 03:00:00
9.34,94.56,0.29,12.1,99.77,14.09,2020-01-07 04:00:00
9.07,95.91,0.44,9.2,99.76,8.86,2020-01-07 05:00:00
8.95,96.44,0.5,9.3,99.7,10.78,2020-01-07 06:00:00
9.19,96.3,0.41,8.3,100.0,17.53,2020-01-07 07:00:00
10.26,92.48,0.78,2.9,99.64,6.34,2020-01-07 08:00:00
11.64,86.61,0.76,6.8,99.4,5.98,2020-01-07 09:00:00
13.14,78.55,0.5,352.0,98.65,7.39,2020-01-07 10:00:00
13.97,73.05,0.73,295.2,99.63,10.07,2020-01-07 11:00:00
14.39,70.62,1.13,292.3,97.88,8.37,2020-01-07 12:00:00
14.72,68.88,1.41,300.2,98.02,5.68,2020-01-07 13:00:00
14.91,67.53,1.42,308.2,98.84,2.16,2020-01-07 14:00:00
14.75,67.92,1.18,311.2,99.48,0.77,2020-01-07 15:00:00
13.61,77.59,0.53,309.7,99.99,0.22,2020-01-07 16:00:00
12.72,73.86,0.53,301.9,99.85,0.04,2020-01-07 17:00:00
12.29,74.12,0.45,276.3,99.85,0.02,2020-01-07 18:00:00
11.51,76.88,0.51,250.5,99.86,0.01,2020-01-07 19:00:00
10.87,79.37,0.63,231.5,97.51,0.01,2020-01-07 20:00:00
9.97,83.65,0.7,221.0,84.06,0.01,2020-01-07 21:00:00
9.21,87.34,0.78,216.1,80.58,0.01,2020-01-07 22:00:00
8.7,89.96,0.86,216.5,73.49,0.03,2020-01-07 23:00:00
7.99,93.78,0.85,217.8,83.49,0.04,2020-01-08 00:00:00
7.53,96.43,0.82,217.6,95.48,0.06,2020-01-08 01:00:00
7.07,98.99,0.82,219.5,95.24,0.08,2020-01-08 02:00:00
6.66,100.0,0.81,225.5,97.62,0.13,2020-01-08 03:00:00
6.33,100.0,0.8,235.1,89.4,0.19,2020-01-08 04:00:00
6.12,100.0,0.74,245.2,90.58,0.21,2020-01-08 05:00:00
5.91,100.0,0.68,257.2,98.22,0.21,2020-01-08 06:00:00
6.4,98.85,0.69,270.0,98.68,0.21,2020-01-08 07:00:00
7.82,91.24,0.96,286.9,99.69,0.25,2020-01-08 08:00:00
10.32,79.92,1.13,297.9,99.5,1.1,2020-01-08 09:00:00
13.87,59.44,1.89,300.5,98.98,2.19,2020-01-08 10:00:00
15.46,49.16,2.25,304.1,99.36,0.16,2020-01-08 11:00:00
16.06,45.26,2.5,304.1,99.5,0.15,2020-01-08 12:00:00
16.13,43.73,2.72,303.5,95.76,0.15,2020-01-08 13:00:00
15.86,43.78,2.76,303.2,74.28,0.04,2020-01-08 14:00:00
15.23,45.13,2.59,304.9,53.17,0.0,2020-01-08 15:00:00
12.8,60.05,1.23,308.1,29.4,0.0,2020-01-08 16:00:00
9.88,68.75,1.2,313.7,3.53,0.0,2020-01-08 17:00:00
8.9,70.3,1.28,319.1,4.87,0.0,2020-01-08 18:00:00
8.14,72.02,1.31,322.8,6.2,0.0,2020-01-08 19:00:00
7.44,73.89,1.33,325.1,7.54,0.0,2020-01-08 20:00:00
6.78,75.73,1.32,326.4,8.84,0.0,2020-01-08 21:00:00
6.19,77.19,1.29,328.7,3.53,0.0,2020-01-08 22:00:00
5.65,78.53,1.25,331.8,12.86,0.0,2020-01-08 23:00:00
5.21,79.51,1.23,334.5,26.96,0.0,2020-01-09 00:00:00
4.84,80.46,1.2,335.4,50.18,0.0,2020-01-09 01:00:00
4.42,82.09,1.18,334.3,44.03,0.0,2020-01-09 02:00:00
3.87,84.92,1.16,331.7,69.92,0.0,2020-01-09 03:00:00
3.25,88.33,1.16,329.5,94.06,0.0,2020-01-09 04:00:00
2.75,91.16,1.17,329.0,97.62,0.0,2020-01-09 05:00:00
