temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
7.09,57.38,0.78,84.1,97.96,0.0,2020-01-01 00:00:00
6.93,56.91,0.78,73.0,89.51,0.0,2020-01-01 01:00:00
6.37,57.83,0.84,57.6,87.02,0.0,2020-01-01 02:00:00
6.44,55.91,0.9,49.1,98.6,0.0,2020-01-01 03:00:00
6.57,53.8,0.88,47.3,99.5,0.0,2020-01-01 04:00:00
6.62,51.86,0.89,56.0,99.82,0.0,2020-01-01 05:00:00
6.67,49.94,0.99,71.2,99.79,0.0,2020-01-01 06:00:00
7.35,49.54,1.05,87.3,95.74,0.0,2020-01-01 07:00:00
10.0,54.15,0.94,97.4,99.06,0.0,2020-01-01 08:00:00
13.26,39.44,1.72,119.2,99.72,0.0,2020-01-01 09:00:00
16.02,33.96,2.22,137.4,99.88,0.0,2020-01-01 10:00:00
17.96,30.7,2.73,148.5,99.86,0.0,2020-01-01 11:00:00
18.84,29.54,2.83,153.1,99.78,0.0,2020-01-01 12:00:00
19.13,29.63,2.75,156.0,96.0,0.0,2020-01-01 13:00:00
18.75,31.41,2.3,161.7,96.85,0.0,2020-01-01 14:00:00
17.1,46.29,0.93,180.6,97.39,0.0,2020-01-01 15:00:00
14.93,46.43,0.72,225.0,97.41,0.0,2020-01-01 16:00:00
14.21,42.45,0.7,282.4,98.69,0.0,2020-01-01 17:00:00
12.81,46.87,0.84,350.4,80.49,0.0,2020-01-01 18:00:00
10.92,52.65,1.18,26.8,77.25,0.0,2020-01-01 19:00:00
9.28,57.97,1.31,50.0,78.63,0.0,2020-01-01 20:00:00
8.59,60.17,1.38,67.3,11.86,0.0,2020-01-01 21:00:00
8.32,60.69,1.44,79.2,73.31,0.0,2020-01-01 22:00:00
8.32,59.79,1.46,87.3,75.72,0.0,2020-01-01 23:00:00
8.62,57.14,1.39,93.7,82.88,0.0,2020-01-02 00:00:00
9.27,52.92,1.23,99.4,55.37,0.0,2020-01-02 01:00:00
10.12,48.7,0.95,99.1,95.51,0.0,2020-01-02 02:00:00
10.46,46.61,0.75,84.7,99.72,0.0,2020-01-02 03:00:00
10.09,47.28,0.74,76.0,99.77,0.0,2020-01-02 04:00:00
9.83,47.88,0.76,81.7,99.17,0.0,2020-01-02 05:00:00
9.62,48.6,0.81,97.1,99.77,0.0,2020-01-02 06:00:00
9.57,51.97,0.84,112.3,98.64,0.0,2020-01-02 07:00:00
11.28,56.66,0.8,128.4,97.95,0.0,2020-01-02 08:00:00
13.47,45.2,1.85,144.2,97.86,0.0,2020-01-02 09:00:00
15.32,43.44,2.25,152.8,97.87,0.0,2020-01-02 10:00:00
17.13,42.69,2.43,157.5,99.84,0.0,2020-01-02 11:00:00
18.34,42.57,2.24,165.0,99.96,0.0,2020-01-02 12:00:00
18.95,43.3,1.75,176.7,98.94,0.0,2020-01-02 13:00:00
18.98,44.7,1.08,195.1,94.15,0.0,2020-01-02 14:00:00
18.29,49.05,0.55,247.6,88.93,0.0,2020-01-02 15:00:00
15.5,61.13,0.79,301.5,84.36,0.0,2020-01-02 16:00:00
12.61,66.35,1.19,319.1,79.01,0.0,2020-01-02 17:00:00
11.34,69.71,1.28,338.9,68.87,0.0,2020-01-02 18:00:00
10.64,69.87,1.32,359.6,41.38,0.0,2020-01-02 19:00:00
10.12,69.68,1.29,23.2,32.63,0.0,2020-01-02 20:00:00
9.78,69.34,1.27,44.0,3.05,0.0,2020-01-02 21:00:00
9.8,67.42,1.23,57.0,0.0,0.0,2020-01-02 22:00:00
10.05,64.49,1.23,67.0,0.61,0.0,2020-01-02 23:00:00
10.35,61.43,1.23,72.5,1.35,0.0,2020-01-03 00:00:00
10.58,58.63,1.18,73.7,0.61,0.0,2020-01-03 01:00:00
10.45,57.75,1.12,69.6,10.15,0.0,2020-01-03 02:00:00
9.94,58.69,1.09,66.3,7.19,0.0,2020-01-03 03:00:00
9.37,59.89,1.08,67.7,13.27,0.0,2020-01-03 04:00:00
8.87,60.99,1.06,69.5,13.88,0.0,2020-01-03 05:00:00
8.59,61.35,1.06,70.2,15.08,0.0,2020-01-03 06:00:00
9.17,62.0,0.99,77.2,7.36,0.0,2020-01-03 07:00:00
