temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
7.7,57.56,1.14,282.7,60.25,0.0,2021-01-01 00:00:00
6.91,59.0,1.2,288.4,62.4,0.0,2021-01-01 01:00:00
6.41,60.07,1.2,298.9,13.53,0.0,2021-01-01 02:00:00
6.25,60.73,1.12,314.6,35.18,0.0,2021-01-01 03:00:00
6.19,60.47,0.98,331.3,69.03,0.0,2021-01-01 04:00:00
5.86,61.2,0.84,344.1,69.67,0.0,2021-01-01 05:00:00
6.19,59.35,0.54,6.3,49.26,0.0,2021-01-01 06:00:00
6.65,58.19,0.27,74.9,38.65,0.0,2021-01-01 07:00:00
8.21,54.68,0.76,140.9,23.47,0.0,2021-01-01 08:00:00
10.41,47.05,1.27,148.6,20.75,0.0,2021-01-01 09:00:00
14.51,33.9,1.45,153.4,17.82,0.0,2021-01-01 10:00:00
17.29,25.38,1.62,150.9,2.94,0.0,2021-01-01 11:00:00
18.2,23.71,1.51,137.7,2.94,0.0,2021-01-01 12:00:00
18.6,22.88,1.4,121.3,1.18,0.0,2021-01-01 13:00:00
18.46,22.85,1.21,106.3,6.3,0.0,2021-01-01 14:00:00
17.51,30.91,0.66,90.0,4.32,0.0,2021-01-01 15:00:00
15.57,34.61,0.55,58.3,7.48,0.0,2021-01-01 16:00:00
14.16,32.9,0.68,39.1,8.78,0.0,2021-01-01 17:00:00
13.18,34.87,0.75,37.9,22.34,0.0,2021-01-01 18:00:00
12.27,36.46,0.84,47.9,42.93,0.0,2021-01-01 19:00:00
11.24,38.68,1.02,59.9,69.4,0.0,2021-01-01 20:00:00
9.97,42.23,1.18,67.6,87.26,0.0,2021-01-01 21:00:00
8.86,45.37,1.28,72.3,98.21,0.0,2021-01-01 22:00:00
7.94,47.98,1.34,73.5,97.08,0.0,2021-01-01 23:00:00
7.07,50.6,1.36,72.5,99.4,0.19,2021-01-02 00:00:00
6.88,52.38,1.37,69.4,97.01,0.2,2021-01-02 01:00:00
7.3,52.29,1.37,66.4,97.0,0.2,2021-01-02 02:00:00
7.33,52.49,1.4,63.3,99.91,0.01,2021-01-02 03:00:00
7.16,53.12,1.42,60.4,99.96,0.05,2021-01-02 04:00:00
7.33,52.83,1.49,61.0,99.87,0.24,2021-01-02 05:00:00
7.39,53.71,1.49,65.8,99.92,1.23,2021-01-02 06:00:00
8.36,52.76,1.51,76.2,99.7,6.77,2021-01-02 07:00:00
10.13,48.27,1.94,88.5,99.47,0.55,2021-01-02 08:00:00
10.86,46.62,2.31,97.0,99.17,0.83,2021-01-02 09:00:00
11.01,50.87,2.17,97.4,98.31,0.77,2021-01-02 10:00:00
10.94,57.14,2.19,85.5,98.88,0.65,2021-01-02 11:00:00
10.83,64.46,2.33,74.1,99.77,0.7,2021-01-02 12:00:00
10.92,71.54,2.65,68.8,97.19,0.91,2021-01-02 13:00:00
10.76,76.54,2.76,64.6,99.76,0.83,2021-01-02 14:00:00
10.57,80.22,2.7,61.3,99.08,0.55,2021-01-02 15:00:00
10.24,84.03,2.39,58.7,100.0,0.21,2021-01-02 16:00:00
9.86,87.37,1.97,57.4,99.87,0.05,2021-01-02 17:00:00
9.63,89.54,1.63,57.0,99.82,0.01,2021-01-02 18:00:00
9.1,93.21,1.31,59.3,90.29,0.0,2021-01-02 19:00:00
8.53,97.29,1.31,62.7,90.2,0.0,2021-01-02 20:00:00
8.28,99.52,1.44,65.8,86.14,0.0,2021-01-02 21:00:00
7.96,100.0,1.46,69.6,71.04,0.0,2021-01-02 22:00:00
7.68,100.0,1.45,73.9,56.37,0.0,2021-01-02 23:00:00
7.52,100.0,1.45,76.8,24.08,0.0,2021-01-03 00:00:00
