temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
9.96,39.14,0.68,332.7,97.16,0.0,2021-01-01 00:00:00
10.09,38.05,0.62,352.5,89.41,0.0,2021-01-01 01:00:00
9.9,37.52,0.55,13.8,91.35,0.0,2021-01-01 02:00:00
9.88,35.65,0.62,29.1,94.9,0.0,2021-01-01 03:00:00
9.75,34.68,0.62,45.7,82.38,0.0,2021-01-01 04:00:00
9.69,34.44,0.69,59.3,84.12,0.0,2021-01-01 05:00:00
9.28,34.76,0.76,85.5,90.9,0.0,2021-01-01 06:00:00
9.16,37.48,0.78,104.9,92.77,0.0,2021-01-01 07:00:00
11.79,36.75,1.02,111.3,91.96,0.0,2021-01-01 08:00:00
14.66,25.93,1.5,124.1,91.11,0.0,2021-01-01 09:00:00
17.57,20.91,1.88,145.2,89.71,0.0,2021-01-01 10:00:00
19.02,19.36,2.48,156.2,96.44,0.0,2021-01-01 11:00:00
19.69,19.02,2.66,161.6,81.47,0.0,2021-01-01 12:00:00
19.69,19.48,2.5,164.2,77.71,0.0,2021-01-01 13:00:00
19.23,20.38,2.21,168.8,38.64,0.0,2021-01-01 14:00:00
17.63,28.9,1.26,182.3,31.92,0.0,2021-01-01 15:00:00
13.82,40.01,0.98,214.2,33.12,0.0,2021-01-01 16:00:00
12.73,34.99,0.83,239.7,35.15,0.0,2021-01-01 17:00:00
12.4,34.59,0.47,315.0,56.35,0.0,2021-01-01 18:00:00
11.06,38.16,0.75,21.1,80.58,0.0,2021-01-01 19:00:00
10.63,38.91,0.96,46.7,87.26,0.0,2021-01-01 20:00:00
10.31,39.25,1.02,68.7,88.39,0.0,2021-01-01 21:00:00
10.01,39.67,1.09,83.1,90.85,0.0,2021-01-01 22:00:00
9.66,40.22,1.17,86.1,90.77,0.0,2021-01-01 23:00:00
9.37,40.88,1.25,84.0,99.38,0.23,2021-01-02 00:00:00
9.26,41.18,1.32,79.5,98.24,0.23,2021-01-02 01:00:00
9.96,39.65,1.32,76.9,95.0,0.25,2021-01-02 02:00:00
11.55,36.8,1.2,77.0,99.8,0.15,2021-01-02 03:00:00
12.54,34.91,1.07,77.5,100.0,0.93,2021-01-02 04:00:00
13.12,33.52,0.8,74.7,99.95,1.81,2021-01-02 05:00:00
13.52,33.67,0.71,63.1,100.0,6.78,2021-01-02 06:00:00
13.84,35.44,0.77,56.7,100.0,11.07,2021-01-02 07:00:00
15.11,39.69,0.63,58.6,100.0,0.46,2021-01-02 08:00:00
16.35,38.76,0.3,132.3,100.0,1.81,2021-01-02 09:00:00
15.18,44.76,1.58,208.3,95.46,4.3,2021-01-02 10:00:00
13.13,54.52,1.8,215.3,99.99,6.33,2021-01-02 11:00:00
12.29,63.3,0.87,62.0,99.09,7.27,2021-01-02 12:00:00
12.58,65.29,2.66,59.0,99.99,6.21,2021-01-02 13:00:00
13.46,64.94,2.32,68.7,99.99,5.09,2021-01-02 14:00:00
13.65,67.03,1.58,80.5,100.0,3.26,2021-01-02 15:00:00
13.19,68.74,1.23,93.3,100.0,2.02,2021-01-02 16:00:00
12.95,68.81,1.55,108.1,100.0,1.16,2021-01-02 17:00:00
12.81,70.42,1.64,117.7,100.0,0.83,2021-01-02 18:00:00
12.48,73.18,1.56,122.5,100.0,0.85,2021-01-02 19:00:00
12.24,75.89,1.57,121.0,100.0,0.8,2021-01-02 20:00:00
12.14,77.59,1.84,113.4,100.0,0.94,2021-01-02 21:00:00
12.23,77.44,2.3,108.7,99.84,1.25,2021-01-02 22:00:00
12.41,75.97,2.72,109.6,99.97,1.75,2021-01-02 23:00:00
12.52,74.97,2.88,109.7,99.97,3.09,2021-01-03 00:00:00
12.48,74.93,2.73,108.4,99.81,4.17,2021-01-03 01:00:00
12.25,76.26,2.47,105.7,95.53,4.18,2021-01-03 02:00:00
12.2,77.57,2.31,104.8,96.6,3.04,2021-01-03 03:00:00
12.31,78.3,2.2,106.4,79.41,1.52,2021-01-03 04:00:00
12.62,78.2,2.15,107.0,75.9,0.74,2021-01-03 05:00:00
12.7,78.04,2.1,106.0,60.89,0.63,2021-01-03 06:00:00
13.45,74.94,2.2,106.4,57.51,2.05,2021-01-03 07:00:00
14.81,70.01,2.72,111.8,54.5,1.35,2021-01-03 08:00:00
15.45,68.0,3.54,126.6,50.82,1.86,2021-01-03 09:00:00
15.29,73.57,3.76,135.8,47.31,2.82,2021-01-03 10:00:00
15.63,77.04,3.99,130.8,51.59,2.29,2021-01-03 11:00:00
16.33,76.65,4.37,127.7,40.56,1.07,2021-01-03 12:00:00
17.66,71.32,4.65,128.4,56.83,0.38,2021-01-03 13:00:00
18.87,64.88,4.55,129.1,65.05,0.13,2021-01-03 14:00:00
19.13,62.5,3.51,130.5,72.47,0.1,2021-01-03 15:00:00
16.94,70.48,1.66,133.3,81.09,0.06,2021-01-03 16:00:00
15.19,77.52,1.36,134.7,88.43,0.05,2021-01-03 17:00:00
14.69,79.91,1.26,133.7,75.1,0.06,2021-01-03 18:00:00
14.2,83.1,1.2,131.6,55.09,0.07,2021-01-03 19:00:00
13.84,86.16,1.21,128.3,66.58,0.06,2021-01-03 20:00:00
13.22,91.06,1.3,124.7,59.96,0.06,2021-01-03 21:00:00
13.06,93.37,1.59,122.7,80.45,0.07,2021-01-03 22:00:00
13.05,94.06,2.09,118.9,86.57,0.07,2021-01-03 23:00:00
12.86,94.51,2.39,112.2,65.88,0.05,2021-01-04 00:00:00
12.83,93.12,2.63,105.9,87.7,0.04,2021-01-04 01:00:00
12.7,91.39,2.41,104.7,90.75,0.05,2021-01-04 02:00:00
12.33,90.61,1.89,106.6,85.32,0.07,2021-01-04 03:00:00
12.13,88.78,1.58,108.8,79.9,0.06,2021-01-04 04:00:00
12.17,85.87,1.44,111.6,90.17,0.07,2021-01-04 05:00:00
12.33,83.21,1.36,115.6,60.53,0.08,2021-01-04 06:00:00
13.64,76.05,1.61,118.6,66.87,0.1,2021-01-04 07:00:00
15.97,65.92,2.83,117.4,71.36,0.26,2021-01-04 08:00:00
18.42,60.99,3.34,124.0,76.33,0.4,2021-01-04 09:00:00
20.67,57.25,3.61,133.2,80.24,0.33,2021-01-04 10:00:00
22.38,52.82,3.67,141.0,71.07,0.28,2021-01-04 11:00:00
23.21,49.91,3.68,147.4,23.9,1.09,2021-01-04 12:00:00
23.38,48.78,3.58,149.9,8.74,3.21,2021-01-04 13:00:00
22.89,49.79,3.23,146.6,23.79,1.43,2021-01-04 14:00:00
21.94,53.09,2.42,140.5,35.11,0.84,2021-01-04 15:00:00
19.13,64.16,0.93,127.6,62.93,0.68,2021-01-04 16:00:00
17.03,70.91,0.95,80.9,100.0,0.77,2021-01-04 17:00:00
15.91,75.19,1.11,52.3,100.0,0.63,2021-01-04 18:00:00
