temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
7.17,52.67,1.12,295.4,83.16,0.0,2021-01-01 00:00:00
6.37,55.82,1.16,302.3,87.03,0.0,2021-01-01 01:00:00
5.54,59.11,1.23,313.7,88.5,0.0,2021-01-01 02:00:00
5.19,60.73,1.21,329.2,92.07,0.0,2021-01-01 03:00:00
5.14,60.76,1.14,345.2,94.45,0.0,2021-01-01 04:00:00
5.14,60.6,1.06,353.5,96.84,0.0,2021-01-01 05:00:00
5.43,59.08,0.83,0.0,93.91,0.0,2021-01-01 06:00:00
6.36,54.93,0.48,5.9,97.12,0.0,2021-01-01 07:00:00
8.36,48.52,0.2,84.3,96.93,0.0,2021-01-01 08:00:00
10.67,41.56,0.68,137.4,97.23,0.0,2021-01-01 09:00:00
15.07,28.55,1.16,144.8,97.09,0.0,2021-01-01 10:00:00
17.92,21.47,1.63,144.3,98.04,0.0,2021-01-01 11:00:00
18.81,20.07,1.65,134.5,98.77,0.0,2021-01-01 12:00:00
19.12,19.45,1.6,123.8,54.97,0.0,2021-01-01 13:00:00
18.89,19.58,1.37,116.4,45.5,0.0,2021-01-01 14:00:00
17.82,25.2,0.72,110.5,45.65,0.0,2021-01-01 15:00:00
15.85,27.32,0.45,97.6,48.72,0.0,2021-01-01 16:00:00
14.75,27.26,0.37,72.6,52.28,0.0,2021-01-01 17:00:00
13.93,28.85,0.36,52.8,79.67,0.0,2021-01-01 18:00:00
13.14,29.86,0.55,54.6,99.4,0.0,2021-01-01 19:00:00
11.99,31.42,0.85,61.0,100.0,0.0,2021-01-01 20:00:00
10.83,33.44,1.07,65.8,98.18,0.0,2021-01-01 21:00:00
9.61,36.15,1.18,69.1,100.0,0.0,2021-01-01 22:00:00
8.75,38.16,1.25,69.4,100.0,0.0,2021-01-01 23:00:00
7.91,40.39,1.28,66.4,100.0,0.07,2021-01-02 00:00:00
7.36,42.24,1.31,63.6,98.81,0.07,2021-01-02 01:00:00
7.9,42.34,1.25,61.8,96.76,0.08,2021-01-02 02:00:00
8.15,42.65,1.19,60.9,100.0,0.03,2021-01-02 03:00:00
8.31,43.07,1.11,58.6,100.0,0.3,2021-01-02 04:00:00
8.69,43.4,1.1,57.6,99.99,0.55,2021-01-02 05:00:00
8.93,44.38,1.07,62.2,99.86,2.67,2021-01-02 06:00:00
9.73,45.89,0.96,74.2,100.0,15.1,2021-01-02 07:00:00
11.17,47.7,1.11,98.3,98.96,2.09,2021-01-02 08:00:00
11.27,49.2,1.67,114.7,97.87,3.47,2021-01-02 09:00:00
10.84,57.59,1.59,111.7,99.14,3.61,2021-01-02 10:00:00
10.55,65.12,1.7,87.3,99.14,2.54,2021-01-02 11:00:00
10.51,71.44,2.1,72.3,99.03,1.83,2021-01-02 12:00:00
10.67,76.53,2.5,68.7,99.14,1.44,2021-01-02 13:00:00
10.79,80.25,2.74,68.1,99.99,0.98,2021-01-02 14:00:00
10.78,82.96,2.47,66.3,99.46,0.53,2021-01-02 15:00:00
10.59,85.85,1.76,67.2,99.87,0.19,2021-01-02 16:00:00
10.19,89.07,1.13,73.0,100.0,0.06,2021-01-02 17:00:00
9.99,90.92,1.0,82.5,100.0,0.02,2021-01-02 18:00:00
9.6,93.75,0.99,90.0,99.96,0.01,2021-01-02 19:00:00
9.12,97.24,1.09,87.9,99.81,0.01,2021-01-02 20:00:00
8.92,99.1,1.22,88.6,99.81,0.01,2021-01-02 21:00:00
8.72,100.0,1.33,90.9,98.33,0.03,2021-01-02 22:00:00
8.44,100.0,1.4,94.9,94.95,0.04,2021-01-02 23:00:00
8.29,100.0,1.47,97.8,71.91,0.04,2021-01-03 00:00:00
8.26,100.0,1.62,98.9,83.44,0.03,2021-01-03 01:00:00
8.25,100.0,1.75,101.2,49.65,0.03,2021-01-03 02:00:00
8.31,100.0,1.89,107.6,35.69,0.05,2021-01-03 03:00:00
8.56,100.0,1.98,111.9,43.41,0.15,2021-01-03 04:00:00
8.85,100.0,1.99,113.7,35.07,0.5,2021-01-03 05:00:00
9.21,99.9,2.05,115.7,38.57,1.3,2021-01-03 06:00:00
10.22,95.8,2.61,119.6,53.48,2.83,2021-01-03 07:00:00
11.5,91.97,3.34,125.3,68.12,2.49,2021-01-03 08:00:00
12.82,88.92,3.38,128.4,82.24,1.76,2021-01-03 09:00:00
14.4,84.5,3.48,130.6,96.24,0.76,2021-01-03 10:00:00
16.39,76.66,3.95,134.6,93.99,0.5,2021-01-03 11:00:00
18.48,67.47,4.23,137.3,96.52,0.42,2021-01-03 12:00:00
19.92,61.9,4.3,140.2,98.32,0.36,2021-01-03 13:00:00
20.52,60.14,3.97,141.5,97.94,0.24,2021-01-03 14:00:00
19.96,62.93,2.73,138.3,97.85,0.14,2021-01-03 15:00:00
17.63,73.2,1.66,128.7,98.24,0.07,2021-01-03 16:00:00
15.95,81.91,1.76,123.4,96.9,0.04,2021-01-03 17:00:00
15.28,86.19,1.93,122.7,84.46,0.03,2021-01-03 18:00:00
14.45,91.84,1.9,124.7,83.28,0.03,2021-01-03 19:00:00
13.54,98.69,1.76,127.8,69.55,0.02,2021-01-03 20:00:00
12.88,100.0,1.74,132.2,79.54,0.01,2021-01-03 21:00:00
12.4,100.0,1.85,136.1,87.4,0.0,2021-01-03 22:00:00
12.04,100.0,1.88,139.1,97.51,0.03,2021-01-03 23:00:00
11.72,100.0,1.69,138.4,99.29,0.06,2021-01-04 00:00:00
11.37,100.0,1.47,132.0,99.79,0.07,2021-01-04 01:00:00
11.19,100.0,1.35,123.2,92.73,0.07,2021-01-04 02:00:00
11.37,100.0,1.44,116.9,96.27,0.11,2021-01-04 03:00:00
11.59,100.0,1.61,115.4,73.14,0.19,2021-01-04 04:00:00
11.63,100.0,1.7,117.8,90.96,0.29,2021-01-04 05:00:00
11.61,100.0,1.76,123.1,79.09,0.28,2021-01-04 06:00:00
12.32,96.15,2.36,131.0,84.31,0.23,2021-01-04 07:00:00
13.54,90.17,3.07,137.8,89.56,0.17,2021-01-04 08:00:00
15.48,82.0,3.24,144.3,94.03,0.21,2021-01-04 09:00:00
18.0,71.52,3.53,150.7,98.27,0.38,2021-01-04 10:00:00
20.25,63.36,3.78,158.5,92.19,1.78,2021-01-04 11:00:00
21.73,58.4,3.8,162.5,42.6,6.34,2021-01-04 12:00:00
22.48,55.4,3.63,159.7,43.97,7.2,2021-01-04 13:00:00
22.58,54.41,3.21,149.5,55.04,3.39,2021-01-04 14:00:00
21.92,56.87,2.4,136.0,67.06,3.79,2021-01-04 15:00:00
19.28,68.39,0.95,116.3,82.11,8.78,2021-01-04 16:00:00
17.62,73.71,0.98,84.8,99.13,10.19,2021-01-04 17:00:00
16.94,76.68,0.91,91.9,98.44,7.54,2021-01-04 18:00:00
15.89,83.1,1.2,122.4,89.3,6.56,2021-01-04 19:00:00
15.71,86.4,1.88,137.4,98.41,4.67,2021-01-04 20:00:00
