temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
6.56,57.35,1.17,278.3,87.76,0.0,2021-01-01 00:00:00
6.51,57.38,1.1,274.2,82.49,0.0,2021-01-01 01:00:00
6.45,57.12,1.03,270.6,65.02,0.0,2021-01-01 02:00:00
6.48,56.17,0.88,268.0,90.84,0.0,2021-01-01 03:00:00
6.71,54.64,0.64,259.2,99.87,0.0,2021-01-01 04:00:00
6.61,54.71,0.49,230.8,98.25,0.0,2021-01-01 05:00:00
6.17,56.42,0.6,181.0,77.56,0.0,2021-01-01 06:00:00
5.57,59.9,0.79,168.3,79.94,0.0,2021-01-01 07:00:00
7.97,53.2,1.5,168.8,79.71,0.0,2021-01-01 08:00:00
10.39,46.48,1.61,165.6,79.23,0.0,2021-01-01 09:00:00
14.35,35.44,1.54,162.6,77.62,0.0,2021-01-01 10:00:00
17.77,24.25,1.73,161.5,65.99,0.0,2021-01-01 11:00:00
18.69,22.51,1.62,163.5,44.63,0.0,2021-01-01 12:00:00
18.95,22.2,1.39,168.4,16.91,0.0,2021-01-01 13:00:00
18.59,22.77,1.08,173.6,26.75,0.0,2021-01-01 14:00:00
17.31,33.25,0.52,187.7,26.59,0.0,2021-01-01 15:00:00
14.95,34.55,0.67,215.3,29.28,0.0,2021-01-01 16:00:00
13.2,34.53,0.86,230.2,30.29,0.0,2021-01-01 17:00:00
12.53,35.11,0.89,239.7,53.32,0.0,2021-01-01 18:00:00
11.98,36.18,0.74,247.9,75.13,0.0,2021-01-01 19:00:00
11.94,35.72,0.6,253.7,85.43,0.0,2021-01-01 20:00:00
11.65,36.18,0.49,256.0,96.6,0.0,2021-01-01 21:00:00
11.16,37.49,0.39,262.7,99.94,0.0,2021-01-01 22:00:00
10.65,38.17,0.25,298.6,99.95,0.0,2021-01-01 23:00:00
9.71,40.66,0.4,11.6,98.14,1.08,2021-01-02 00:00:00
8.41,43.67,0.79,31.5,96.36,1.1,2021-01-02 01:00:00
7.42,47.49,1.0,32.7,95.27,1.1,2021-01-02 02:00:00
7.24,49.79,0.98,29.5,90.88,0.02,2021-01-02 03:00:00
7.22,50.02,0.91,25.4,87.22,0.0,2021-01-02 04:00:00
7.04,50.81,0.91,30.2,94.49,0.0,2021-01-02 05:00:00
6.97,51.54,0.97,35.3,93.65,0.0,2021-01-02 06:00:00
7.35,52.56,0.93,38.5,95.14,0.0,2021-01-02 07:00:00
9.79,50.61,0.98,42.1,96.69,0.0,2021-01-02 08:00:00
11.6,41.74,1.21,41.0,97.57,0.01,2021-01-02 09:00:00
13.74,38.59,0.77,22.2,98.62,0.15,2021-01-02 10:00:00
17.24,28.54,0.64,48.8,92.46,0.54,2021-01-02 11:00:00
18.59,26.04,0.6,118.7,95.02,1.84,2021-01-02 12:00:00
18.15,29.25,1.26,151.6,97.43,3.04,2021-01-02 13:00:00
16.61,36.92,2.02,150.4,98.3,4.27,2021-01-02 14:00:00
14.24,50.69,2.07,141.9,98.31,4.35,2021-01-02 15:00:00
12.12,64.7,1.74,127.5,99.56,1.93,2021-01-02 16:00:00
10.74,76.41,1.26,109.4,99.88,0.59,2021-01-02 17:00:00
10.42,81.2,1.06,85.1,99.85,0.88,2021-01-02 18:00:00
10.26,83.71,1.06,64.4,99.82,1.12,2021-01-02 19:00:00
10.33,83.07,1.41,59.8,99.8,1.39,2021-01-02 20:00:00
10.43,81.5,1.74,63.0,98.61,1.9,2021-01-02 21:00:00
10.52,80.49,1.74,69.8,93.44,3.07,2021-01-02 22:00:00
10.56,81.12,1.66,76.4,99.78,4.33,2021-01-02 23:00:00
10.45,83.07,1.58,82.4,99.15,4.73,2021-01-03 00:00:00
10.24,85.87,1.47,84.9,97.4,4.82,2021-01-03 01:00:00
9.91,88.78,1.33,85.3,80.23,2.79,2021-01-03 02:00:00
9.69,90.99,1.25,85.9,52.48,1.64,2021-01-03 03:00:00
9.52,92.95,1.21,87.6,40.52,0.91,2021-01-03 04:00:00
9.35,94.43,1.21,91.4,35.68,0.58,2021-01-03 05:00:00
9.13,95.88,1.21,96.2,32.04,0.7,2021-01-03 06:00:00
9.83,93.72,1.25,102.5,34.81,0.66,2021-01-03 07:00:00
11.93,85.83,2.19,109.4,37.26,0.43,2021-01-03 08:00:00
13.22,81.99,2.37,116.2,40.19,0.99,2021-01-03 09:00:00
15.09,75.36,2.34,125.5,42.82,1.98,2021-01-03 10:00:00
16.41,71.47,2.4,135.0,58.49,4.59,2021-01-03 11:00:00
16.54,74.07,2.54,139.5,77.0,6.9,2021-01-03 12:00:00
16.34,77.92,2.64,136.7,95.66,6.92,2021-01-03 13:00:00
16.01,81.95,2.45,131.4,94.94,5.14,2021-01-03 14:00:00
15.4,87.2,1.72,126.5,93.72,3.43,2021-01-03 15:00:00
14.44,93.25,1.29,126.2,94.98,2.75,2021-01-03 16:00:00
13.74,97.33,1.24,129.5,91.18,2.73,2021-01-03 17:00:00
13.33,99.41,1.17,131.2,79.63,2.61,2021-01-03 18:00:00
12.95,100.0,1.05,132.7,87.11,2.43,2021-01-03 19:00:00
12.61,100.0,0.93,136.3,95.6,1.7,2021-01-03 20:00:00
12.44,100.0,0.88,137.8,97.15,1.11,2021-01-03 21:00:00
12.35,100.0,0.87,135.5,99.89,0.51,2021-01-03 22:00:00
12.26,100.0,0.87,132.7,99.86,0.41,2021-01-03 23:00:00
12.24,100.0,0.95,131.6,99.23,0.37,2021-01-04 00:00:00
12.29,100.0,1.04,130.7,93.69,0.38,2021-01-04 01:00:00
12.1,100.0,0.99,129.3,85.85,0.25,2021-01-04 02:00:00
11.8,100.0,0.91,126.5,86.97,0.24,2021-01-04 03:00:00
11.48,100.0,0.89,120.3,86.43,0.29,2021-01-04 04:00:00
11.35,100.0,0.92,115.2,54.4,0.4,2021-01-04 05:00:00
11.35,100.0,0.97,115.0,34.48,0.46,2021-01-04 06:00:00
12.03,99.15,1.12,118.2,30.86,0.47,2021-01-04 07:00:00
13.47,94.06,2.17,124.3,26.79,9.69,2021-01-04 08:00:00
14.41,91.52,2.35,128.4,24.66,11.11,2021-01-04 09:00:00
16.29,84.5,2.52,130.3,21.6,3.65,2021-01-04 10:00:00
17.8,77.27,2.73,130.1,85.71,8.86,2021-01-04 11:00:00
18.43,74.2,2.81,129.2,97.57,9.46,2021-01-04 12:00:00
18.83,72.54,2.81,129.4,80.76,7.18,2021-01-04 13:00:00
19.01,72.12,2.52,126.6,77.59,3.1,2021-01-04 14:00:00
18.71,75.14,1.59,119.3,74.65,3.8,2021-01-04 15:00:00
17.15,81.52,0.76,110.1,70.51,5.25,2021-01-04 16:00:00
16.2,83.71,0.71,94.0,64.71,3.53,2021-01-04 17:00:00
15.91,84.43,0.69,56.3,78.44,5.63,2021-01-04 18:00:00
15.39,86.41,0.7,35.1,84.48,4.39,2021-01-04 19:00:00
15.34,86.27,0.41,85.8,97.35,2.86,2021-01-04 20:00:00
14.53,90.73,0.79,146.9,99.05,1.22,2021-01-04 21:00:00
13.85,95.02,0.98,150.8,96.09,3.57,2021-01-04 22:00:00
13.6,96.15,1.0,141.9,94.13,15.9,2021-01-04 23:00:00
13.09,98.01,1.08,128.2,86.17,7.81,2021-01-05 00:00:00
12.93,98.11,1.67,121.8,67.71,5.98,2021-01-05 01:00:00
12.64,98.36,2.1,119.7,79.89,0.93,2021-01-05 02:00:00
11.65,100.0,1.75,120.5,97.19,0.29,2021-01-05 03:00:00
11.11,100.0,1.57,125.4,94.05,0.29,2021-01-05 04:00:00
11.75,99.69,2.04,134.6,94.66,0.82,2021-01-05 05:00:00
12.57,97.21,2.62,139.6,91.16,2.23,2021-01-05 06:00:00
13.15,95.93,2.82,141.9,94.39,4.71,2021-01-05 07:00:00
14.04,93.75,3.38,143.8,96.14,5.85,2021-01-05 08:00:00
14.66,92.83,3.06,137.5,96.77,14.0,2021-01-05 09:00:00
