temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
8.81,56.94,0.97,304.5,31.81,0.0,2022-01-01 00:00:00
8.14,59.88,1.03,311.9,25.27,0.0,2022-01-01 01:00:00
7.89,61.04,0.98,315.8,22.57,0.0,2022-01-01 02:00:00
7.57,61.91,0.93,312.4,57.09,0.0,2022-01-01 03:00:00
7.29,62.17,0.85,305.4,56.32,0.0,2022-01-01 04:00:00
7.02,62.86,0.64,298.2,37.57,0.0,2022-01-01 05:00:00
6.71,63.76,0.37,304.1,52.51,0.0,2022-01-01 06:00:00
6.99,63.36,0.2,345.3,38.55,0.0,2022-01-01 07:00:00
9.26,56.76,0.26,37.3,26.85,0.0,2022-01-01 08:00:00
11.67,49.27,0.14,342.9,14.72,0.0,2022-01-01 09:00:00
15.75,36.09,1.13,290.2,1.95,0.0,2022-01-01 10:00:00
18.45,29.65,1.8,281.9,31.17,0.0,2022-01-01 11:00:00
19.44,27.92,2.12,278.4,37.1,0.0,2022-01-01 12:00:00
19.68,27.9,2.28,279.8,26.87,0.0,2022-01-01 13:00:00
19.23,29.17,2.24,285.0,36.47,0.0,2022-01-01 14:00:00
17.94,36.53,1.49,291.7,46.32,0.0,2022-01-01 15:00:00
14.65,50.73,0.98,297.4,58.69,0.0,2022-01-01 16:00:00
12.59,50.13,1.2,302.4,71.31,0.0,2022-01-01 17:00:00
11.55,51.97,1.24,307.1,47.33,0.0,2022-01-01 18:00:00
10.66,53.43,1.28,312.8,56.36,0.0,2022-01-01 19:00:00
9.91,54.64,1.29,318.1,49.49,0.0,2022-01-01 20:00:00
9.58,54.95,1.25,325.4,95.43,0.0,2022-01-01 21:00:00
9.61,55.09,1.16,335.6,72.26,0.0,2022-01-01 22:00:00
9.49,55.53,1.08,341.7,17.26,0.0,2022-01-01 23:00:00
9.32,56.15,1.04,341.6,25.27,0.0,2022-01-02 00:00:00
8.99,57.27,1.06,339.0,32.87,0.0,2022-01-02 01:00:00
8.5,58.34,1.12,340.1,33.35,0.0,2022-01-02 02:00:00
8.27,58.52,1.14,343.6,56.73,0.0,2022-01-02 03:00:00
8.23,57.95,1.14,342.7,75.35,0.0,2022-01-02 04:00:00
8.26,57.13,1.14,338.9,56.47,0.0,2022-01-02 05:00:00
8.16,56.52,1.14,334.6,35.19,0.0,2022-01-02 06:00:00
8.67,56.16,1.01,330.4,29.5,0.0,2022-01-02 07:00:00
11.58,49.48,1.24,315.7,23.98,0.0,2022-01-02 08:00:00
13.89,41.44,1.47,297.1,19.16,0.0,2022-01-02 09:00:00
17.35,32.07,1.95,293.5,15.97,0.0,2022-01-02 10:00:00
19.35,27.56,2.23,289.1,0.62,0.0,2022-01-02 11:00:00
19.93,27.1,2.51,284.3,20.14,0.0,2022-01-02 12:00:00
19.99,27.52,2.69,285.9,1.25,0.0,2022-01-02 13:00:00
19.67,28.68,2.71,290.3,23.57,0.0,2022-01-02 14:00:00
18.55,35.76,1.85,293.9,46.97,0.0,2022-01-02 15:00:00
14.77,49.7,1.16,294.4,71.49,0.0,2022-01-02 16:00:00
12.31,51.43,1.32,296.6,98.4,0.0,2022-01-02 17:00:00
11.38,53.2,1.33,302.4,98.4,0.0,2022-01-02 18:00:00
10.78,54.17,1.32,315.0,99.76,0.0,2022-01-02 19:00:00
10.54,53.79,1.29,327.7,99.6,0.0,2022-01-02 20:00:00
10.46,53.2,1.22,330.1,98.85,0.0,2022-01-02 21:00:00
10.27,53.36,1.14,327.6,99.68,0.0,2022-01-02 22:00:00
9.86,55.1,1.13,329.6,99.68,0.0,2022-01-02 23:00:00
9.88,55.27,1.01,329.6,99.72,0.0,2022-01-03 00:00:00
9.66,56.49,0.99,328.2,99.87,0.0,2022-01-03 01:00:00
9.27,58.39,1.05,332.2,96.64,0.0,2022-01-03 02:00:00
9.23,58.93,1.08,337.0,98.61,0.0,2022-01-03 03:00:00
9.26,58.66,1.05,345.7,99.79,0.0,2022-01-03 04:00:00
9.36,58.28,1.02,351.6,96.82,0.0,2022-01-03 05:00:00
9.74,56.82,0.97,357.0,61.79,0.0,2022-01-03 06:00:00
11.08,52.31,0.66,8.7,72.51,0.0,2022-01-03 07:00:00
12.5,50.67,0.05,101.3,81.75,0.0,2022-01-03 08:00:00
14.99,43.85,0.64,234.6,90.91,0.0,2022-01-03 09:00:00
18.51,34.32,1.46,282.2,98.86,0.0,2022-01-03 10:00:00
21.56,26.74,2.43,297.9,99.84,0.0,2022-01-03 11:00:00
22.19,26.06,2.78,297.7,99.19,0.0,2022-01-03 12:00:00
21.75,27.41,2.86,296.8,99.52,0.06,2022-01-03 13:00:00
21.66,28.22,3.03,298.3,97.97,0.13,2022-01-03 14:00:00
20.42,35.49,2.13,299.2,95.87,0.45,2022-01-03 15:00:00
16.88,50.0,1.2,297.8,98.3,0.38,2022-01-03 16:00:00
14.82,53.05,1.27,301.8,99.84,0.2,2022-01-03 17:00:00
13.88,55.34,1.31,307.6,99.89,0.18,2022-01-03 18:00:00
13.19,57.31,1.37,318.9,99.94,0.1,2022-01-03 19:00:00
12.63,59.26,1.28,334.0,100.0,0.01,2022-01-03 20:00:00
12.43,58.61,1.16,344.5,99.96,0.0,2022-01-03 21:00:00
12.39,56.25,1.08,343.9,99.88,0.04,2022-01-03 22:00:00
12.56,54.64,1.0,333.9,100.0,0.46,2022-01-03 23:00:00
12.02,57.63,1.0,315.0,100.0,8.13,2022-01-04 00:00:00
11.18,63.07,1.1,315.0,99.78,7.9,2022-01-04 01:00:00
10.79,66.9,1.11,335.0,100.0,8.1,2022-01-04 02:00:00
10.69,68.16,1.13,354.9,100.0,0.41,2022-01-04 03:00:00
10.81,66.61,1.11,13.5,100.0,0.23,2022-01-04 04:00:00
11.47,61.89,1.07,34.3,100.0,0.13,2022-01-04 05:00:00
12.76,54.93,0.77,57.8,100.0,0.44,2022-01-04 06:00:00
13.53,52.97,0.24,152.4,100.0,2.68,2022-01-04 07:00:00
14.19,56.72,0.8,246.3,100.0,0.22,2022-01-04 08:00:00
14.86,55.67,1.5,275.4,100.0,0.44,2022-01-04 09:00:00
15.45,55.05,1.97,294.2,100.0,1.45,2022-01-04 10:00:00
15.71,55.26,2.44,307.7,99.64,2.61,2022-01-04 11:00:00
15.89,56.24,2.71,322.5,100.0,4.54,2022-01-04 12:00:00
16.06,57.99,2.7,352.6,97.88,8.09,2022-01-04 13:00:00
16.77,57.18,2.68,22.4,98.69,7.58,2022-01-04 14:00:00
16.89,59.76,1.82,35.6,99.98,4.08,2022-01-04 15:00:00
14.87,71.18,0.91,52.1,99.99,0.8,2022-01-04 16:00:00
13.44,75.78,1.2,71.0,100.0,0.01,2022-01-04 17:00:00
13.13,77.33,1.43,84.8,100.0,0.06,2022-01-04 18:00:00
12.99,77.46,1.26,95.5,100.0,0.18,2022-01-04 19:00:00
13.13,75.95,1.13,106.5,100.0,0.07,2022-01-04 20:00:00
13.84,71.35,0.93,116.0,100.0,0.0,2022-01-04 21:00:00
13.7,71.68,0.9,101.6,100.0,0.02,2022-01-04 22:00:00
13.26,73.41,0.99,88.3,100.0,0.09,2022-01-04 23:00:00
12.94,74.61,1.0,90.6,100.0,0.27,2022-01-05 00:00:00
12.97,74.22,0.95,101.5,100.0,1.73,2022-01-05 01:00:00
13.18,72.97,0.71,127.5,100.0,6.88,2022-01-05 02:00:00
12.41,77.69,0.69,181.7,100.0,14.73,2022-01-05 03:00:00
11.27,86.69,1.03,218.3,100.0,15.93,2022-01-05 04:00:00
10.87,92.45,1.7,237.7,100.0,17.82,2022-01-05 05:00:00
10.53,96.44,1.39,244.0,100.0,27.87,2022-01-05 06:00:00
10.63,96.51,0.54,257.2,100.0,33.68,2022-01-05 07:00:00
11.4,94.86,0.11,135.0,100.0,28.12,2022-01-05 08:00:00
12.08,92.17,0.89,102.9,100.0,32.11,2022-01-05 09:00:00
12.81,90.38,1.92,105.7,98.35,30.75,2022-01-05 10:00:00
13.58,88.67,2.98,107.6,100.0,41.43,2022-01-05 11:00:00
14.04,86.93,3.72,109.2,98.54,67.2,2022-01-05 12:00:00
14.11,86.48,3.74,113.0,99.63,93.6,2022-01-05 13:00:00
13.89,88.5,3.28,120.0,99.72,113.3,2022-01-05 14:00:00
13.46,91.82,2.8,124.4,99.82,119.6,2022-01-05 15:00:00
12.92,94.09,2.54,129.7,99.91,94.39,2022-01-05 16:00:00
12.57,94.83,2.69,137.1,100.0,52.51,2022-01-05 17:00:00
12.42,95.05,2.62,140.7,100.0,26.6,2022-01-05 18:00:00
12.3,94.98,2.26,143.6,100.0,15.61,2022-01-05 19:00:00
12.1,95.08,1.85,145.4,99.99,10.76,2022-01-05 20:00:00
11.89,95.09,1.69,145.1,100.0,7.48,2022-01-05 21:00:00
11.74,95.14,1.63,144.7,99.79,5.78,2022-01-05 22:00:00
11.6,95.21,1.68,140.3,99.88,4.46,2022-01-05 23:00:00
11.54,95.22,1.83,133.0,99.82,3.33,2022-01-06 00:00:00
11.6,94.6,2.21,123.8,99.75,2.54,2022-01-06 01:00:00
11.55,94.09,2.64,112.7,99.88,1.6,2022-01-06 02:00:00
11.32,93.67,3.07,106.5,99.87,1.23,2022-01-06 03:00:00
10.99,93.13,3.19,106.0,99.89,0.95,2022-01-06 04:00:00
10.75,92.61,3.05,108.1,99.85,0.73,2022-01-06 05:00:00
