temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
8.82,51.89,1.13,295.7,55.89,0.0,2022-01-01 00:00:00
8.2,54.41,1.13,300.4,65.33,0.0,2022-01-01 01:00:00
7.65,55.72,1.12,301.1,56.01,0.0,2022-01-01 02:00:00
7.02,55.93,1.18,301.8,63.58,0.0,2022-01-01 03:00:00
7.01,54.04,1.13,304.5,72.32,0.0,2022-01-01 04:00:00
7.03,53.18,1.02,309.4,68.91,0.0,2022-01-01 05:00:00
6.89,53.07,0.94,311.5,57.66,0.0,2022-01-01 06:00:00
7.3,53.02,0.81,310.0,40.91,0.0,2022-01-01 07:00:00
9.69,46.7,0.91,304.2,24.55,0.0,2022-01-01 08:00:00
11.96,40.4,0.76,286.1,14.74,0.0,2022-01-01 09:00:00
16.13,32.13,1.13,278.6,0.95,0.0,2022-01-01 10:00:00
18.76,28.0,1.39,273.3,1.19,0.0,2022-01-01 11:00:00
19.61,26.88,1.57,272.9,1.19,0.0,2022-01-01 12:00:00
19.9,26.59,1.67,276.2,0.51,0.0,2022-01-01 13:00:00
19.56,27.21,1.61,282.6,2.34,0.0,2022-01-01 14:00:00
18.49,33.11,1.05,291.7,4.17,0.0,2022-01-01 15:00:00
15.88,42.5,0.8,304.9,5.98,0.0,2022-01-01 16:00:00
14.2,41.08,0.95,316.3,7.77,0.0,2022-01-01 17:00:00
13.24,43.23,0.99,323.6,1.8,0.0,2022-01-01 18:00:00
12.35,45.17,1.04,326.8,2.38,0.0,2022-01-01 19:00:00
11.68,46.65,1.06,327.4,2.38,0.0,2022-01-01 20:00:00
11.48,47.75,1.01,333.4,21.4,0.0,2022-01-01 21:00:00
11.22,48.69,0.98,341.6,18.8,0.0,2022-01-01 22:00:00
10.79,49.97,0.98,347.7,13.06,0.0,2022-01-01 23:00:00
10.26,51.49,1.03,353.3,14.84,0.0,2022-01-02 00:00:00
9.57,52.99,1.06,357.3,26.17,0.0,2022-01-02 01:00:00
9.02,54.29,1.08,0.0,27.86,0.0,2022-01-02 02:00:00
8.54,55.5,1.1,359.5,11.82,0.0,2022-01-02 03:00:00
8.26,56.27,1.09,354.8,11.83,0.0,2022-01-02 04:00:00
8.04,56.41,1.1,349.5,18.36,0.0,2022-01-02 05:00:00
7.86,56.37,1.09,344.6,4.79,0.0,2022-01-02 06:00:00
8.27,56.44,0.95,339.1,20.73,0.0,2022-01-02 07:00:00
10.99,48.85,1.18,331.7,35.75,0.0,2022-01-02 08:00:00
13.14,42.41,0.95,316.7,51.38,0.0,2022-01-02 09:00:00
16.5,33.71,1.3,305.6,65.73,0.0,2022-01-02 10:00:00
18.89,26.63,1.92,307.6,76.19,0.0,2022-01-02 11:00:00
19.19,26.19,2.18,300.6,64.95,0.0,2022-01-02 12:00:00
19.28,26.16,2.38,299.1,1.19,0.0,2022-01-02 13:00:00
19.34,26.26,2.46,302.2,16.51,0.0,2022-01-02 14:00:00
18.68,30.9,1.78,307.3,32.34,0.0,2022-01-02 15:00:00
15.19,44.91,1.04,308.0,47.27,0.0,2022-01-02 16:00:00
13.25,43.13,1.29,305.5,64.5,0.0,2022-01-02 17:00:00
12.61,44.24,1.29,304.6,80.13,0.0,2022-01-02 18:00:00
12.22,44.72,1.24,310.1,49.31,0.0,2022-01-02 19:00:00
11.77,45.61,1.21,318.0,23.21,0.0,2022-01-02 20:00:00
11.19,47.16,1.23,321.3,19.2,0.0,2022-01-02 21:00:00
10.76,48.51,1.2,317.0,33.51,0.0,2022-01-02 22:00:00
10.01,51.38,1.24,313.4,95.71,0.0,2022-01-02 23:00:00
9.47,53.4,1.23,312.4,99.85,0.0,2022-01-03 00:00:00
9.05,55.62,1.21,319.0,95.63,0.0,2022-01-03 01:00:00
8.7,58.36,1.14,326.4,85.54,0.0,2022-01-03 02:00:00
8.43,60.42,1.1,335.3,71.19,0.0,2022-01-03 03:00:00
8.22,61.42,1.09,348.4,96.36,0.0,2022-01-03 04:00:00
8.21,62.2,1.07,358.9,97.49,0.0,2022-01-03 05:00:00
7.94,63.52,1.08,3.2,63.55,0.0,2022-01-03 06:00:00
9.1,59.96,0.91,12.7,51.31,0.0,2022-01-03 07:00:00
11.18,55.88,0.5,21.0,39.62,0.0,2022-01-03 08:00:00
13.71,45.5,0.07,270.0,28.62,0.0,2022-01-03 09:00:00
16.73,38.14,0.78,268.5,75.97,0.0,2022-01-03 10:00:00
19.45,30.37,1.69,302.2,95.05,0.0,2022-01-03 11:00:00
19.86,30.4,1.99,301.9,99.05,0.0,2022-01-03 12:00:00
20.87,28.28,2.21,301.7,99.23,0.0,2022-01-03 13:00:00
21.56,27.28,2.42,300.0,98.0,0.0,2022-01-03 14:00:00
20.35,36.53,1.36,299.0,96.6,0.0,2022-01-03 15:00:00
17.39,47.06,1.0,294.8,96.03,0.0,2022-01-03 16:00:00
15.42,46.5,1.24,292.8,99.78,0.0,2022-01-03 17:00:00
14.33,49.54,1.27,293.7,99.52,0.0,2022-01-03 18:00:00
13.6,51.37,1.29,302.3,99.08,0.0,2022-01-03 19:00:00
13.03,52.48,1.27,314.4,99.87,0.0,2022-01-03 20:00:00
12.52,53.18,1.26,325.0,99.93,0.0,2022-01-03 21:00:00
11.91,53.87,1.27,336.9,99.23,0.0,2022-01-03 22:00:00
11.41,55.8,1.25,339.0,100.0,0.0,2022-01-03 23:00:00
10.83,58.36,1.25,330.1,100.0,3.15,2022-01-04 00:00:00
10.46,61.57,1.19,331.9,99.77,3.29,2022-01-04 01:00:00
10.08,64.8,1.18,344.8,100.0,3.29,2022-01-04 02:00:00
9.85,67.33,1.2,359.5,100.0,0.14,2022-01-04 03:00:00
9.63,68.83,1.19,14.2,100.0,0.0,2022-01-04 04:00:00
9.53,69.43,1.08,26.3,100.0,0.0,2022-01-04 05:00:00
10.15,65.86,0.93,35.4,100.0,0.0,2022-01-04 06:00:00
11.42,60.44,0.33,27.4,100.0,0.0,2022-01-04 07:00:00
12.69,59.2,0.95,268.2,100.0,0.05,2022-01-04 08:00:00
13.23,59.29,1.99,274.9,100.0,1.56,2022-01-04 09:00:00
13.6,60.85,2.63,285.7,100.0,2.72,2022-01-04 10:00:00
14.19,58.93,3.29,302.0,97.35,0.05,2022-01-04 11:00:00
15.0,56.24,3.23,324.8,98.94,0.15,2022-01-04 12:00:00
16.54,50.89,2.97,354.2,98.05,0.14,2022-01-04 13:00:00
17.58,46.91,2.34,9.1,97.7,0.02,2022-01-04 14:00:00
17.28,50.07,1.48,14.9,100.0,0.0,2022-01-04 15:00:00
15.04,60.99,0.89,34.9,100.0,0.0,2022-01-04 16:00:00
13.35,64.86,1.1,47.9,100.0,0.0,2022-01-04 17:00:00
12.95,67.76,1.21,55.1,100.0,0.0,2022-01-04 18:00:00
12.89,69.58,1.1,56.9,100.0,0.0,2022-01-04 19:00:00
13.27,68.83,0.96,60.8,99.86,0.0,2022-01-04 20:00:00
13.63,67.65,0.81,56.1,100.0,0.0,2022-01-04 21:00:00
13.09,70.45,0.89,53.6,100.0,0.01,2022-01-04 22:00:00
12.89,72.09,0.91,48.6,100.0,0.03,2022-01-04 23:00:00
12.73,73.9,0.82,38.6,100.0,0.38,2022-01-05 00:00:00
12.75,75.5,0.71,26.9,100.0,1.97,2022-01-05 01:00:00
12.78,77.7,0.36,318.4,100.0,4.3,2022-01-05 02:00:00
11.57,87.49,0.66,256.0,100.0,7.53,2022-01-05 03:00:00
11.04,93.13,0.74,261.4,100.0,10.2,2022-01-05 04:00:00
10.94,95.32,0.57,283.1,100.0,11.22,2022-01-05 05:00:00
10.92,96.14,0.34,356.6,100.0,8.95,2022-01-05 06:00:00
11.05,96.26,0.48,40.0,100.0,8.01,2022-01-05 07:00:00
11.72,94.29,0.77,71.1,100.0,16.49,2022-01-05 08:00:00
12.42,91.8,1.85,92.5,100.0,18.57,2022-01-05 09:00:00
13.07,90.35,2.68,105.4,100.0,30.13,2022-01-05 10:00:00
13.77,88.94,3.22,120.2,100.0,83.06,2022-01-05 11:00:00
14.2,87.97,3.3,135.1,98.18,106.29,2022-01-05 12:00:00
14.4,87.85,3.09,149.3,99.91,126.52,2022-01-05 13:00:00
14.31,89.88,2.63,154.8,99.93,115.07,2022-01-05 14:00:00
14.02,92.86,2.05,153.7,99.96,63.69,2022-01-05 15:00:00
13.35,95.47,1.74,149.1,99.98,22.77,2022-01-05 16:00:00
12.74,96.62,2.06,148.3,100.0,8.69,2022-01-05 17:00:00
12.63,96.21,2.26,150.6,100.0,5.7,2022-01-05 18:00:00
12.53,95.48,2.44,150.6,100.0,4.2,2022-01-05 19:00:00
12.26,95.36,2.56,148.1,99.88,3.44,2022-01-05 20:00:00
11.91,95.23,2.72,146.0,99.9,2.19,2022-01-05 21:00:00
11.56,95.49,2.67,144.6,99.48,1.76,2022-01-05 22:00:00
11.22,96.33,2.42,142.0,99.88,1.38,2022-01-05 23:00:00
11.13,96.41,2.18,138.0,94.52,1.16,2022-01-06 00:00:00
11.07,96.19,2.21,133.5,99.41,1.05,2022-01-06 01:00:00
10.97,96.34,2.24,129.4,99.92,0.92,2022-01-06 02:00:00
10.92,96.29,2.19,126.1,99.95,1.02,2022-01-06 03:00:00
10.91,96.13,2.18,125.1,99.96,0.93,2022-01-06 04:00:00
10.88,96.26,2.11,124.7,99.96,0.81,2022-01-06 05:00:00
10.78,96.48,1.96,125.6,99.97,0.78,2022-01-06 06:00:00
11.02,95.38,2.23,128.5,99.98,0.8,2022-01-06 07:00:00
12.11,91.14,2.74,129.1,99.41,0.78,2022-01-06 08:00:00
13.84,83.32,3.02,131.0,99.0,0.77,2022-01-06 09:00:00
15.68,74.69,3.2,133.0,97.15,1.51,2022-01-06 10:00:00
17.21,68.49,3.13,133.4,97.97,2.08,2022-01-06 11:00:00
18.52,63.58,3.02,134.3,98.18,2.05,2022-01-06 12:00:00
19.27,58.43,2.87,135.3,95.15,1.25,2022-01-06 13:00:00
19.28,57.11,2.51,134.2,82.48,1.06,2022-01-06 14:00:00
