temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
8.05,68.51,1.15,316.1,11.68,0.0,2023-01-01 00:00:00
7.86,69.11,1.1,318.3,21.11,0.0,2023-01-01 01:00:00
7.52,70.41,1.06,321.5,59.68,0.0,2023-01-01 02:00:00
7.4,70.66,1.0,323.9,48.55,0.0,2023-01-01 03:00:00
7.38,70.29,1.0,320.3,73.2,0.0,2023-01-01 04:00:00
7.22,70.61,1.0,313.8,70.79,0.0,2023-01-01 05:00:00
7.16,70.32,0.97,309.1,79.61,0.0,2023-01-01 06:00:00
7.87,67.02,0.8,304.3,85.45,0.0,2023-01-01 07:00:00
10.62,56.46,1.14,284.3,87.46,0.0,2023-01-01 08:00:00
12.67,49.89,1.19,255.4,92.2,0.0,2023-01-01 09:00:00
15.26,41.72,1.27,254.4,95.24,0.0,2023-01-01 10:00:00
18.08,31.41,1.61,272.1,99.62,0.0,2023-01-01 11:00:00
19.37,27.47,1.48,279.3,98.5,0.0,2023-01-01 12:00:00
19.85,25.62,1.27,295.8,89.59,0.0,2023-01-01 13:00:00
19.62,25.15,1.24,316.3,76.57,0.0,2023-01-01 14:00:00
18.56,31.76,0.89,334.9,64.16,0.0,2023-01-01 15:00:00
15.84,42.48,0.81,349.4,52.36,0.0,2023-01-01 16:00:00
14.14,40.62,1.01,356.6,34.52,0.0,2023-01-01 17:00:00
13.43,41.11,1.01,3.4,6.06,0.0,2023-01-01 18:00:00
12.64,41.46,1.02,9.0,27.57,0.0,2023-01-01 19:00:00
11.85,42.77,1.05,15.0,39.15,0.0,2023-01-01 20:00:00
11.05,44.51,1.07,22.5,49.08,0.0,2023-01-01 21:00:00
10.15,47.54,1.12,30.0,55.7,0.0,2023-01-01 22:00:00
9.26,51.01,1.16,37.7,62.33,0.0,2023-01-01 23:00:00
8.43,55.24,1.18,44.0,68.95,0.0,2023-01-02 00:00:00
7.83,59.18,1.18,48.8,72.26,0.0,2023-01-02 01:00:00
7.31,63.3,1.16,51.6,64.82,0.0,2023-01-02 02:00:00
7.08,66.16,1.08,53.7,71.17,0.0,2023-01-02 03:00:00
7.35,66.49,0.75,45.0,75.61,0.0,2023-01-02 04:00:00
7.51,66.27,0.36,0.0,82.82,0.0,2023-01-02 05:00:00
6.99,68.24,0.39,307.7,88.35,0.0,2023-01-02 06:00:00
7.21,66.95,0.43,294.8,94.49,0.0,2023-01-02 07:00:00
9.35,59.01,0.61,287.2,93.26,0.0,2023-01-02 08:00:00
12.01,49.45,0.62,281.1,95.37,0.0,2023-01-02 09:00:00
16.58,30.54,1.07,331.5,97.74,0.0,2023-01-02 10:00:00
18.6,25.83,1.1,333.0,89.19,0.0,2023-01-02 11:00:00
19.4,24.34,1.11,311.0,52.16,0.0,2023-01-02 12:00:00
19.64,22.99,1.32,299.5,30.4,0.0,2023-01-02 13:00:00
19.15,22.47,1.49,300.7,28.23,0.0,2023-01-02 14:00:00
18.01,27.67,1.19,307.8,23.26,0.0,2023-01-02 15:00:00
14.47,39.5,0.98,314.6,16.91,0.0,2023-01-02 16:00:00
12.34,37.55,1.22,319.0,11.56,0.0,2023-01-02 17:00:00
11.56,38.16,1.23,323.6,56.88,0.0,2023-01-02 18:00:00
11.01,38.88,1.21,328.5,85.6,0.0,2023-01-02 19:00:00
10.56,39.57,1.18,334.3,94.99,0.0,2023-01-02 20:00:00
9.88,41.42,1.15,343.8,98.83,0.0,2023-01-02 21:00:00
9.07,43.73,1.11,357.4,99.93,0.0,2023-01-02 22:00:00
8.25,46.37,1.11,5.1,99.93,0.0,2023-01-02 23:00:00
7.35,49.75,1.18,13.2,99.93,0.0,2023-01-03 00:00:00
6.24,54.5,1.22,16.7,99.99,0.0,2023-01-03 01:00:00
5.61,58.49,1.22,16.7,99.94,0.0,2023-01-03 02:00:00
5.3,61.16,1.21,12.4,99.95,0.0,2023-01-03 03:00:00
5.23,62.7,1.18,0.5,99.96,0.0,2023-01-03 04:00:00
5.07,63.79,1.16,344.1,99.97,0.0,2023-01-03 05:00:00
4.65,65.55,1.21,329.6,99.97,0.0,2023-01-03 06:00:00
5.27,63.36,1.09,323.2,100.0,0.0,2023-01-03 07:00:00
8.97,50.73,1.89,321.4,99.35,0.0,2023-01-03 08:00:00
11.45,44.06,1.6,322.3,98.88,0.0,2023-01-03 09:00:00
15.77,31.21,2.48,325.3,98.39,0.0,2023-01-03 10:00:00
18.09,23.78,3.11,327.5,99.63,0.0,2023-01-03 11:00:00
18.63,21.93,3.05,324.7,99.51,0.0,2023-01-03 12:00:00
18.61,21.12,3.01,320.9,99.89,0.0,2023-01-03 13:00:00
17.89,21.63,2.92,317.6,99.67,0.0,2023-01-03 14:00:00
16.47,26.72,1.99,314.4,99.41,0.0,2023-01-03 15:00:00
12.23,41.65,1.1,308.7,99.15,0.0,2023-01-03 16:00:00
9.65,43.76,1.27,306.3,98.89,0.0,2023-01-03 17:00:00
8.74,44.71,1.29,304.9,99.95,0.0,2023-01-03 18:00:00
8.04,45.57,1.29,303.9,99.94,0.0,2023-01-03 19:00:00
7.5,45.74,1.25,306.2,99.94,0.0,2023-01-03 20:00:00
7.04,46.1,1.22,313.0,99.95,0.0,2023-01-03 21:00:00
6.51,46.98,1.18,321.9,99.96,0.0,2023-01-03 22:00:00
5.88,48.37,1.16,330.6,99.96,0.0,2023-01-03 23:00:00
5.18,50.4,1.15,335.4,99.95,0.0,2023-01-04 00:00:00
4.37,53.14,1.16,335.6,99.99,0.0,2023-01-04 01:00:00
3.59,55.93,1.19,331.9,99.96,0.0,2023-01-04 02:00:00
3.12,57.61,1.22,327.7,99.96,0.0,2023-01-04 03:00:00
2.89,58.54,1.21,324.7,99.96,0.0,2023-01-04 04:00:00
2.83,58.6,1.17,319.5,99.97,0.0,2023-01-04 05:00:00
2.75,58.76,1.13,312.9,99.97,0.0,2023-01-04 06:00:00
3.8,57.37,0.96,307.8,100.0,0.0,2023-01-04 07:00:00
7.18,45.23,1.91,310.1,98.12,0.0,2023-01-04 08:00:00
9.93,38.86,1.87,317.2,98.66,0.0,2023-01-04 09:00:00
14.48,29.86,2.87,331.5,98.74,0.0,2023-01-04 10:00:00
16.81,26.62,3.32,335.4,99.44,0.0,2023-01-04 11:00:00
18.04,25.22,3.41,335.9,46.35,0.0,2023-01-04 12:00:00
18.63,24.51,3.33,334.4,4.97,0.0,2023-01-04 13:00:00
18.37,24.9,3.11,329.6,4.86,0.0,2023-01-04 14:00:00
17.21,29.29,2.14,323.9,4.75,0.0,2023-01-04 15:00:00
12.84,44.39,1.12,314.6,4.64,0.0,2023-01-04 16:00:00
10.22,46.55,1.31,308.8,4.53,0.0,2023-01-04 17:00:00
9.35,47.61,1.32,305.7,4.42,0.0,2023-01-04 18:00:00
8.69,48.1,1.31,305.4,39.78,0.0,2023-01-04 19:00:00
8.27,48.06,1.3,306.3,93.37,0.0,2023-01-04 20:00:00
8.01,47.59,1.27,309.6,99.44,0.0,2023-01-04 21:00:00
7.7,47.71,1.2,316.3,99.96,0.0,2023-01-04 22:00:00
7.22,48.83,1.15,325.6,99.95,0.0,2023-01-04 23:00:00
6.49,51.0,1.08,332.5,99.95,0.0,2023-01-05 00:00:00
5.95,52.76,1.06,337.8,99.98,0.0,2023-01-05 01:00:00
5.25,55.55,1.09,340.2,99.96,0.0,2023-01-05 02:00:00
4.53,58.59,1.17,341.6,99.96,0.0,2023-01-05 03:00:00
3.75,62.28,1.2,341.6,99.96,0.0,2023-01-05 04:00:00
3.12,65.77,1.22,338.3,99.97,0.0,2023-01-05 05:00:00
2.6,68.51,1.21,331.3,99.97,0.0,2023-01-05 06:00:00
3.49,64.99,1.06,322.7,99.66,0.0,2023-01-05 07:00:00
6.93,51.5,1.91,314.2,98.45,0.0,2023-01-05 08:00:00
9.51,43.65,1.49,303.8,98.61,0.0,2023-01-05 09:00:00
13.29,33.14,1.95,309.6,98.26,0.0,2023-01-05 10:00:00
16.4,25.99,2.6,315.9,99.06,0.0,2023-01-05 11:00:00
18.19,22.34,2.64,316.1,99.6,0.0,2023-01-05 12:00:00
18.96,20.62,2.55,314.0,80.94,0.0,2023-01-05 13:00:00
18.88,20.2,2.42,310.1,63.54,0.0,2023-01-05 14:00:00
17.55,26.4,1.59,305.3,46.7,0.0,2023-01-05 15:00:00
13.18,40.01,1.09,301.1,27.7,0.0,2023-01-05 16:00:00
10.73,39.14,1.34,303.1,8.84,0.0,2023-01-05 17:00:00
10.17,38.34,1.3,308.5,51.36,0.0,2023-01-05 18:00:00
10.09,36.62,1.12,313.9,97.21,0.0,2023-01-05 19:00:00
10.21,35.18,0.91,312.8,99.96,0.0,2023-01-05 20:00:00
9.79,35.52,0.82,305.0,99.96,0.0,2023-01-05 21:00:00
8.84,37.31,0.85,298.1,99.95,0.0,2023-01-05 22:00:00
7.88,39.07,0.94,301.5,99.94,0.0,2023-01-05 23:00:00
7.1,40.57,1.02,309.8,99.79,0.0,2023-01-06 00:00:00
