temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
7.02,70.93,1.25,359.5,99.98,0.0,2024-01-01 00:00:00
6.39,75.88,1.25,1.8,100.0,0.0,2024-01-01 01:00:00
5.9,80.55,1.23,1.4,99.99,0.0,2024-01-01 02:00:00
5.54,84.33,1.21,358.1,99.99,0.0,2024-01-01 03:00:00
5.22,86.94,1.19,352.8,100.0,0.0,2024-01-01 04:00:00
4.91,88.87,1.18,348.3,99.96,0.0,2024-01-01 05:00:00
4.59,90.0,1.2,346.0,99.96,0.0,2024-01-01 06:00:00
5.69,83.74,1.26,346.7,100.0,0.0,2024-01-01 07:00:00
8.85,68.04,2.36,346.8,100.0,0.0,2024-01-01 08:00:00
11.5,58.29,2.0,343.7,100.0,0.0,2024-01-01 09:00:00
15.71,45.64,2.07,344.6,99.97,0.0,2024-01-01 10:00:00
17.94,41.05,1.58,341.6,100.0,0.0,2024-01-01 11:00:00
18.89,39.14,1.35,325.3,100.0,0.0,2024-01-01 12:00:00
19.23,38.29,1.47,311.4,99.69,0.0,2024-01-01 13:00:00
18.87,38.99,1.6,310.2,100.0,0.0,2024-01-01 14:00:00
17.82,42.64,1.44,313.9,100.0,0.0,2024-01-01 15:00:00
14.5,57.2,0.89,310.5,100.0,0.0,2024-01-01 16:00:00
12.17,58.82,1.12,309.2,99.95,0.0,2024-01-01 17:00:00
11.16,61.48,1.14,307.9,99.93,0.0,2024-01-01 18:00:00
10.37,63.44,1.14,306.8,99.97,0.0,2024-01-01 19:00:00
9.63,65.5,1.14,304.7,100.0,0.0,2024-01-01 20:00:00
8.92,67.89,1.15,302.2,99.98,0.0,2024-01-01 21:00:00
8.26,70.13,1.15,302.2,99.93,0.0,2024-01-01 22:00:00
7.64,72.54,1.12,306.0,99.93,0.0,2024-01-01 23:00:00
7.03,75.13,1.12,313.6,99.93,0.0,2024-01-02 00:00:00
6.39,78.33,1.12,320.8,99.99,0.0,2024-01-02 01:00:00
