temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
8.23,76.64,1.11,339.4,99.95,0.0,2024-01-01 00:00:00
7.66,79.38,1.13,335.9,99.48,0.0,2024-01-01 01:00:00
7.11,81.78,1.15,331.4,99.95,0.0,2024-01-01 02:00:00
6.55,83.86,1.17,325.1,99.95,0.0,2024-01-01 03:00:00
5.96,86.0,1.19,320.8,99.94,0.0,2024-01-01 04:00:00
5.47,87.25,1.2,320.7,100.0,0.0,2024-01-01 05:00:00
5.08,87.91,1.21,323.0,100.0,0.0,2024-01-01 06:00:00
6.03,83.0,1.16,325.5,100.0,0.0,2024-01-01 07:00:00
9.16,68.14,2.17,326.1,100.0,0.0,2024-01-01 08:00:00
11.49,60.66,1.95,320.8,100.0,0.0,2024-01-01 09:00:00
15.3,50.11,2.5,316.3,100.0,0.0,2024-01-01 10:00:00
17.63,45.12,2.56,308.3,100.0,0.0,2024-01-01 11:00:00
18.68,43.15,2.44,296.8,99.24,0.0,2024-01-01 12:00:00
19.04,42.65,2.41,289.4,100.0,0.0,2024-01-01 13:00:00
18.64,44.0,2.23,289.4,100.0,0.0,2024-01-01 14:00:00
17.5,49.85,1.65,293.2,100.0,0.0,2024-01-01 15:00:00
14.3,63.0,0.96,288.2,100.0,0.0,2024-01-01 16:00:00
12.28,64.54,1.13,285.9,99.95,0.0,2024-01-01 17:00:00
11.49,66.41,1.14,287.8,99.95,0.0,2024-01-01 18:00:00
10.85,67.86,1.13,292.3,99.97,0.0,2024-01-01 19:00:00
10.19,69.67,1.14,295.0,100.0,0.0,2024-01-01 20:00:00
9.52,72.09,1.12,295.4,100.0,0.0,2024-01-01 21:00:00
8.89,74.4,1.09,296.8,99.98,0.0,2024-01-01 22:00:00
8.23,77.22,1.07,300.9,99.95,0.0,2024-01-01 23:00:00
7.53,80.37,1.09,306.5,99.94,0.0,2024-01-02 00:00:00
6.78,83.95,1.11,310.3,99.67,0.0,2024-01-02 01:00:00
6.01,87.65,1.15,312.9,99.95,0.0,2024-01-02 02:00:00
5.36,90.61,1.16,313.6,99.96,0.0,2024-01-02 03:00:00
4.91,92.21,1.15,315.0,99.97,0.0,2024-01-02 04:00:00
4.68,92.26,1.07,316.1,99.98,0.0,2024-01-02 05:00:00
4.55,91.85,0.95,316.7,100.0,0.0,2024-01-02 06:00:00
5.39,86.67,0.71,319.6,100.0,0.0,2024-01-02 07:00:00
7.84,75.35,0.83,327.8,99.51,0.0,2024-01-02 08:00:00
9.98,66.4,0.57,316.4,99.01,0.0,2024-01-02 09:00:00
13.17,53.45,1.09,308.7,98.16,0.0,2024-01-02 10:00:00
16.24,42.88,1.67,308.4,99.34,0.0,2024-01-02 11:00:00
17.7,39.44,1.84,305.5,98.96,0.0,2024-01-02 12:00:00
18.11,38.7,1.86,306.7,99.26,0.0,2024-01-02 13:00:00
17.81,39.88,1.8,313.6,99.92,0.0,2024-01-02 14:00:00
16.61,46.91,1.38,319.4,100.0,0.0,2024-01-02 15:00:00
13.21,60.78,0.96,319.2,100.0,0.0,2024-01-02 16:00:00
11.14,61.74,1.15,321.3,99.93,0.0,2024-01-02 17:00:00
10.41,63.73,1.17,326.2,99.95,0.0,2024-01-02 18:00:00
9.78,65.45,1.12,331.8,99.99,0.0,2024-01-02 19:00:00
9.35,66.57,1.05,333.4,100.0,0.0,2024-01-02 20:00:00
9.12,67.06,0.98,332.1,99.99,0.0,2024-01-02 21:00:00
8.94,67.74,0.93,334.0,99.98,0.0,2024-01-02 22:00:00
8.79,68.42,0.89,338.9,99.41,0.0,2024-01-02 23:00:00
8.61,68.83,0.87,348.0,98.24,0.0,2024-01-03 00:00:00
8.34,69.82,0.9,0.0,98.58,0.0,2024-01-03 01:00:00
8.12,70.73,0.94,8.0,96.22,0.0,2024-01-03 02:00:00
7.9,71.35,0.94,9.8,95.8,0.0,2024-01-03 03:00:00
7.51,72.22,0.93,7.4,98.66,0.0,2024-01-03 04:00:00
7.01,73.67,0.92,1.2,98.59,0.0,2024-01-03 05:00:00
6.55,75.11,0.95,353.3,99.96,0.0,2024-01-03 06:00:00
6.78,74.62,0.87,344.7,99.28,0.0,2024-01-03 07:00:00
9.53,64.98,1.31,345.0,98.19,0.0,2024-01-03 08:00:00
11.81,56.19,1.4,341.7,97.48,0.0,2024-01-03 09:00:00
14.83,46.42,1.54,341.8,96.55,0.0,2024-01-03 10:00:00
17.42,39.07,1.33,352.2,87.51,0.0,2024-01-03 11:00:00
18.55,36.8,1.14,352.4,80.08,0.0,2024-01-03 12:00:00
18.97,36.17,1.24,342.6,82.01,0.0,2024-01-03 13:00:00
18.67,37.27,1.33,336.5,67.44,0.0,2024-01-03 14:00:00
17.51,42.91,1.18,332.1,51.93,0.0,2024-01-03 15:00:00
13.76,60.25,0.95,322.3,34.37,0.0,2024-01-03 16:00:00
11.18,62.65,1.23,322.6,16.86,0.0,2024-01-03 17:00:00
10.21,65.47,1.3,328.5,0.58,0.0,2024-01-03 18:00:00
9.48,67.71,1.3,337.0,2.6,0.0,2024-01-03 19:00:00
8.86,69.78,1.29,343.8,4.62,0.0,2024-01-03 20:00:00
8.31,71.42,1.28,344.1,17.88,0.0,2024-01-03 21:00:00
7.86,72.58,1.26,340.6,46.78,0.0,2024-01-03 22:00:00
7.39,73.7,1.26,337.1,90.14,0.0,2024-01-03 23:00:00
6.96,74.96,1.25,332.8,88.31,0.0,2024-01-04 00:00:00
6.77,75.33,1.23,329.7,90.84,0.0,2024-01-04 01:00:00
6.74,74.86,1.15,330.3,87.48,0.0,2024-01-04 02:00:00
6.79,73.33,1.04,336.2,87.88,0.0,2024-01-04 03:00:00
7.19,69.8,0.85,345.0,97.08,0.0,2024-01-04 04:00:00
7.5,67.45,0.52,2.2,89.6,0.0,2024-01-04 05:00:00
7.46,67.2,0.27,42.0,81.78,0.0,2024-01-04 06:00:00
7.94,66.39,0.15,97.6,89.16,0.0,2024-01-04 07:00:00
9.64,62.37,0.14,155.2,91.96,0.0,2024-01-04 08:00:00
11.17,56.71,0.17,237.3,95.94,0.0,2024-01-04 09:00:00
14.22,47.6,0.35,280.0,99.18,0.0,2024-01-04 10:00:00
17.23,38.11,0.39,198.0,98.94,0.0,2024-01-04 11:00:00
18.29,35.92,0.6,193.6,97.06,0.0,2024-01-04 12:00:00
18.45,35.91,0.6,214.8,86.03,0.0,2024-01-04 13:00:00
18.15,37.4,0.78,253.7,89.64,0.0,2024-01-04 14:00:00
17.2,42.1,0.73,286.7,92.89,0.0,2024-01-04 15:00:00
14.53,54.01,0.71,316.1,96.71,0.0,2024-01-04 16:00:00
12.51,54.68,0.99,322.0,99.39,0.0,2024-01-04 17:00:00
11.23,59.4,1.08,324.4,98.23,0.0,2024-01-04 18:00:00
10.32,62.62,1.13,328.4,97.67,0.0,2024-01-04 19:00:00
9.44,66.03,1.16,334.5,98.27,0.0,2024-01-04 20:00:00
8.78,68.63,1.17,340.0,89.59,0.0,2024-01-04 21:00:00
8.27,70.46,1.16,346.1,90.11,0.0,2024-01-04 22:00:00
7.93,71.66,1.13,351.9,97.69,0.0,2024-01-04 23:00:00
7.64,72.62,1.07,356.3,92.48,0.0,2024-01-05 00:00:00
7.32,73.61,1.0,1.1,87.82,0.0,2024-01-05 01:00:00
7.17,73.73,0.95,3.6,91.76,0.0,2024-01-05 02:00:00
7.18,72.9,0.87,3.3,87.75,0.0,2024-01-05 03:00:00
7.23,71.73,0.74,7.8,97.68,0.0,2024-01-05 04:00:00
7.12,71.53,0.6,22.7,93.64,0.0,2024-01-05 05:00:00
7.02,70.96,0.55,41.3,93.06,0.0,2024-01-05 06:00:00
7.4,69.03,0.43,50.7,97.59,0.0,2024-01-05 07:00:00
9.45,62.9,0.43,49.7,97.43,0.0,2024-01-05 08:00:00
11.7,54.73,0.55,31.7,98.24,0.0,2024-01-05 09:00:00
15.07,44.39,0.55,2.1,98.78,0.0,2024-01-05 10:00:00
17.16,39.46,0.54,289.4,99.77,0.0,2024-01-05 11:00:00
18.17,39.11,1.19,275.8,99.62,0.0,2024-01-05 12:00:00
18.42,40.19,1.56,291.8,97.15,0.0,2024-01-05 13:00:00
17.99,42.27,1.59,309.4,89.72,0.0,2024-01-05 14:00:00
