temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.48,65.2,1.07,24.9,97.71,0.0,2024-01-01 00:00:00
10.32,65.4,0.95,28.2,95.94,0.0,2024-01-01 01:00:00
10.71,62.99,0.91,26.0,97.72,0.0,2024-01-01 02:00:00
11.07,60.55,0.78,14.9,97.73,0.0,2024-01-01 03:00:00
10.85,60.62,0.69,358.3,97.72,0.0,2024-01-01 04:00:00
10.41,61.59,0.72,354.4,97.74,0.0,2024-01-01 05:00:00
9.76,63.34,0.81,4.9,97.74,0.0,2024-01-01 06:00:00
10.4,61.08,0.83,15.4,97.87,0.0,2024-01-01 07:00:00
13.71,53.37,0.97,10.0,99.23,0.0,2024-01-01 08:00:00
16.87,42.37,1.35,335.0,98.4,0.0,2024-01-01 09:00:00
19.52,36.41,1.58,302.9,97.43,0.0,2024-01-01 10:00:00
20.77,33.86,1.83,274.4,96.26,0.0,2024-01-01 11:00:00
21.28,32.85,2.26,265.4,90.36,0.0,2024-01-01 12:00:00
21.22,32.82,2.52,268.6,95.19,0.0,2024-01-01 13:00:00
20.55,34.19,2.54,277.0,96.47,0.0,2024-01-01 14:00:00
19.19,38.44,2.25,286.5,97.31,0.0,2024-01-01 15:00:00
15.13,55.0,1.22,290.7,99.71,0.0,2024-01-01 16:00:00
12.1,62.32,1.31,301.9,97.66,0.0,2024-01-01 17:00:00
10.97,66.49,1.3,318.4,97.67,0.0,2024-01-01 18:00:00
10.01,70.17,1.22,335.8,97.68,0.0,2024-01-01 19:00:00
9.29,72.35,1.11,349.1,97.67,0.0,2024-01-01 20:00:00
8.91,72.61,1.04,356.7,97.68,0.0,2024-01-01 21:00:00
8.89,71.08,1.05,0.0,97.69,0.0,2024-01-01 22:00:00
8.91,69.35,1.06,0.5,98.26,0.0,2024-01-01 23:00:00
8.75,68.72,1.05,1.1,97.69,0.0,2024-01-02 00:00:00
8.55,68.37,1.06,3.2,95.86,0.0,2024-01-02 01:00:00
8.51,67.13,1.06,3.8,97.71,0.0,2024-01-02 02:00:00
8.57,65.59,1.04,0.6,97.71,0.0,2024-01-02 03:00:00
