temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
8.85,76.48,1.06,7.6,56.77,0.0,2024-01-01 00:00:00
8.56,78.0,1.07,8.1,48.11,0.0,2024-01-01 01:00:00
8.33,78.78,1.08,5.9,56.78,0.0,2024-01-01 02:00:00
8.13,79.13,1.08,358.4,57.36,0.0,2024-01-01 03:00:00
7.64,80.77,1.08,351.5,56.77,0.0,2024-01-01 04:00:00
7.17,82.21,1.09,351.6,57.95,0.0,2024-01-01 05:00:00
6.84,82.71,1.09,355.8,56.75,0.0,2024-01-01 06:00:00
7.96,76.06,1.06,357.3,60.18,0.0,2024-01-01 07:00:00
11.34,61.46,1.91,355.5,58.52,0.0,2024-01-01 08:00:00
14.17,52.53,2.37,339.7,58.08,0.0,2024-01-01 09:00:00
16.92,45.33,2.77,330.1,57.5,0.0,2024-01-01 10:00:00
18.59,41.79,2.62,318.4,50.61,0.0,2024-01-01 11:00:00
19.5,39.99,2.6,306.6,41.61,0.0,2024-01-01 12:00:00
19.73,39.6,2.69,300.7,49.25,0.0,2024-01-01 13:00:00
19.25,40.78,2.67,302.1,52.37,0.0,2024-01-01 14:00:00
18.05,44.78,2.37,306.4,55.69,0.0,2024-01-01 15:00:00
14.52,58.92,1.34,305.6,58.54,0.0,2024-01-01 16:00:00
11.88,65.65,1.43,307.6,60.32,0.0,2024-01-01 17:00:00
10.95,69.03,1.39,313.5,65.07,0.0,2024-01-01 18:00:00
10.17,72.12,1.29,320.6,66.27,0.0,2024-01-01 19:00:00
9.56,74.62,1.19,326.3,69.82,0.0,2024-01-01 20:00:00
9.04,76.88,1.13,329.6,68.04,0.0,2024-01-01 21:00:00
8.57,79.24,1.08,334.1,67.44,0.0,2024-01-01 22:00:00
8.04,81.85,1.06,339.5,66.85,0.0,2024-01-01 23:00:00
7.56,84.25,1.03,344.7,66.84,0.0,2024-01-02 00:00:00
7.27,85.45,1.02,348.1,59.8,0.0,2024-01-02 01:00:00
6.84,87.33,1.03,347.7,65.64,0.0,2024-01-02 02:00:00
6.34,89.54,1.06,345.8,66.23,0.0,2024-01-02 03:00:00
5.95,90.81,1.07,345.4,65.64,0.0,2024-01-02 04:00:00
5.78,90.4,1.05,349.5,65.05,0.0,2024-01-02 05:00:00
5.75,88.42,1.01,357.7,62.68,0.0,2024-01-02 06:00:00
6.89,80.19,0.9,8.3,65.94,0.0,2024-01-02 07:00:00
10.46,62.89,1.49,14.4,60.58,0.0,2024-01-02 08:00:00
13.7,50.33,1.63,349.0,58.9,0.0,2024-01-02 09:00:00
16.6,41.09,1.81,332.0,57.25,0.0,2024-01-02 10:00:00
18.52,36.23,1.78,313.6,53.48,0.0,2024-01-02 11:00:00
19.46,34.13,1.85,299.7,41.57,0.0,2024-01-02 12:00:00
19.73,33.26,1.93,297.8,46.69,0.0,2024-01-02 13:00:00
19.3,33.93,1.95,303.7,47.38,0.0,2024-01-02 14:00:00
18.01,38.97,1.76,309.2,48.51,0.0,2024-01-02 15:00:00
13.94,55.35,1.2,313.0,47.01,0.0,2024-01-02 16:00:00
11.18,60.61,1.41,322.5,46.12,0.0,2024-01-02 17:00:00
10.25,63.64,1.41,334.9,56.79,0.0,2024-01-02 18:00:00
9.51,66.37,1.3,347.1,61.53,0.0,2024-01-02 19:00:00
9.08,67.92,1.18,356.1,61.54,0.0,2024-01-02 20:00:00
9.15,67.59,1.06,0.5,60.35,0.0,2024-01-02 21:00:00
9.43,66.32,0.99,5.8,59.76,0.0,2024-01-02 22:00:00
9.5,65.48,0.98,13.0,58.58,0.0,2024-01-02 23:00:00
9.43,65.12,0.98,23.4,61.54,0.0,2024-01-03 00:00:00
9.4,64.6,1.03,36.3,58.45,0.0,2024-01-03 01:00:00
9.45,63.71,1.06,43.5,60.85,0.0,2024-01-03 02:00:00
9.68,61.94,1.05,47.3,67.73,0.0,2024-01-03 03:00:00
9.89,60.05,1.01,49.4,69.17,0.0,2024-01-03 04:00:00
9.85,59.21,0.98,47.9,54.85,0.0,2024-01-03 05:00:00
9.66,58.83,0.96,46.7,67.69,0.0,2024-01-03 06:00:00
10.12,57.46,0.88,49.6,60.23,0.0,2024-01-03 07:00:00
12.93,53.95,0.95,43.7,52.35,0.0,2024-01-03 08:00:00
15.66,42.59,1.05,45.4,46.96,0.0,2024-01-03 09:00:00
18.1,36.01,0.77,71.8,40.63,0.0,2024-01-03 10:00:00
19.83,31.21,0.63,129.2,21.26,0.0,2024-01-03 11:00:00
20.77,28.71,0.62,169.8,19.28,0.0,2024-01-03 12:00:00
21.12,27.64,0.69,203.2,0.6,0.0,2024-01-03 13:00:00
20.77,27.9,0.82,230.9,0.74,0.0,2024-01-03 14:00:00
19.49,33.65,0.81,260.8,0.89,0.0,2024-01-03 15:00:00
15.69,49.35,0.89,287.6,1.04,0.0,2024-01-03 16:00:00
12.91,51.76,1.22,308.7,1.18,0.0,2024-01-03 17:00:00
11.55,56.06,1.25,333.4,0.59,0.0,2024-01-03 18:00:00
10.47,59.88,1.23,358.1,1.78,0.0,2024-01-03 19:00:00
9.75,62.19,1.23,15.1,2.96,0.0,2024-01-03 20:00:00
9.56,61.8,1.22,20.1,8.87,0.0,2024-01-03 21:00:00
9.61,60.26,1.18,19.8,17.16,0.0,2024-01-03 22:00:00
9.54,59.48,1.14,18.9,24.84,0.0,2024-01-03 23:00:00
9.26,59.54,1.08,18.3,23.07,0.0,2024-01-04 00:00:00
9.12,59.04,1.04,15.1,36.03,0.0,2024-01-04 01:00:00
8.94,58.82,1.05,17.2,51.56,0.0,2024-01-04 02:00:00
8.38,60.1,1.06,25.1,90.34,0.0,2024-01-04 03:00:00
8.2,59.41,1.08,33.2,83.44,0.0,2024-01-04 04:00:00
8.39,56.95,1.09,43.5,90.98,0.0,2024-01-04 05:00:00
8.86,53.39,1.08,54.8,91.53,0.0,2024-01-04 06:00:00
10.09,49.93,0.89,68.3,83.28,0.0,2024-01-04 07:00:00
12.57,48.97,0.64,80.1,75.6,0.0,2024-01-04 08:00:00
14.83,39.04,0.5,85.4,68.32,0.0,2024-01-04 09:00:00
17.32,35.05,0.25,135.0,60.09,0.0,2024-01-04 10:00:00
18.72,32.74,0.75,189.2,46.16,0.0,2024-01-04 11:00:00
19.24,32.3,0.98,199.0,66.56,0.0,2024-01-04 12:00:00
19.29,32.59,0.98,209.2,22.49,0.0,2024-01-04 13:00:00
19.0,33.74,1.13,232.9,22.38,0.0,2024-01-04 14:00:00
17.94,38.18,1.22,258.7,18.99,0.0,2024-01-04 15:00:00
14.52,53.44,0.87,282.0,20.57,0.0,2024-01-04 16:00:00
12.36,54.98,1.09,297.3,23.04,0.0,2024-01-04 17:00:00
11.6,55.88,1.09,310.5,28.98,0.0,2024-01-04 18:00:00
11.01,56.93,1.01,323.0,34.32,0.0,2024-01-04 19:00:00
10.57,57.9,0.99,335.5,31.95,0.0,2024-01-04 20:00:00
10.05,59.44,0.98,345.8,44.58,0.0,2024-01-04 21:00:00
9.51,61.24,0.98,358.8,37.22,0.0,2024-01-04 22:00:00
8.98,62.91,1.0,12.1,37.84,0.0,2024-01-04 23:00:00
8.69,63.17,1.01,22.8,40.19,0.0,2024-01-05 00:00:00
8.59,62.18,1.02,30.6,34.88,0.0,2024-01-05 01:00:00
8.61,60.26,1.03,34.8,35.2,0.0,2024-01-05 02:00:00
8.73,57.68,1.01,34.5,58.46,0.0,2024-01-05 03:00:00
8.65,55.91,0.98,36.3,59.61,0.0,2024-01-05 04:00:00
8.31,54.95,1.01,44.6,33.06,0.0,2024-01-05 05:00:00
8.22,53.01,1.1,57.6,33.06,0.0,2024-01-05 06:00:00
9.03,50.2,1.03,70.7,43.34,0.0,2024-01-05 07:00:00
12.12,48.1,0.88,76.9,50.35,0.0,2024-01-05 08:00:00
15.13,35.9,0.76,80.2,58.97,0.0,2024-01-05 09:00:00
17.94,32.08,0.43,117.8,66.62,0.0,2024-01-05 10:00:00
19.59,30.42,0.83,198.2,89.74,0.0,2024-01-05 11:00:00
20.49,30.24,1.4,229.6,91.47,0.0,2024-01-05 12:00:00
20.67,31.11,1.65,255.6,72.96,0.0,2024-01-05 13:00:00
20.14,33.01,1.78,279.7,62.46,0.0,2024-01-05 14:00:00
18.76,37.85,1.6,298.8,52.66,0.0,2024-01-05 15:00:00
14.78,55.26,0.99,311.7,41.78,0.0,2024-01-05 16:00:00
11.93,59.51,1.21,319.0,27.51,0.0,2024-01-05 17:00:00
11.0,62.5,1.2,326.2,34.71,0.0,2024-01-05 18:00:00
10.47,64.78,1.14,334.6,33.73,0.0,2024-01-05 19:00:00
9.83,67.26,1.12,342.9,49.59,0.0,2024-01-05 20:00:00
8.85,70.61,1.16,349.6,53.07,0.0,2024-01-05 21:00:00
8.27,71.99,1.14,358.5,41.96,0.0,2024-01-05 22:00:00
7.81,72.49,1.09,5.2,43.13,0.0,2024-01-05 23:00:00
7.56,71.78,1.08,6.9,43.09,0.0,2024-01-06 00:00:00
7.27,71.05,1.08,12.2,37.14,0.0,2024-01-06 01:00:00
6.97,70.32,1.11,16.8,41.36,0.0,2024-01-06 02:00:00
6.75,69.17,1.15,19.9,39.6,0.0,2024-01-06 03:00:00
6.63,67.5,1.19,20.7,39.01,0.0,2024-01-06 04:00:00
6.5,65.69,1.21,21.9,38.42,0.0,2024-01-06 05:00:00
6.54,62.95,1.2,20.6,36.05,0.0,2024-01-06 06:00:00
7.87,58.82,1.02,15.4,35.79,0.0,2024-01-06 07:00:00
11.36,47.62,1.36,2.9,32.79,0.0,2024-01-06 08:00:00
14.21,40.31,1.59,338.9,29.71,0.0,2024-01-06 09:00:00
16.91,34.31,1.56,320.5,27.49,0.0,2024-01-06 10:00:00
18.41,31.71,1.58,302.1,23.27,0.0,2024-01-06 11:00:00
19.28,30.64,1.81,295.9,15.81,0.0,2024-01-06 12:00:00
19.5,30.89,2.0,300.7,11.12,0.0,2024-01-06 13:00:00
18.98,32.32,2.08,310.9,13.34,0.0,2024-01-06 14:00:00
17.71,37.62,1.82,317.5,13.37,0.0,2024-01-06 15:00:00
13.93,53.53,1.16,317.8,13.9,0.0,2024-01-06 16:00:00
11.35,58.53,1.35,323.7,18.3,0.0,2024-01-06 17:00:00
10.47,62.21,1.4,333.8,21.27,0.0,2024-01-06 18:00:00
9.75,65.57,1.41,346.1,23.66,0.0,2024-01-06 19:00:00
9.13,68.24,1.37,354.1,26.62,0.0,2024-01-06 20:00:00
8.66,70.17,1.32,354.3,30.17,0.0,2024-01-06 21:00:00
8.26,71.82,1.26,352.3,27.8,0.0,2024-01-06 22:00:00
7.9,73.15,1.22,353.4,28.4,0.0,2024-01-06 23:00:00
7.48,74.51,1.17,357.1,27.21,0.0,2024-01-07 00:00:00
7.12,75.11,1.14,2.0,29.24,0.0,2024-01-07 01:00:00
6.86,74.56,1.1,9.4,31.94,0.0,2024-01-07 02:00:00
6.71,72.77,1.07,18.6,34.9,0.0,2024-01-07 03:00:00
6.68,69.88,1.09,28.4,37.26,0.0,2024-01-07 04:00:00
6.83,65.85,1.14,36.1,39.63,0.0,2024-01-07 05:00:00
7.08,61.64,1.18,40.9,37.26,0.0,2024-01-07 06:00:00
8.52,55.78,1.06,44.2,40.69,0.0,2024-01-07 07:00:00
12.04,49.83,1.06,33.8,40.17,0.0,2024-01-07 08:00:00
14.78,40.01,1.29,15.3,40.44,0.0,2024-01-07 09:00:00
17.11,35.76,1.3,0.0,39.68,0.0,2024-01-07 10:00:00
18.78,32.6,0.9,343.8,35.57,0.0,2024-01-07 11:00:00
19.98,31.7,0.76,303.7,25.46,0.0,2024-01-07 12:00:00
20.41,31.76,1.05,281.5,28.54,0.0,2024-01-07 13:00:00
20.05,32.92,1.3,282.0,29.97,0.0,2024-01-07 14:00:00
18.8,38.1,1.29,291.4,30.16,0.0,2024-01-07 15:00:00
14.77,55.08,0.98,302.1,29.25,0.0,2024-01-07 16:00:00
11.89,58.38,1.22,316.7,31.94,0.0,2024-01-07 17:00:00
10.82,61.01,1.27,334.8,38.47,0.0,2024-01-07 18:00:00
10.02,63.36,1.3,351.6,40.25,0.0,2024-01-07 19:00:00
9.38,65.08,1.3,1.8,42.62,0.0,2024-01-07 20:00:00
8.88,66.22,1.24,7.4,39.66,0.0,2024-01-07 21:00:00
8.57,66.36,1.17,9.4,39.66,0.0,2024-01-07 22:00:00
8.34,66.25,1.08,7.5,38.47,0.0,2024-01-07 23:00:00
8.3,65.27,1.04,6.1,40.85,0.0,2024-01-08 00:00:00
8.0,65.73,0.99,4.0,42.69,0.0,2024-01-08 01:00:00
7.59,66.82,0.99,4.0,39.63,0.0,2024-01-08 02:00:00
7.23,67.55,1.0,4.0,43.72,0.0,2024-01-08 03:00:00
7.01,67.49,1.0,5.8,42.01,0.0,2024-01-08 04:00:00
6.89,66.81,0.97,15.6,40.81,0.0,2024-01-08 05:00:00
6.9,64.75,0.98,33.4,38.48,0.0,2024-01-08 06:00:00
7.99,60.15,0.89,56.0,40.22,0.0,2024-01-08 07:00:00
11.62,51.89,0.99,72.3,39.0,0.0,2024-01-08 08:00:00
14.88,40.75,0.88,70.1,37.68,0.0,2024-01-08 09:00:00
18.2,32.54,0.31,73.3,35.96,0.0,2024-01-08 10:00:00
20.12,28.78,0.69,204.7,37.23,0.0,2024-01-08 11:00:00
21.13,27.32,1.15,209.7,36.48,0.0,2024-01-08 12:00:00
21.51,27.03,1.31,215.4,29.24,0.0,2024-01-08 13:00:00
21.12,28.11,1.33,223.8,30.19,0.0,2024-01-08 14:00:00
19.65,37.0,0.93,238.2,28.98,0.0,2024-01-08 15:00:00
16.05,48.32,0.96,258.6,28.41,0.0,2024-01-08 16:00:00
14.05,47.94,1.14,270.0,30.08,0.0,2024-01-08 17:00:00
13.32,48.98,1.09,287.1,51.91,0.0,2024-01-08 18:00:00
12.27,51.07,1.05,313.1,44.35,0.0,2024-01-08 19:00:00
