temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
9.59,38.15,1.21,303.6,99.93,0.0,2025-01-01 00:00:00
8.73,40.98,1.26,311.1,88.98,0.0,2025-01-01 01:00:00
7.49,43.8,1.33,319.9,85.53,0.0,2025-01-01 02:00:00
6.83,46.29,1.33,324.5,99.34,0.0,2025-01-01 03:00:00
6.56,47.8,1.29,324.5,99.95,0.0,2025-01-01 04:00:00
6.53,48.22,1.23,324.6,99.97,0.0,2025-01-01 05:00:00
6.8,47.34,1.06,316.5,99.43,0.0,2025-01-01 06:00:00
7.11,49.05,0.98,293.4,99.58,0.0,2025-01-01 07:00:00
10.07,40.3,2.01,285.0,99.64,0.0,2025-01-01 08:00:00
12.57,33.96,2.06,291.6,99.26,0.0,2025-01-01 09:00:00
16.49,26.53,2.27,304.6,98.92,0.0,2025-01-01 10:00:00
19.85,19.53,2.97,308.0,99.87,0.0,2025-01-01 11:00:00
21.17,18.05,3.08,306.2,100.0,0.0,2025-01-01 12:00:00
21.83,17.38,3.15,305.7,93.56,0.0,2025-01-01 13:00:00
21.31,18.25,2.79,313.0,94.72,0.0,2025-01-01 14:00:00
19.59,30.4,1.17,325.1,94.91,0.0,2025-01-01 15:00:00
17.38,37.08,0.86,327.8,95.81,0.0,2025-01-01 16:00:00
16.27,32.06,0.92,318.5,96.53,0.0,2025-01-01 17:00:00
15.48,32.85,0.92,311.5,79.54,0.0,2025-01-01 18:00:00
14.7,34.56,0.94,307.2,87.62,0.0,2025-01-01 19:00:00
14.02,35.82,1.03,308.3,93.23,0.0,2025-01-01 20:00:00
13.2,38.94,1.12,312.1,99.97,0.0,2025-01-01 21:00:00
12.46,41.53,1.16,318.5,93.88,0.0,2025-01-01 22:00:00
11.83,43.38,1.19,323.2,87.77,0.0,2025-01-01 23:00:00
11.32,45.57,1.18,327.1,92.24,0.0,2025-01-02 00:00:00
10.95,47.29,1.15,329.6,96.54,0.0,2025-01-02 01:00:00
10.71,48.77,1.12,331.1,100.0,0.0,2025-01-02 02:00:00
10.54,50.43,1.09,333.2,100.0,0.0,2025-01-02 03:00:00
10.2,52.36,1.09,331.6,93.9,0.0,2025-01-02 04:00:00
9.71,55.19,1.12,327.0,97.76,0.0,2025-01-02 05:00:00
9.77,56.98,1.12,322.6,89.36,0.0,2025-01-02 06:00:00
10.66,57.2,1.09,323.2,94.88,0.0,2025-01-02 07:00:00
13.38,48.15,2.13,323.4,96.35,0.0,2025-01-02 08:00:00
15.4,44.19,1.67,316.0,98.43,0.0,2025-01-02 09:00:00
19.03,35.48,1.6,310.2,99.41,0.0,2025-01-02 10:00:00
22.01,27.57,2.01,317.0,99.15,0.0,2025-01-02 11:00:00
22.28,28.16,1.83,318.1,99.9,0.0,2025-01-02 12:00:00
22.19,29.53,1.58,323.0,99.13,0.0,2025-01-02 13:00:00
21.95,31.22,1.31,327.2,98.86,0.0,2025-01-02 14:00:00
21.02,39.6,0.65,327.5,99.62,0.0,2025-01-02 15:00:00
19.66,42.3,0.5,310.1,100.0,0.0,2025-01-02 16:00:00
18.8,42.52,0.45,277.6,99.74,0.0,2025-01-02 17:00:00
17.83,44.59,0.65,255.8,99.41,0.0,2025-01-02 18:00:00
16.62,47.24,0.91,255.4,99.42,0.0,2025-01-02 19:00:00
15.57,49.45,1.05,256.8,99.72,0.0,2025-01-02 20:00:00
14.61,51.45,1.11,261.2,100.0,0.0,2025-01-02 21:00:00
13.77,53.11,1.15,270.0,100.0,0.0,2025-01-02 22:00:00
12.97,54.24,1.19,280.2,100.0,0.0,2025-01-02 23:00:00
12.18,55.44,1.21,291.9,100.0,0.0,2025-01-03 00:00:00
11.68,56.35,1.18,304.6,99.93,0.0,2025-01-03 01:00:00
