temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.16,53.4,1.14,331.2,99.81,0.0,2025-01-01 00:00:00
9.39,53.7,1.2,316.0,79.82,0.0,2025-01-01 01:00:00
8.38,56.21,1.26,313.1,66.57,0.0,2025-01-01 02:00:00
7.74,55.88,1.26,326.3,73.65,0.0,2025-01-01 03:00:00
8.03,51.72,1.2,335.4,72.53,0.0,2025-01-01 04:00:00
8.49,47.32,0.94,324.1,74.95,0.0,2025-01-01 05:00:00
8.54,45.36,0.74,317.7,74.9,0.0,2025-01-01 06:00:00
9.23,45.04,0.52,352.3,83.95,0.0,2025-01-01 07:00:00
11.68,48.58,0.58,300.1,87.26,0.0,2025-01-01 08:00:00
14.17,36.12,1.8,277.0,92.7,0.0,2025-01-01 09:00:00
16.43,31.75,2.83,285.4,98.4,0.0,2025-01-01 10:00:00
18.46,27.69,2.93,298.6,95.89,0.0,2025-01-01 11:00:00
19.84,25.44,2.71,298.5,94.93,0.0,2025-01-01 12:00:00
20.55,24.71,2.91,287.2,81.54,0.0,2025-01-01 13:00:00
20.03,26.77,3.12,280.9,75.88,0.0,2025-01-01 14:00:00
18.1,37.08,2.2,279.4,68.97,0.0,2025-01-01 15:00:00
14.84,52.89,1.13,286.5,61.42,0.0,2025-01-01 16:00:00
13.5,50.47,0.99,311.7,53.92,0.0,2025-01-01 17:00:00
12.55,51.92,0.93,316.7,30.96,0.0,2025-01-01 18:00:00
11.66,53.28,1.03,310.7,37.11,0.0,2025-01-01 19:00:00
10.89,55.26,1.19,315.7,47.01,0.0,2025-01-01 20:00:00
10.45,56.05,1.28,325.8,71.74,0.0,2025-01-01 21:00:00
10.48,55.19,1.27,333.8,71.23,0.0,2025-01-01 22:00:00
10.83,53.41,1.23,339.5,72.58,0.0,2025-01-01 23:00:00
11.13,52.09,1.2,339.0,85.26,0.0,2025-01-02 00:00:00
11.34,51.69,1.17,341.1,92.51,0.0,2025-01-02 01:00:00
11.65,50.62,1.15,343.8,92.82,0.0,2025-01-02 02:00:00
11.96,48.24,1.1,343.1,80.17,0.0,2025-01-02 03:00:00
11.76,47.41,1.08,336.0,81.36,0.0,2025-01-02 04:00:00
11.63,47.62,1.1,335.8,80.82,0.0,2025-01-02 05:00:00
11.93,47.72,1.08,339.4,86.58,0.0,2025-01-02 06:00:00
12.81,48.97,0.98,343.4,88.29,0.0,2025-01-02 07:00:00
14.84,51.96,0.87,340.5,87.53,0.0,2025-01-02 08:00:00
16.66,51.03,1.01,325.1,89.03,0.0,2025-01-02 09:00:00
18.62,38.44,1.24,314.7,89.7,0.0,2025-01-02 10:00:00
21.33,29.84,1.86,302.5,99.71,0.0,2025-01-02 11:00:00
22.77,27.47,2.19,287.5,93.0,0.0,2025-01-02 12:00:00
22.79,28.7,2.22,282.2,99.1,0.0,2025-01-02 13:00:00
22.2,31.81,1.96,280.3,98.08,0.0,2025-01-02 14:00:00
20.14,48.1,1.15,276.0,96.77,0.0,2025-01-02 15:00:00
17.13,57.37,1.04,278.3,97.45,0.0,2025-01-02 16:00:00
16.1,55.43,0.95,295.5,99.88,0.0,2025-01-02 17:00:00
15.86,55.54,0.81,318.5,100.0,0.0,2025-01-02 18:00:00
15.57,54.85,0.79,327.9,99.95,0.0,2025-01-02 19:00:00
15.04,55.85,0.86,322.1,99.86,0.0,2025-01-02 20:00:00
14.49,57.68,0.94,325.8,99.91,0.0,2025-01-02 21:00:00
14.25,58.0,0.98,330.8,94.55,0.0,2025-01-02 22:00:00
14.14,57.83,1.02,327.9,98.3,0.0,2025-01-02 23:00:00
13.95,58.04,1.01,321.4,90.87,0.0,2025-01-03 00:00:00
13.87,57.54,0.96,319.7,97.72,0.0,2025-01-03 01:00:00
14.18,55.23,0.79,321.7,99.6,0.0,2025-01-03 02:00:00
14.71,52.07,0.5,318.3,99.72,0.0,2025-01-03 03:00:00
15.1,49.15,0.22,300.1,100.0,0.0,2025-01-03 04:00:00
15.02,48.7,0.09,243.5,100.0,0.0,2025-01-03 05:00:00
14.63,49.88,0.09,110.6,100.0,0.0,2025-01-03 06:00:00
14.4,51.81,0.25,83.2,100.0,0.0,2025-01-03 07:00:00
15.42,52.63,0.16,93.6,98.94,0.0,2025-01-03 08:00:00
17.08,51.6,0.12,221.6,99.81,0.0,2025-01-03 09:00:00
19.52,40.04,0.49,266.5,99.43,0.0,2025-01-03 10:00:00
22.2,34.22,1.01,249.8,99.63,0.0,2025-01-03 11:00:00
23.97,31.28,1.42,245.1,99.37,0.0,2025-01-03 12:00:00
24.39,31.04,1.48,243.1,99.68,0.0,2025-01-03 13:00:00
24.06,32.67,1.34,243.4,99.67,0.0,2025-01-03 14:00:00
22.85,39.57,1.05,243.9,99.54,0.0,2025-01-03 15:00:00
19.47,54.9,0.96,249.3,99.61,0.0,2025-01-03 16:00:00
17.54,53.18,1.08,262.0,100.0,0.0,2025-01-03 17:00:00
16.71,54.86,1.0,277.5,99.98,0.0,2025-01-03 18:00:00
16.12,55.55,0.96,290.7,100.0,0.0,2025-01-03 19:00:00
15.78,55.66,0.91,305.6,96.43,0.0,2025-01-03 20:00:00
15.56,55.23,0.81,326.1,94.63,0.0,2025-01-03 21:00:00
15.82,52.67,0.71,353.6,96.9,0.0,2025-01-03 22:00:00
16.17,49.54,0.62,25.7,93.49,0.0,2025-01-03 23:00:00
16.28,47.49,0.47,71.6,92.14,0.0,2025-01-04 00:00:00
15.81,47.62,0.5,117.6,82.63,0.0,2025-01-04 01:00:00
14.85,49.89,0.63,128.5,89.44,0.0,2025-01-04 02:00:00
14.09,51.81,0.84,128.2,76.1,0.0,2025-01-04 03:00:00
13.52,52.46,1.0,121.5,77.06,0.0,2025-01-04 04:00:00
