State,Date,Hourly Demand Met (in MW)
Punjab - 2016,2016-01-01 00:00:00,4488.89
Punjab - 2016,2016-01-01 01:00:00,4423.92
Punjab - 2016,2016-01-01 02:00:00,4386.9
Punjab - 2016,2016-01-01 03:00:00,4215.51
Punjab - 2016,2016-01-01 04:00:00,4403.8
Punjab - 2016,2016-01-01 05:00:00,5390.25
Punjab - 2016,2016-01-01 06:00:00,6202.15
Punjab - 2016,2016-01-01 07:00:00,6772.28
Punjab - 2016,2016-01-01 08:00:00,7809.73
Punjab - 2016,2016-01-01 09:00:00,8127.96
Punjab - 2016,2016-01-01 10:00:00,8255.08
Punjab - 2016,2016-01-01 11:00:00,8095.83
Punjab - 2016,2016-01-01 12:00:00,7086.22
Punjab - 2016,2016-01-01 13:00:00,6414.63
Punjab - 2016,2016-01-01 14:00:00,6306.04
Punjab - 2016,2016-01-01 15:00:00,6196.15
Punjab - 2016,2016-01-01 16:00:00,6680.05
Punjab - 2016,2016-01-01 17:00:00,6574.79
Punjab - 2016,2016-01-01 18:00:00,6950.29
Punjab - 2016,2016-01-01 19:00:00,7315.11
Punjab - 2016,2016-01-01 20:00:00,6198.55
Punjab - 2016,2016-01-01 21:00:00,5647.0
Punjab - 2016,2016-01-01 22:00:00,4795.09
Punjab - 2016,2016-01-01 23:00:00,4602.68
Punjab - 2016,2016-01-02 00:00:00,4353.12
Punjab - 2016,2016-01-02 01:00:00,3974.94
Punjab - 2016,2016-01-02 02:00:00,4061.51
Punjab - 2016,2016-01-02 03:00:00,3991.69
Punjab - 2016,2016-01-02 04:00:00,4175.51
Punjab - 2016,2016-01-02 05:00:00,4593.56
Punjab - 2016,2016-01-02 06:00:00,5778.71
Punjab - 2016,2016-01-02 07:00:00,6445.45
Punjab - 2016,2016-01-02 08:00:00,7094.65
Punjab - 2016,2016-01-02 09:00:00,8062.34
Punjab - 2016,2016-01-02 10:00:00,7897.1
Punjab - 2016,2016-01-02 11:00:00,7880.57
Punjab - 2016,2016-01-02 12:00:00,7005.28
Punjab - 2016,2016-01-02 13:00:00,6441.45
Punjab - 2016,2016-01-02 14:00:00,6483.72
Punjab - 2016,2016-01-02 15:00:00,6631.87
Punjab - 2016,2016-01-02 16:00:00,6808.39
Punjab - 2016,2016-01-02 17:00:00,7076.72
Punjab - 2016,2016-01-02 18:00:00,7277.76
Punjab - 2016,2016-01-02 19:00:00,7282.0
Punjab - 2016,2016-01-02 20:00:00,6580.28
Punjab - 2016,2016-01-02 21:00:00,5927.64
Punjab - 2016,2016-01-02 22:00:00,5478.35
Punjab - 2016,2016-01-02 23:00:00,4894.15
Punjab - 2016,2016-01-03 00:00:00,4331.29
Punjab - 2016,2016-01-03 01:00:00,4335.55
Punjab - 2016,2016-01-03 02:00:00,4211.18
Punjab - 2016,2016-01-03 03:00:00,4179.85
Punjab - 2016,2016-01-03 04:00:00,4495.45
Punjab - 2016,2016-01-03 05:00:00,5160.97
Punjab - 2016,2016-01-03 06:00:00,5903.5
Punjab - 2016,2016-01-03 07:00:00,6554.93
Punjab - 2016,2016-01-03 08:00:00,7543.06
Punjab - 2016,2016-01-03 09:00:00,8293.57
Punjab - 2016,2016-01-03 10:00:00,8860.53
Punjab - 2016,2016-01-03 11:00:00,8146.89
Punjab - 2016,2016-01-03 12:00:00,7691.74
Punjab - 2016,2016-01-03 13:00:00,6606.94
Punjab - 2016,2016-01-03 14:00:00,6188.03
Punjab - 2016,2016-01-03 15:00:00,6592.84
Punjab - 2016,2016-01-03 16:00:00,6851.1
Punjab - 2016,2016-01-03 17:00:00,6822.53
Punjab - 2016,2016-01-03 18:00:00,6642.83
Punjab - 2016,2016-01-03 19:00:00,6163.51
Punjab - 2016,2016-01-03 20:00:00,5804.98
Punjab - 2016,2016-01-03 21:00:00,6332.73
Punjab - 2016,2016-01-03 22:00:00,5705.02
Punjab - 2016,2016-01-03 23:00:00,4958.68
Punjab - 2016,2016-01-04 00:00:00,4788.68
Punjab - 2016,2016-01-04 01:00:00,3968.91
Punjab - 2016,2016-01-04 02:00:00,4369.84
Punjab - 2016,2016-01-04 03:00:00,4158.33
Punjab - 2016,2016-01-04 04:00:00,4253.27
Punjab - 2016,2016-01-04 05:00:00,4735.54
Punjab - 2016,2016-01-04 06:00:00,5217.3
Punjab - 2016,2016-01-04 07:00:00,6454.25
Punjab - 2016,2016-01-04 08:00:00,7416.11
Punjab - 2016,2016-01-04 09:00:00,8308.78
Punjab - 2016,2016-01-04 10:00:00,8087.4
Punjab - 2016,2016-01-04 11:00:00,7606.81
Punjab - 2016,2016-01-04 12:00:00,7201.45
Punjab - 2016,2016-01-04 13:00:00,6612.71
Punjab - 2016,2016-01-04 14:00:00,6211.83
Punjab - 2016,2016-01-04 15:00:00,6085.39
Punjab - 2016,2016-01-04 16:00:00,6467.93
Punjab - 2016,2016-01-04 17:00:00,6768.82
Punjab - 2016,2016-01-04 18:00:00,7215.13
Punjab - 2016,2016-01-04 19:00:00,6661.14
Punjab - 2016,2016-01-04 20:00:00,6809.58
Punjab - 2016,2016-01-04 21:00:00,6098.6
Punjab - 2016,2016-01-04 22:00:00,5175.07
Punjab - 2016,2016-01-04 23:00:00,5034.95
Punjab - 2016,2016-01-05 00:00:00,4640.52
Punjab - 2016,2016-01-05 01:00:00,4321.83
Punjab - 2016,2016-01-05 02:00:00,4245.01
Punjab - 2016,2016-01-05 03:00:00,3961.18
